,xB,t,Q2,obs,value,units,stat_u,syst_u,%norm_c,col,lepton,E_lepton,hadron,E_hadron
0,0.056,-0.085,1.236,ALLCos2Phi,0.111,none,0.115,0.004,5.3,HERMES,e+,27.6,p,0.93827208816
1,0.079,-0.098,1.862,ALLCos2Phi,0.196,none,0.113,0.006,5.3,HERMES,e+,27.6,p,0.93827208816
2,0.108,-0.123,2.829,ALLCos2Phi,0.04,none,0.13,0.005,5.3,HERMES,e+,27.6,p,0.93827208816
3,0.17,-0.178,4.865,ALLCos2Phi,-0.076,none,0.149,0.013,5.3,HERMES,e+,27.6,p,0.93827208816
