,xB,Q2,t,phi,deg/rad,value,stat_u,syst_u,col,obs,units,hadron,lepton,E_lepton,E_hadron
0,0.126,1.11,-0.11,68.33,deg,8.9354,0.5418,0.7223,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
1,0.126,1.11,-0.11,82.35,deg,5.7024,0.2823,0.3494,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
2,0.126,1.11,-0.11,97.13,deg,3.5973,0.204,0.2525,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
3,0.126,1.11,-0.11,112.2,deg,2.9545,0.2122,0.1979,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
4,0.126,1.11,-0.11,127.27,deg,2.604,0.1803,0.2255,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
5,0.126,1.11,-0.11,142.33,deg,2.1674,0.1402,0.1421,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
6,0.126,1.11,-0.11,157.4,deg,2.1833,0.1464,0.1295,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
7,0.126,1.11,-0.11,172.47,deg,1.9659,0.1725,0.1965,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
8,0.126,1.11,-0.11,187.53,deg,2.3694,0.1673,0.2242,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
9,0.126,1.11,-0.11,202.6,deg,2.1443,0.1377,0.1475,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
10,0.126,1.11,-0.11,217.67,deg,2.4837,0.1629,0.2342,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
11,0.126,1.11,-0.11,232.73,deg,2.4709,0.1904,0.184,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
12,0.126,1.11,-0.11,247.8,deg,3.0839,0.1776,0.2447,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
13,0.126,1.11,-0.11,262.87,deg,3.4295,0.1893,0.2189,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
14,0.126,1.11,-0.11,277.65,deg,5.3907,0.2922,0.372,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
15,0.126,1.11,-0.11,291.67,deg,9.0739,0.5655,0.942,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
16,0.126,1.11,-0.15,68.12,deg,5.0617,0.4033,0.2938,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
17,0.126,1.11,-0.15,82.03,deg,3.1358,0.1995,0.4105,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
18,0.126,1.11,-0.15,97.11,deg,2.498,0.1521,0.1694,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
19,0.126,1.11,-0.15,112.18,deg,1.7895,0.134,0.1277,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
20,0.126,1.11,-0.15,127.26,deg,1.345,0.1137,0.1315,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
21,0.126,1.11,-0.15,142.33,deg,1.3565,0.0931,0.1128,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
22,0.126,1.11,-0.15,157.4,deg,1.3242,0.0923,0.0954,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
23,0.126,1.11,-0.15,172.47,deg,1.2156,0.1056,0.1697,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
24,0.126,1.11,-0.15,187.53,deg,1.2164,0.0995,0.1079,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
25,0.126,1.11,-0.15,202.6,deg,1.2284,0.0879,0.0807,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
26,0.126,1.11,-0.15,217.67,deg,1.2196,0.0892,0.067,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
27,0.126,1.11,-0.15,232.74,deg,1.3916,0.1202,0.0865,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
28,0.126,1.11,-0.15,247.82,deg,1.6852,0.1232,0.1837,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
29,0.126,1.11,-0.15,262.89,deg,2.1674,0.1379,0.1314,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
30,0.126,1.11,-0.15,277.97,deg,3.6278,0.2195,0.2482,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
31,0.126,1.11,-0.15,291.88,deg,4.8063,0.3726,0.3976,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
32,0.126,1.11,-0.2,67.53,deg,3.1688,0.3298,0.4738,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
33,0.126,1.11,-0.2,82.0,deg,2.4884,0.1935,0.1799,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
34,0.126,1.11,-0.2,97.09,deg,1.6622,0.1287,0.1248,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
35,0.126,1.11,-0.2,112.17,deg,1.2373,0.1092,0.1257,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
36,0.126,1.11,-0.2,127.25,deg,0.8238,0.0904,0.1178,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
37,0.126,1.11,-0.2,142.32,deg,0.7833,0.0705,0.1369,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
38,0.126,1.11,-0.2,157.39,deg,0.8914,0.0736,0.0575,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
39,0.126,1.11,-0.2,172.46,deg,0.74,0.0786,0.0817,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
40,0.126,1.11,-0.2,187.54,deg,0.7966,0.086,0.1386,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
41,0.126,1.11,-0.2,202.61,deg,0.6193,0.0598,0.053,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
42,0.126,1.11,-0.2,217.68,deg,0.7481,0.0658,0.0948,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
43,0.126,1.11,-0.2,232.75,deg,0.9311,0.0931,0.0677,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
44,0.126,1.11,-0.2,247.83,deg,0.999,0.0967,0.1017,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
45,0.126,1.11,-0.2,262.91,deg,1.536,0.1214,0.1171,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
46,0.126,1.11,-0.2,278.0,deg,1.834,0.1551,0.361,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
47,0.126,1.11,-0.2,292.47,deg,2.8245,0.2851,0.396,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
48,0.126,1.11,-0.26,55.41,deg,2.2281,0.2864,0.3472,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
49,0.126,1.11,-0.26,66.94,deg,2.2591,0.2104,0.2915,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
50,0.126,1.11,-0.26,81.98,deg,1.2245,0.1087,0.1177,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
51,0.126,1.11,-0.26,97.08,deg,0.7881,0.0707,0.0826,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
52,0.126,1.11,-0.26,112.16,deg,0.7875,0.0663,0.1246,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
53,0.126,1.11,-0.26,127.24,deg,0.5334,0.0598,0.0721,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
54,0.126,1.11,-0.26,142.32,deg,0.485,0.0471,0.0294,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
55,0.126,1.11,-0.26,157.39,deg,0.5123,0.0463,0.0366,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
56,0.126,1.11,-0.26,172.46,deg,0.5262,0.0519,0.0413,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
57,0.126,1.11,-0.26,187.54,deg,0.3819,0.0485,0.0333,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
58,0.126,1.11,-0.26,202.61,deg,0.406,0.0409,0.0524,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
59,0.126,1.11,-0.26,217.68,deg,0.462,0.0435,0.0453,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
60,0.126,1.11,-0.26,232.76,deg,0.5933,0.0578,0.0636,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
61,0.126,1.11,-0.26,247.84,deg,0.5589,0.0621,0.0552,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
62,0.126,1.11,-0.26,262.92,deg,0.8558,0.0749,0.0672,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
63,0.126,1.11,-0.26,278.02,deg,1.2099,0.1,0.2443,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
64,0.126,1.11,-0.26,293.06,deg,1.7066,0.1666,0.2957,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
65,0.126,1.11,-0.26,304.59,deg,2.4484,0.3194,0.3525,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
66,0.126,1.11,-0.34,53.26,deg,1.5748,0.1358,0.3926,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
67,0.126,1.11,-0.34,66.86,deg,1.0215,0.1056,0.2201,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
68,0.126,1.11,-0.34,81.98,deg,0.7974,0.0752,0.0974,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
69,0.126,1.11,-0.34,97.07,deg,0.5145,0.0468,0.0496,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
70,0.126,1.11,-0.34,112.16,deg,0.3987,0.0378,0.033,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
71,0.126,1.11,-0.34,127.24,deg,0.4166,0.0467,0.0517,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
72,0.126,1.11,-0.34,142.31,deg,0.3327,0.0345,0.0397,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
73,0.126,1.11,-0.34,157.39,deg,0.2754,0.0288,0.0159,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
74,0.126,1.11,-0.34,172.46,deg,0.293,0.033,0.0437,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
75,0.126,1.11,-0.34,187.54,deg,0.3073,0.0382,0.023,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
76,0.126,1.11,-0.34,202.61,deg,0.3363,0.0339,0.0362,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
77,0.126,1.11,-0.34,217.69,deg,0.2558,0.0272,0.0399,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
78,0.126,1.11,-0.34,232.76,deg,0.3312,0.0365,0.0321,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
79,0.126,1.11,-0.34,247.84,deg,0.3611,0.0432,0.078,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
80,0.126,1.11,-0.34,262.93,deg,0.5974,0.0514,0.0747,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
81,0.126,1.11,-0.34,278.02,deg,0.6848,0.0607,0.0746,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
82,0.126,1.11,-0.34,293.14,deg,1.1823,0.1052,0.2628,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
83,0.126,1.11,-0.34,306.74,deg,1.1396,0.1275,0.1558,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
84,0.126,1.11,-0.45,41.56,deg,0.9642,0.0841,0.1194,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
85,0.126,1.11,-0.45,51.83,deg,0.8493,0.0623,0.1599,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
86,0.126,1.11,-0.45,66.87,deg,0.6147,0.0571,0.0862,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
87,0.126,1.11,-0.45,81.97,deg,0.3942,0.0382,0.0295,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
88,0.126,1.11,-0.45,97.06,deg,0.2724,0.0254,0.032,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
89,0.126,1.11,-0.45,112.15,deg,0.2626,0.0252,0.0338,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
90,0.126,1.11,-0.45,127.23,deg,0.1885,0.025,0.0254,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
91,0.126,1.11,-0.45,142.31,deg,0.1759,0.022,0.0172,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
92,0.126,1.11,-0.45,157.39,deg,0.1818,0.02,0.0103,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
93,0.126,1.11,-0.45,172.46,deg,0.1567,0.0196,0.0146,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
94,0.126,1.11,-0.45,187.54,deg,0.1513,0.0227,0.0259,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
95,0.126,1.11,-0.45,202.61,deg,0.1315,0.018,0.0114,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
96,0.126,1.11,-0.45,217.69,deg,0.1585,0.0182,0.0135,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
97,0.126,1.11,-0.45,232.77,deg,0.1984,0.0228,0.025,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
98,0.126,1.11,-0.45,247.85,deg,0.2037,0.0262,0.0164,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
99,0.126,1.11,-0.45,262.94,deg,0.2671,0.0257,0.0192,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
100,0.126,1.11,-0.45,278.03,deg,0.3425,0.0312,0.022,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
101,0.126,1.11,-0.45,293.13,deg,0.5723,0.0497,0.0478,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
102,0.126,1.11,-0.45,308.17,deg,0.8164,0.0767,0.0552,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
103,0.154,1.27,-0.11,39.49,deg,8.4447,0.4798,1.4078,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
104,0.154,1.27,-0.11,52.77,deg,4.7947,0.2755,0.3854,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
105,0.154,1.27,-0.11,67.03,deg,3.134,0.2163,0.4234,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
106,0.154,1.27,-0.11,82.09,deg,2.3581,0.1447,0.1791,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
107,0.154,1.27,-0.11,97.15,deg,1.944,0.1318,0.1878,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
108,0.154,1.27,-0.11,112.2,deg,1.6184,0.145,0.177,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
109,0.154,1.27,-0.11,127.26,deg,1.1996,0.1376,0.1055,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
110,0.154,1.27,-0.11,142.33,deg,1.1766,0.1098,0.1131,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
111,0.154,1.27,-0.11,157.4,deg,1.0584,0.1018,0.0809,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
112,0.154,1.27,-0.11,172.46,deg,1.1094,0.132,0.1428,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
113,0.154,1.27,-0.11,187.54,deg,0.9541,0.1178,0.1327,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
114,0.154,1.27,-0.11,202.6,deg,1.0561,0.1001,0.1092,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
115,0.154,1.27,-0.11,217.67,deg,1.1877,0.1124,0.0713,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
116,0.154,1.27,-0.11,232.74,deg,1.0885,0.1309,0.1484,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
117,0.154,1.27,-0.11,247.8,deg,1.2801,0.1161,0.0901,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
118,0.154,1.27,-0.11,262.85,deg,1.8438,0.1269,0.2238,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
119,0.154,1.27,-0.11,277.91,deg,2.5906,0.1672,0.3818,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
120,0.154,1.27,-0.11,292.97,deg,2.9282,0.2048,0.2438,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
121,0.154,1.27,-0.11,307.23,deg,4.5416,0.2312,0.369,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
122,0.154,1.27,-0.11,320.51,deg,7.144,0.3702,0.7751,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
123,0.154,1.27,-0.15,53.18,deg,3.5923,0.2252,0.2999,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
124,0.154,1.27,-0.15,66.96,deg,2.2993,0.1682,0.1721,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
125,0.154,1.27,-0.15,82.04,deg,1.5455,0.1041,0.1594,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
126,0.154,1.27,-0.15,97.11,deg,1.167,0.0832,0.1011,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
127,0.154,1.27,-0.15,112.18,deg,0.8174,0.0743,0.0618,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
128,0.154,1.27,-0.15,127.25,deg,0.7534,0.0895,0.0757,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
129,0.154,1.27,-0.15,142.32,deg,0.6568,0.0679,0.0484,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
130,0.154,1.27,-0.15,157.39,deg,0.5349,0.058,0.0352,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
131,0.154,1.27,-0.15,172.46,deg,0.6159,0.0728,0.0618,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
132,0.154,1.27,-0.15,187.54,deg,0.6326,0.0792,0.0824,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
133,0.154,1.27,-0.15,202.61,deg,0.5483,0.0598,0.0713,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
134,0.154,1.27,-0.15,217.68,deg,0.7841,0.0712,0.1249,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
135,0.154,1.27,-0.15,232.75,deg,0.6841,0.081,0.0758,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
136,0.154,1.27,-0.15,247.82,deg,0.8313,0.0791,0.0485,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
137,0.154,1.27,-0.15,262.89,deg,1.0538,0.0779,0.0683,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
138,0.154,1.27,-0.15,277.96,deg,1.5095,0.1009,0.0998,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
139,0.154,1.27,-0.15,293.04,deg,2.3509,0.1674,0.1633,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
140,0.154,1.27,-0.15,306.82,deg,3.5059,0.2188,0.3129,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
141,0.154,1.27,-0.2,53.03,deg,2.4735,0.1978,0.2552,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
142,0.154,1.27,-0.2,66.9,deg,1.4534,0.1417,0.0957,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
143,0.154,1.27,-0.2,82.0,deg,1.0145,0.0887,0.0897,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
144,0.154,1.27,-0.2,97.09,deg,0.8253,0.0688,0.0717,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
145,0.154,1.27,-0.2,112.17,deg,0.6273,0.0615,0.0552,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
146,0.154,1.27,-0.2,127.24,deg,0.5037,0.0691,0.0619,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
147,0.154,1.27,-0.2,142.31,deg,0.3612,0.0485,0.042,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
148,0.154,1.27,-0.2,157.39,deg,0.435,0.0498,0.0576,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
149,0.154,1.27,-0.2,172.46,deg,0.3221,0.0467,0.0322,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
150,0.154,1.27,-0.2,187.54,deg,0.3545,0.0562,0.0258,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
151,0.154,1.27,-0.2,202.61,deg,0.5319,0.0589,0.065,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
152,0.154,1.27,-0.2,217.69,deg,0.5126,0.0548,0.0402,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
153,0.154,1.27,-0.2,232.76,deg,0.3888,0.0547,0.0379,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
154,0.154,1.27,-0.2,247.83,deg,0.5469,0.0634,0.0553,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
155,0.154,1.27,-0.2,262.91,deg,0.8198,0.0687,0.0573,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
156,0.154,1.27,-0.2,278.0,deg,1.0263,0.0861,0.1684,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
157,0.154,1.27,-0.2,293.1,deg,1.4254,0.1341,0.1108,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
158,0.154,1.27,-0.2,306.97,deg,2.0991,0.1888,0.199,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
159,0.154,1.27,-0.26,52.39,deg,1.4858,0.1218,0.0952,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
160,0.154,1.27,-0.26,66.86,deg,0.8723,0.0918,0.106,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
161,0.154,1.27,-0.26,81.97,deg,0.66,0.0609,0.0418,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
162,0.154,1.27,-0.26,97.07,deg,0.4891,0.044,0.0585,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
163,0.154,1.27,-0.26,112.15,deg,0.4394,0.0428,0.0699,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
164,0.154,1.27,-0.26,127.23,deg,0.2856,0.0405,0.0359,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
165,0.154,1.27,-0.26,142.31,deg,0.3743,0.0426,0.0313,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
166,0.154,1.27,-0.26,157.39,deg,0.2181,0.0283,0.0311,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
167,0.154,1.27,-0.26,172.46,deg,0.2576,0.0334,0.0288,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
168,0.154,1.27,-0.26,187.54,deg,0.3326,0.0484,0.0315,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
169,0.154,1.27,-0.26,202.61,deg,0.2636,0.033,0.0165,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
170,0.154,1.27,-0.26,217.69,deg,0.2902,0.0335,0.0438,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
171,0.154,1.27,-0.26,232.77,deg,0.263,0.0363,0.0379,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
172,0.154,1.27,-0.26,247.85,deg,0.3767,0.0462,0.0517,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
173,0.154,1.27,-0.26,262.93,deg,0.4043,0.0409,0.068,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
174,0.154,1.27,-0.26,278.03,deg,0.8051,0.0635,0.1099,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
175,0.154,1.27,-0.26,293.14,deg,0.8908,0.0872,0.0658,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
176,0.154,1.27,-0.26,307.61,deg,1.7107,0.1526,0.1506,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
177,0.154,1.27,-0.34,51.8,deg,0.8891,0.0744,0.1499,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
178,0.154,1.27,-0.34,66.83,deg,0.5785,0.0609,0.0872,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
179,0.154,1.27,-0.34,81.95,deg,0.3016,0.0368,0.0332,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
180,0.154,1.27,-0.34,97.05,deg,0.3132,0.0308,0.0328,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
181,0.154,1.27,-0.34,112.14,deg,0.2228,0.0257,0.0137,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
182,0.154,1.27,-0.34,127.23,deg,0.2088,0.0315,0.0398,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
183,0.154,1.27,-0.34,142.31,deg,0.1059,0.0206,0.0221,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
184,0.154,1.27,-0.34,157.38,deg,0.1421,0.0217,0.028,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
185,0.154,1.27,-0.34,172.46,deg,0.102,0.0181,0.0108,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
186,0.154,1.27,-0.34,187.54,deg,0.1145,0.0241,0.0208,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
187,0.154,1.27,-0.34,202.62,deg,0.1599,0.0239,0.012,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
188,0.154,1.27,-0.34,217.69,deg,0.1868,0.0232,0.017,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
189,0.154,1.27,-0.34,232.77,deg,0.1553,0.0231,0.0226,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
190,0.154,1.27,-0.34,247.86,deg,0.2422,0.0337,0.0226,CLAS,d4SigUU,nb/GeV4,p,e-,5.75,0.9382720882
