,E_lepton,E_hadron,lepton,hadron,col,t,Q2,xB,phi,deg/rad,bin,obs,units,value,err_low,err_high,err_u
32,4.45,0.939565422,e-,n,JLab E08-025,-0.25,1.74,0.36,255,deg,2,deltad4SigLU,pb GeV^-4,-6.3363,6.50425,6.95741,6.95741
33,4.45,0.939565422,e-,n,JLab E08-025,-0.25,1.74,0.36,285,deg,2,deltad4SigLU,pb GeV^-4,-18.7561,11.0527,11.1967,11.1967
34,4.45,0.939565422,e-,n,JLab E08-025,-0.25,1.74,0.36,315,deg,2,deltad4SigLU,pb GeV^-4,-4.92049,11.8294,12.8119,12.8119
35,4.45,0.939565422,e-,n,JLab E08-025,-0.25,1.74,0.36,345,deg,2,deltad4SigLU,pb GeV^-4,-0.150047,14.7526,17.5882,17.5882
36,4.45,0.939565422,e-,n,JLab E08-025,-0.18,1.74,0.36,15,deg,3,deltad4SigLU,pb GeV^-4,34.1394,45.6551,47.4153,47.4153
37,4.45,0.939565422,e-,n,JLab E08-025,-0.18,1.74,0.36,45,deg,3,deltad4SigLU,pb GeV^-4,-18.5181,26.9752,28.611,28.611
38,4.45,0.939565422,e-,n,JLab E08-025,-0.18,1.74,0.36,75,deg,3,deltad4SigLU,pb GeV^-4,0.692942,23.409,23.847,23.847
39,4.45,0.939565422,e-,n,JLab E08-025,-0.18,1.74,0.36,105,deg,3,deltad4SigLU,pb GeV^-4,20.6168,23.6734,25.3368,25.3368
40,4.45,0.939565422,e-,n,JLab E08-025,-0.18,1.74,0.36,135,deg,3,deltad4SigLU,pb GeV^-4,-1.66403,18.1385,18.2983,18.2983
41,4.45,0.939565422,e-,n,JLab E08-025,-0.18,1.74,0.36,165,deg,3,deltad4SigLU,pb GeV^-4,-0.0608587,24.4744,24.7696,24.7696
42,4.45,0.939565422,e-,n,JLab E08-025,-0.18,1.74,0.36,195,deg,3,deltad4SigLU,pb GeV^-4,-1.81039,28.6027,28.9334,28.9334
43,4.45,0.939565422,e-,n,JLab E08-025,-0.18,1.74,0.36,225,deg,3,deltad4SigLU,pb GeV^-4,-1.83488,19.8842,20.6782,20.6782
44,4.45,0.939565422,e-,n,JLab E08-025,-0.18,1.74,0.36,255,deg,3,deltad4SigLU,pb GeV^-4,5.98552,20.0352,20.3437,20.3437
45,4.45,0.939565422,e-,n,JLab E08-025,-0.18,1.74,0.36,285,deg,3,deltad4SigLU,pb GeV^-4,-19.5179,34.8012,36.3646,36.3646
46,4.45,0.939565422,e-,n,JLab E08-025,-0.18,1.74,0.36,315,deg,3,deltad4SigLU,pb GeV^-4,-6.77795,22.6385,23.7603,23.7603
47,4.45,0.939565422,e-,n,JLab E08-025,-0.18,1.74,0.36,345,deg,3,deltad4SigLU,pb GeV^-4,2.25247,32.8315,32.2884,32.8315
48,5.55,0.939565422,e-,n,JLab E08-025,-0.4,1.74,0.36,15,deg,4,deltad4SigLU,pb GeV^-4,-1.79674,12.8988,12.6479,12.8988
49,5.55,0.939565422,e-,n,JLab E08-025,-0.4,1.74,0.36,45,deg,4,deltad4SigLU,pb GeV^-4,-3.10493,17.5188,14.6753,17.5188
50,5.55,0.939565422,e-,n,JLab E08-025,-0.4,1.74,0.36,75,deg,4,deltad4SigLU,pb GeV^-4,6.46792,13.2994,8.84037,13.2994
51,5.55,0.939565422,e-,n,JLab E08-025,-0.4,1.74,0.36,105,deg,4,deltad4SigLU,pb GeV^-4,0.671699,2.44924,2.82828,2.82828
52,5.55,0.939565422,e-,n,JLab E08-025,-0.4,1.74,0.36,135,deg,4,deltad4SigLU,pb GeV^-4,1.6721,5.69809,7.25609,7.25609
53,5.55,0.939565422,e-,n,JLab E08-025,-0.4,1.74,0.36,165,deg,4,deltad4SigLU,pb GeV^-4,0.6551,4.83908,3.33583,4.83908
54,5.55,0.939565422,e-,n,JLab E08-025,-0.4,1.74,0.36,195,deg,4,deltad4SigLU,pb GeV^-4,0.184851,3.32301,3.84922,3.84922
55,5.55,0.939565422,e-,n,JLab E08-025,-0.4,1.74,0.36,225,deg,4,deltad4SigLU,pb GeV^-4,0.159466,4.33395,4.21907,4.33395
56,5.55,0.939565422,e-,n,JLab E08-025,-0.4,1.74,0.36,255,deg,4,deltad4SigLU,pb GeV^-4,-0.496061,3.67653,2.98629,3.67653
57,5.55,0.939565422,e-,n,JLab E08-025,-0.4,1.74,0.36,285,deg,4,deltad4SigLU,pb GeV^-4,11.8562,22.5722,17.8978,22.5722
58,5.55,0.939565422,e-,n,JLab E08-025,-0.4,1.74,0.36,315,deg,4,deltad4SigLU,pb GeV^-4,7.96294,19.5008,19.3013,19.5008
59,5.55,0.939565422,e-,n,JLab E08-025,-0.4,1.74,0.36,345,deg,4,deltad4SigLU,pb GeV^-4,2.13248,10.7366,6.30219,10.7366
