,dependence,xB_min,xB_max,xB,t,Q2,obs,value,units,stat_u,syst_u,col,lepton,E_lepton,hadron,E_hadron
0,xB,0.03,0.06,0.05,-0.1,1.34,ALU_DVCS_sinphi,0.087,none,0.059,0.011,HERMES,e-/e+,27.6,p,0.9382720882
1,xB,0.06,0.08,0.07,-0.09,1.78,ALU_DVCS_sinphi,0.023,none,0.058,0.007,HERMES,e-/e+,27.6,p,0.9382720882
2,xB,0.08,0.1,0.09,-0.11,2.3,ALU_DVCS_sinphi,0.026,none,0.069,0.014,HERMES,e-/e+,27.6,p,0.9382720882
3,xB,0.1,0.13,0.11,-0.12,2.92,ALU_DVCS_sinphi,0.033,none,0.071,0.016,HERMES,e-/e+,27.6,p,0.9382720882
4,xB,0.13,0.2,0.16,-0.16,4.04,ALU_DVCS_sinphi,0.066,none,0.077,0.016,HERMES,e-/e+,27.6,p,0.9382720882
5,xB,0.2,0.35,0.24,-0.23,6.11,ALU_DVCS_sinphi,-0.196,none,0.137,0.048,HERMES,e-/e+,27.6,p,0.9382720882
