,dependence,t_min,t_max,xB,t,Q2,obs,value,units,stat_u,syst_u,col,lepton,E_lepton,hadron,E_hadron
0,-t,0.0,0.03,0.07,-0.02,1.71,ALU_DVCS_sinphi,0.095,none,0.062,0.007,HERMES,e-/e+,27.6,p,0.9382720882
1,-t,0.03,0.06,0.09,-0.04,2.22,ALU_DVCS_sinphi,0.091,none,0.062,0.01,HERMES,e-/e+,27.6,p,0.9382720882
2,-t,0.06,0.1,0.1,-0.08,2.44,ALU_DVCS_sinphi,-0.051,none,0.069,0.011,HERMES,e-/e+,27.6,p,0.9382720882
3,-t,0.1,0.2,0.11,-0.14,2.72,ALU_DVCS_sinphi,0.02,none,0.058,0.008,HERMES,e-/e+,27.6,p,0.9382720882
4,-t,0.2,0.35,0.12,-0.26,3.13,ALU_DVCS_sinphi,0.126,none,0.079,0.015,HERMES,e-/e+,27.6,p,0.9382720882
5,-t,0.35,0.7,0.12,-0.46,3.63,ALU_DVCS_sinphi,-0.101,none,0.114,0.01,HERMES,e-/e+,27.6,p,0.9382720882
