,xB,t,Q2,phi,deg/rad,obs,value,units,stat+syst_u,col,lepton,E_lepton,hadron,E_hadron
48,0.178174,-0.139439,1.20471,5.58651,deg,ALU,-0.118507,none,0.100433,CLAS,e-,10.6,p,0.93827208816
49,0.174145,-0.148333,1.19629,5.88728,deg,ALU,-0.0804759,none,0.0734451,CLAS,e-,10.6,p,0.93827208816
50,0.173261,-0.1631,1.18728,6.14024,deg,ALU,-0.0738377,none,0.0315014,CLAS,e-,10.6,p,0.93827208816
51,0.240322,-0.192415,1.21833,0.0904899,deg,ALU,0.0628241,none,0.0760889,CLAS,e-,10.6,p,0.93827208816
52,0.236936,-0.194124,1.22617,0.279772,deg,ALU,0.0492491,none,0.0771939,CLAS,e-,10.6,p,0.93827208816
53,0.239022,-0.18361,1.22956,0.465287,deg,ALU,0.297452,none,0.0649485,CLAS,e-,10.6,p,0.93827208816
54,0.238002,-0.18166,1.21396,0.672923,deg,ALU,0.235944,none,0.0843466,CLAS,e-,10.6,p,0.93827208816
55,0.236426,-0.184638,1.23477,1.03669,deg,ALU,0.285763,none,0.0914843,CLAS,e-,10.6,p,0.93827208816
56,0.235332,-0.203708,1.2406,1.5688,deg,ALU,0.0130705,none,0.156915,CLAS,e-,10.6,p,0.93827208816
57,0.244191,-0.196271,1.2347,4.74785,deg,ALU,0.136644,none,0.170144,CLAS,e-,10.6,p,0.93827208816
58,0.239975,-0.173361,1.24445,5.45796,deg,ALU,-0.106074,none,0.138749,CLAS,e-,10.6,p,0.93827208816
59,0.239658,-0.187564,1.24226,5.85242,deg,ALU,-0.163488,none,0.119169,CLAS,e-,10.6,p,0.93827208816
60,0.238182,-0.189811,1.22726,6.1312,deg,ALU,-0.082403,none,0.0707024,CLAS,e-,10.6,p,0.93827208816
61,0.118025,-0.264322,1.16234,0.0973684,deg,ALU,0.0584737,none,0.0226203,CLAS,e-,10.6,p,0.93827208816
62,0.114201,-0.288485,1.17396,0.289872,deg,ALU,0.0973894,none,0.0187394,CLAS,e-,10.6,p,0.93827208816
63,0.102673,-0.294449,1.18327,0.47593,deg,ALU,0.12513,none,0.0155078,CLAS,e-,10.6,p,0.93827208816
64,0.0894498,-0.301005,1.17841,0.662802,deg,ALU,0.159234,none,0.0140607,CLAS,e-,10.6,p,0.93827208816
