,Unnamed: 0,xB,t,Q2,phi,deg/rad,obs,value,units,stat_u,syst_u,%norm_c,col,lepton,E_lepton,hadron,E_hadron
36,36,0.374,-0.232,1.552,187.5,deg,deltad4SigLU,1.0,pb GeV^-4,2.6,+1.0/-0.4,3.4,Hall A,e-,5.7572,p,0.93827208816
37,37,0.374,-0.232,1.552,202.5,deg,deltad4SigLU,-1.8,pb GeV^-4,2.8,+4.0/-0.0,3.4,Hall A,e-,5.7572,p,0.93827208816
38,38,0.374,-0.232,1.552,217.5,deg,deltad4SigLU,-4.9,pb GeV^-4,2.9,+1.2/-0.9,3.4,Hall A,e-,5.7572,p,0.93827208816
39,39,0.374,-0.232,1.552,232.5,deg,deltad4SigLU,-8.7,pb GeV^-4,2.9,+1.1/-1.2,3.4,Hall A,e-,5.7572,p,0.93827208816
40,40,0.374,-0.232,1.552,247.5,deg,deltad4SigLU,-10.4,pb GeV^-4,3.2,+2.4/-0.0,3.4,Hall A,e-,5.7572,p,0.93827208816
41,41,0.374,-0.232,1.552,262.5,deg,deltad4SigLU,-7.9,pb GeV^-4,3.5,+2.4/-1.0,3.4,Hall A,e-,5.7572,p,0.93827208816
42,42,0.374,-0.232,1.552,277.5,deg,deltad4SigLU,-11.0,pb GeV^-4,3.6,+0.0/-3.3,3.4,Hall A,e-,5.7572,p,0.93827208816
43,43,0.374,-0.232,1.552,292.5,deg,deltad4SigLU,-16.4,pb GeV^-4,4.2,+0.9/-1.5,3.4,Hall A,e-,5.7572,p,0.93827208816
44,44,0.374,-0.232,1.552,307.5,deg,deltad4SigLU,-10.0,pb GeV^-4,4.7,+3.1/-0.0,3.4,Hall A,e-,5.7572,p,0.93827208816
45,45,0.374,-0.232,1.552,322.5,deg,deltad4SigLU,-11.8,pb GeV^-4,6.0,+0.0/-5.5,3.4,Hall A,e-,5.7572,p,0.93827208816
46,46,0.374,-0.232,1.552,337.5,deg,deltad4SigLU,-6.8,pb GeV^-4,7.0,+4.3/-0.0,3.4,Hall A,e-,5.7572,p,0.93827208816
47,47,0.374,-0.232,1.552,352.5,deg,deltad4SigLU,-4.3,pb GeV^-4,7.8,+5.1/-0.0,3.4,Hall A,e-,5.7572,p,0.93827208816
48,48,0.385,-0.278,1.589,7.5,deg,deltad4SigLU,-7.2,pb GeV^-4,10.8,+0.0/-3.5,3.4,Hall A,e-,5.7572,p,0.93827208816
49,49,0.385,-0.278,1.589,22.5,deg,deltad4SigLU,3.1,pb GeV^-4,8.9,+9.9/-1.8,3.4,Hall A,e-,5.7572,p,0.93827208816
50,50,0.385,-0.278,1.589,37.5,deg,deltad4SigLU,20.3,pb GeV^-4,6.9,+0.0/-5.1,3.4,Hall A,e-,5.7572,p,0.93827208816
51,51,0.385,-0.278,1.589,52.5,deg,deltad4SigLU,18.3,pb GeV^-4,5.7,+0.0/-4.2,3.4,Hall A,e-,5.7572,p,0.93827208816
52,52,0.385,-0.278,1.589,67.5,deg,deltad4SigLU,5.4,pb GeV^-4,4.8,+2.4/-0.0,3.4,Hall A,e-,5.7572,p,0.93827208816
53,53,0.385,-0.278,1.589,82.5,deg,deltad4SigLU,9.0,pb GeV^-4,4.1,+6.1/-0.0,3.4,Hall A,e-,5.7572,p,0.93827208816
54,54,0.385,-0.278,1.589,97.5,deg,deltad4SigLU,8.6,pb GeV^-4,3.9,+1.8/-2.9,3.4,Hall A,e-,5.7572,p,0.93827208816
55,55,0.385,-0.278,1.589,112.5,deg,deltad4SigLU,-2.2,pb GeV^-4,3.5,+5.1/-0.0,3.4,Hall A,e-,5.7572,p,0.93827208816
56,56,0.385,-0.278,1.589,127.5,deg,deltad4SigLU,4.0,pb GeV^-4,3.2,+4.7/-0.0,3.4,Hall A,e-,5.7572,p,0.93827208816
57,57,0.385,-0.278,1.589,142.5,deg,deltad4SigLU,4.2,pb GeV^-4,3.3,+1.8/-0.0,3.4,Hall A,e-,5.7572,p,0.93827208816
58,58,0.385,-0.278,1.589,157.5,deg,deltad4SigLU,8.0,pb GeV^-4,3.7,+0.9/-1.8,3.4,Hall A,e-,5.7572,p,0.93827208816
59,59,0.385,-0.278,1.589,172.5,deg,deltad4SigLU,-2.0,pb GeV^-4,3.6,+5.0/-0.0,3.4,Hall A,e-,5.7572,p,0.93827208816
60,60,0.385,-0.278,1.589,187.5,deg,deltad4SigLU,0.2,pb GeV^-4,3.6,+1.2/-0.8,3.4,Hall A,e-,5.7572,p,0.93827208816
61,61,0.385,-0.278,1.589,202.5,deg,deltad4SigLU,0.9,pb GeV^-4,3.4,+0.0/-3.4,3.4,Hall A,e-,5.7572,p,0.93827208816
62,62,0.385,-0.278,1.589,217.5,deg,deltad4SigLU,-1.5,pb GeV^-4,3.4,+1.1/-1.9,3.4,Hall A,e-,5.7572,p,0.93827208816
63,63,0.385,-0.278,1.589,232.5,deg,deltad4SigLU,-5.2,pb GeV^-4,3.2,+1.9/-0.0,3.4,Hall A,e-,5.7572,p,0.93827208816
64,64,0.385,-0.278,1.589,247.5,deg,deltad4SigLU,-11.5,pb GeV^-4,3.5,+0.7/-0.2,3.4,Hall A,e-,5.7572,p,0.93827208816
65,65,0.385,-0.278,1.589,262.5,deg,deltad4SigLU,-6.2,pb GeV^-4,3.7,+0.8/-1.5,3.4,Hall A,e-,5.7572,p,0.93827208816
66,66,0.385,-0.278,1.589,277.5,deg,deltad4SigLU,-9.3,pb GeV^-4,3.9,+1.0/-0.0,3.4,Hall A,e-,5.7572,p,0.93827208816
67,67,0.385,-0.278,1.589,292.5,deg,deltad4SigLU,-7.5,pb GeV^-4,4.5,+0.9/-1.7,3.4,Hall A,e-,5.7572,p,0.93827208816
68,68,0.385,-0.278,1.589,307.5,deg,deltad4SigLU,-2.5,pb GeV^-4,5.3,+0.0/-4.9,3.4,Hall A,e-,5.7572,p,0.93827208816
69,69,0.385,-0.278,1.589,322.5,deg,deltad4SigLU,-17.4,pb GeV^-4,6.9,+7.5/-0.0,3.4,Hall A,e-,5.7572,p,0.93827208816
70,70,0.385,-0.278,1.589,337.5,deg,deltad4SigLU,-3.0,pb GeV^-4,9.4,+0.0/-2.4,3.4,Hall A,e-,5.7572,p,0.93827208816
71,71,0.385,-0.278,1.589,352.5,deg,deltad4SigLU,0.5,pb GeV^-4,11.2,+2.6/-3.8,3.4,Hall A,e-,5.7572,p,0.93827208816
72,72,0.391,-0.323,1.608,7.5,deg,deltad4SigLU,4.2,pb GeV^-4,13.8,+4.5/-3.2,3.4,Hall A,e-,5.7572,p,0.93827208816
73,73,0.391,-0.323,1.608,22.5,deg,deltad4SigLU,10.8,pb GeV^-4,13.1,+0.0/-1.6,3.4,Hall A,e-,5.7572,p,0.93827208816
74,74,0.391,-0.323,1.608,37.5,deg,deltad4SigLU,18.0,pb GeV^-4,8.7,+3.8/-0.0,3.4,Hall A,e-,5.7572,p,0.93827208816
75,75,0.391,-0.323,1.608,52.5,deg,deltad4SigLU,18.0,pb GeV^-4,6.6,+7.8/-0.0,3.4,Hall A,e-,5.7572,p,0.93827208816
76,76,0.391,-0.323,1.608,67.5,deg,deltad4SigLU,13.9,pb GeV^-4,5.4,+0.4/-4.6,3.4,Hall A,e-,5.7572,p,0.93827208816
77,77,0.391,-0.323,1.608,82.5,deg,deltad4SigLU,5.7,pb GeV^-4,4.6,+3.6/-0.0,3.4,Hall A,e-,5.7572,p,0.93827208816
78,78,0.391,-0.323,1.608,97.5,deg,deltad4SigLU,0.6,pb GeV^-4,4.2,+4.5/-0.0,3.4,Hall A,e-,5.7572,p,0.93827208816
79,79,0.391,-0.323,1.608,112.5,deg,deltad4SigLU,6.3,pb GeV^-4,3.9,+1.3/-1.4,3.4,Hall A,e-,5.7572,p,0.93827208816
80,80,0.391,-0.323,1.608,127.5,deg,deltad4SigLU,2.0,pb GeV^-4,3.9,+0.1/-2.1,3.4,Hall A,e-,5.7572,p,0.93827208816
81,81,0.391,-0.323,1.608,142.5,deg,deltad4SigLU,1.2,pb GeV^-4,4.5,+0.6/-3.0,3.4,Hall A,e-,5.7572,p,0.93827208816
82,82,0.391,-0.323,1.608,157.5,deg,deltad4SigLU,5.9,pb GeV^-4,5.6,+4.0/-0.7,3.4,Hall A,e-,5.7572,p,0.93827208816
83,83,0.391,-0.323,1.608,172.5,deg,deltad4SigLU,-1.8,pb GeV^-4,6.6,+2.3/-0.0,3.4,Hall A,e-,5.7572,p,0.93827208816
84,84,0.391,-0.323,1.608,187.5,deg,deltad4SigLU,-13.9,pb GeV^-4,6.1,+0.0/-4.2,3.4,Hall A,e-,5.7572,p,0.93827208816
85,85,0.391,-0.323,1.608,202.5,deg,deltad4SigLU,1.8,pb GeV^-4,5.5,+2.0/-2.1,3.4,Hall A,e-,5.7572,p,0.93827208816
86,86,0.391,-0.323,1.608,217.5,deg,deltad4SigLU,-9.8,pb GeV^-4,4.8,+1.2/-3.2,3.4,Hall A,e-,5.7572,p,0.93827208816
87,87,0.391,-0.323,1.608,232.5,deg,deltad4SigLU,1.8,pb GeV^-4,3.9,+1.8/-0.0,3.4,Hall A,e-,5.7572,p,0.93827208816
88,88,0.391,-0.323,1.608,247.5,deg,deltad4SigLU,-11.7,pb GeV^-4,4.1,+2.4/-0.0,3.4,Hall A,e-,5.7572,p,0.93827208816
89,89,0.391,-0.323,1.608,262.5,deg,deltad4SigLU,-15.0,pb GeV^-4,4.3,+0.4/-1.5,3.4,Hall A,e-,5.7572,p,0.93827208816
90,90,0.391,-0.323,1.608,277.5,deg,deltad4SigLU,-12.1,pb GeV^-4,4.6,+1.6/-2.1,3.4,Hall A,e-,5.7572,p,0.93827208816
91,91,0.391,-0.323,1.608,292.5,deg,deltad4SigLU,-4.2,pb GeV^-4,5.2,+0.0/-7.3,3.4,Hall A,e-,5.7572,p,0.93827208816
