,dependence,Q2_min,Q2_max,xB,t,Q2,obs,value,units,stat_u,syst_u,col,lepton,E_lepton,hadron,E_hadron
0,Q2,1.0,1.4,0.05,-0.08,1.2, AC_cos0phi,-0.041,none,0.013,0.021,HERMES,e-/e+,27.6,p,0.9382720882
1,Q2,1.4,1.8,0.07,-0.1,1.59, AC_cos0phi,-0.033,none,0.015,0.02,HERMES,e-/e+,27.6,p,0.9382720882
2,Q2,1.8,2.4,0.08,-0.11,2.08, AC_cos0phi,-0.012,none,0.015,0.014,HERMES,e-/e+,27.6,p,0.9382720882
3,Q2,2.4,3.2,0.1,-0.13,2.77, AC_cos0phi,-0.025,none,0.016,0.006,HERMES,e-/e+,27.6,p,0.9382720882
4,Q2,3.2,4.5,0.13,-0.15,3.76, AC_cos0phi,0.021,none,0.018,0.009,HERMES,e-/e+,27.6,p,0.9382720882
5,Q2,4.5,10.0,0.2,-0.22,5.75, AC_cos0phi,-0.001,none,0.021,0.014,HERMES,e-/e+,27.6,p,0.9382720882
