,E_lepton,E_hadron,col,t,Q2,xB,phi,deg/rad,bin,obs,value,units,stat_u,Sys. Err. High,Sys. Err. Low,syst_c
30,4.45,0.938272088,JLab E08-025,-0.25,1.74,0.36,195,deg,2,d4SigUU,17.417,pb GeV^-4,4.03795,3.56239,4.23779,3.90009
31,4.45,0.938272088,JLab E08-025,-0.25,1.74,0.36,225,deg,2,d4SigUU,16.8865,pb GeV^-4,4.00752,2.73255,2.22869,2.48062
32,4.45,0.938272088,JLab E08-025,-0.25,1.74,0.36,255,deg,2,d4SigUU,21.6699,pb GeV^-4,4.07949,5.07473,5.02758,5.05116
33,4.45,0.938272088,JLab E08-025,-0.25,1.74,0.36,285,deg,2,d4SigUU,39.5594,pb GeV^-4,5.11741,11.1025,11.1655,11.1340
34,4.45,0.938272088,JLab E08-025,-0.25,1.74,0.36,315,deg,2,d4SigUU,50.1708,pb GeV^-4,8.86738,12.1782,10.5784,11.3783
35,4.45,0.938272088,JLab E08-025,-0.25,1.74,0.36,345,deg,2,d4SigUU,61.2817,pb GeV^-4,15.1354,19.1691,13.6921,16.4306
36,4.45,0.938272088,JLab E08-025,-0.18,1.74,0.36,15,deg,3,d4SigUU,95.1959,pb GeV^-4,19.7572,41.6956,43.5123,42.6040
37,4.45,0.938272088,JLab E08-025,-0.18,1.74,0.36,45,deg,3,d4SigUU,81.504,pb GeV^-4,13.5705,18.6001,17.5813,18.0907
38,4.45,0.938272088,JLab E08-025,-0.18,1.74,0.36,75,deg,3,d4SigUU,37.4591,pb GeV^-4,6.04899,26.4403,25.862,26.15115
39,4.45,0.938272088,JLab E08-025,-0.18,1.74,0.36,105,deg,3,d4SigUU,46.6197,pb GeV^-4,7.15621,21.0445,21.2997,21.1721
40,4.45,0.938272088,JLab E08-025,-0.18,1.74,0.36,135,deg,3,d4SigUU,24.2993,pb GeV^-4,7.26293,20.8952,20.9499,20.9226
41,4.45,0.938272088,JLab E08-025,-0.18,1.74,0.36,165,deg,3,d4SigUU,19.7802,pb GeV^-4,7.36517,31.8602,31.5374,31.6988
42,4.45,0.938272088,JLab E08-025,-0.18,1.74,0.36,195,deg,3,d4SigUU,33.6691,pb GeV^-4,8.85288,38.5312,38.1581,38.3447
43,4.45,0.938272088,JLab E08-025,-0.18,1.74,0.36,225,deg,3,d4SigUU,28.518,pb GeV^-4,7.64516,22.3664,22.2478,22.3071
44,4.45,0.938272088,JLab E08-025,-0.18,1.74,0.36,255,deg,3,d4SigUU,43.4966,pb GeV^-4,7.34916,22.9036,23.0282,22.9659
45,4.45,0.938272088,JLab E08-025,-0.18,1.74,0.36,285,deg,3,d4SigUU,57.185,pb GeV^-4,8.10903,41.405,40.5168,40.9609
46,4.45,0.938272088,JLab E08-025,-0.18,1.74,0.36,315,deg,3,d4SigUU,59.6527,pb GeV^-4,11.7449,17.4793,16.0481,16.7637
47,4.45,0.938272088,JLab E08-025,-0.18,1.74,0.36,345,deg,3,d4SigUU,77.6039,pb GeV^-4,16.6349,35.7963,36.8318,36.3141
48,5.55,0.938272088,JLab E08-025,-0.4,1.74,0.36,15,deg,4,d4SigUU,19.6649,pb GeV^-4,8.3403,4.47684,13.586,9.03142
49,5.55,0.938272088,JLab E08-025,-0.4,1.74,0.36,45,deg,4,d4SigUU,15.4314,pb GeV^-4,4.46866,3.699,6.04069,4.869845
50,5.55,0.938272088,JLab E08-025,-0.4,1.74,0.36,75,deg,4,d4SigUU,14.3022,pb GeV^-4,2.67224,1.89122,2.02944,1.96033
51,5.55,0.938272088,JLab E08-025,-0.4,1.74,0.36,105,deg,4,d4SigUU,8.25763,pb GeV^-4,2.73027,1.94935,1.29343,1.62139
52,5.55,0.938272088,JLab E08-025,-0.4,1.74,0.36,135,deg,4,d4SigUU,2.92917,pb GeV^-4,1.83246,1.3019,0.968604,1.135252
53,5.55,0.938272088,JLab E08-025,-0.4,1.74,0.36,165,deg,4,d4SigUU,9.34889,pb GeV^-4,2.80849,1.68167,2.20648,1.94408
54,5.55,0.938272088,JLab E08-025,-0.4,1.74,0.36,195,deg,4,d4SigUU,10.3409,pb GeV^-4,2.66901,2.11352,2.64143,2.37748
55,5.55,0.938272088,JLab E08-025,-0.4,1.74,0.36,225,deg,4,d4SigUU,8.39732,pb GeV^-4,2.12201,1.18342,1.94406,1.56374
56,5.55,0.938272088,JLab E08-025,-0.4,1.74,0.36,255,deg,4,d4SigUU,15.5517,pb GeV^-4,3.00584,1.87702,3.29109,2.58406
57,5.55,0.938272088,JLab E08-025,-0.4,1.74,0.36,285,deg,4,d4SigUU,17.4739,pb GeV^-4,3.13107,2.50145,1.98951,2.24548
58,5.55,0.938272088,JLab E08-025,-0.4,1.74,0.36,315,deg,4,d4SigUU,16.8339,pb GeV^-4,4.4176,3.27694,4.85456,4.06575
59,5.55,0.938272088,JLab E08-025,-0.4,1.74,0.36,345,deg,4,d4SigUU,5.64666,pb GeV^-4,5.55106,3.5799,10.8534,7.2167
60,5.55,0.938272088,JLab E08-025,-0.32,1.74,0.36,15,deg,5,d4SigUU,16.5013,pb GeV^-4,6.63751,6.85547,9.41782,8.13665
61,5.55,0.938272088,JLab E08-025,-0.32,1.74,0.36,45,deg,5,d4SigUU,18.9886,pb GeV^-4,4.68806,5.13918,6.09174,5.61546
62,5.55,0.938272088,JLab E08-025,-0.32,1.74,0.36,75,deg,5,d4SigUU,10.884,pb GeV^-4,3.10852,3.97341,4.21786,4.09564
63,5.55,0.938272088,JLab E08-025,-0.32,1.74,0.36,105,deg,5,d4SigUU,15.9598,pb GeV^-4,3.7011,3.34241,3.64578,3.49410
64,5.55,0.938272088,JLab E08-025,-0.32,1.74,0.36,135,deg,5,d4SigUU,10.8028,pb GeV^-4,3.59026,2.79919,2.89563,2.84741
65,5.55,0.938272088,JLab E08-025,-0.32,1.74,0.36,165,deg,5,d4SigUU,17.3868,pb GeV^-4,3.86437,6.18441,6.16879,6.17660
66,5.55,0.938272088,JLab E08-025,-0.32,1.74,0.36,195,deg,5,d4SigUU,7.9187,pb GeV^-4,2.71484,3.76301,3.21722,3.49012
67,5.55,0.938272088,JLab E08-025,-0.32,1.74,0.36,225,deg,5,d4SigUU,12.0992,pb GeV^-4,3.34047,3.06748,3.18174,3.12461
68,5.55,0.938272088,JLab E08-025,-0.32,1.74,0.36,255,deg,5,d4SigUU,9.76586,pb GeV^-4,3.36039,1.93682,2.9007,2.41876
69,5.55,0.938272088,JLab E08-025,-0.32,1.74,0.36,285,deg,5,d4SigUU,28.3084,pb GeV^-4,4.9247,9.00567,9.30685,9.15626
70,5.55,0.938272088,JLab E08-025,-0.32,1.74,0.36,315,deg,5,d4SigUU,25.7737,pb GeV^-4,5.52837,6.47727,7.49175,6.98451
71,5.55,0.938272088,JLab E08-025,-0.32,1.74,0.36,345,deg,5,d4SigUU,25.8477,pb GeV^-4,8.57404,9.07725,12.6618,10.869525
72,5.55,0.938272088,JLab E08-025,-0.25,1.75,0.36,15,deg,6,d4SigUU,10.5128,pb GeV^-4,7.62892,11.4528,8.41373,9.933265
73,5.55,0.938272088,JLab E08-025,-0.25,1.75,0.36,45,deg,6,d4SigUU,14.1758,pb GeV^-4,4.39049,6.12733,4.65952,5.39343
74,5.55,0.938272088,JLab E08-025,-0.25,1.75,0.36,75,deg,6,d4SigUU,11.2011,pb GeV^-4,2.83251,5.59278,5.57475,5.58377
75,5.55,0.938272088,JLab E08-025,-0.25,1.75,0.36,105,deg,6,d4SigUU,13.9955,pb GeV^-4,3.27142,3.78099,3.63261,3.70680
76,5.55,0.938272088,JLab E08-025,-0.25,1.75,0.36,135,deg,6,d4SigUU,7.08483,pb GeV^-4,2.39831,1.3453,1.25663,1.300965
77,5.55,0.938272088,JLab E08-025,-0.25,1.75,0.36,165,deg,6,d4SigUU,16.7697,pb GeV^-4,4.47227,4.01774,4.50612,4.26193
78,5.55,0.938272088,JLab E08-025,-0.25,1.75,0.36,195,deg,6,d4SigUU,12.3528,pb GeV^-4,3.24085,2.62001,2.81689,2.71845
79,5.55,0.938272088,JLab E08-025,-0.25,1.75,0.36,225,deg,6,d4SigUU,16.1324,pb GeV^-4,3.93964,2.57891,2.70352,2.64122
80,5.55,0.938272088,JLab E08-025,-0.25,1.75,0.36,255,deg,6,d4SigUU,26.0633,pb GeV^-4,4.52548,5.20661,5.3983,5.302455
81,5.55,0.938272088,JLab E08-025,-0.25,1.75,0.36,285,deg,6,d4SigUU,12.1237,pb GeV^-4,3.01531,5.06473,5.14061,5.10267
82,5.55,0.938272088,JLab E08-025,-0.25,1.75,0.36,315,deg,6,d4SigUU,21.8353,pb GeV^-4,5.16209,6.96664,5.32868,6.14766
83,5.55,0.938272088,JLab E08-025,-0.25,1.75,0.36,345,deg,6,d4SigUU,8.57859,pb GeV^-4,5.4634,8.01109,5.85933,6.93521
84,5.55,0.938272088,JLab E08-025,-0.18,1.75,0.36,15,deg,7,d4SigUU,42.6841,pb GeV^-4,10.2651,21.8691,23.102,22.48555
85,5.55,0.938272088,JLab E08-025,-0.18,1.75,0.36,45,deg,7,d4SigUU,33.5083,pb GeV^-4,6.86984,12.1661,12.0356,12.1009
86,5.55,0.938272088,JLab E08-025,-0.18,1.75,0.36,75,deg,7,d4SigUU,24.8989,pb GeV^-4,5.13408,19.4845,19.3147,19.3996
87,5.55,0.938272088,JLab E08-025,-0.18,1.75,0.36,105,deg,7,d4SigUU,26.5537,pb GeV^-4,6.05554,15.5326,15.6427,15.5877
88,5.55,0.938272088,JLab E08-025,-0.18,1.75,0.36,135,deg,7,d4SigUU,16.5109,pb GeV^-4,6.05113,8.77417,8.70249,8.73833
89,5.55,0.938272088,JLab E08-025,-0.18,1.75,0.36,165,deg,7,d4SigUU,5.95474,pb GeV^-4,5.16475,13.3509,13.1047,13.2278
90,5.55,0.938272088,JLab E08-025,-0.18,1.75,0.36,195,deg,7,d4SigUU,22.1234,pb GeV^-4,7.3888,18.7384,18.5449,18.6417
91,5.55,0.938272088,JLab E08-025,-0.18,1.75,0.36,225,deg,7,d4SigUU,22.6585,pb GeV^-4,6.92441,10.0108,9.90932,9.96006
92,5.55,0.938272088,JLab E08-025,-0.18,1.75,0.36,255,deg,7,d4SigUU,26.6215,pb GeV^-4,6.45375,16.616,16.7097,16.66285
93,5.55,0.938272088,JLab E08-025,-0.18,1.75,0.36,285,deg,7,d4SigUU,20.669,pb GeV^-4,4.86368,14.5959,14.4555,14.5257
94,5.55,0.938272088,JLab E08-025,-0.18,1.75,0.36,315,deg,7,d4SigUU,24.3668,pb GeV^-4,6.09201,11.6442,11.6229,11.6336
95,5.55,0.938272088,JLab E08-025,-0.18,1.75,0.36,345,deg,7,d4SigUU,36.4676,pb GeV^-4,9.08082,19.1987,20.0302,19.6145
