,xB,t,Q2,obs,value,units,stat_u,syst_u,%norm_c,col,lepton,E_lepton,hadron,E_hadron
0,0.054,-0.096,1.437,ALLCos1Phi,-0.108,none,0.108,0.013,5.3,HERMES,e+,27.6,p,0.93827208816
1,0.084,-0.099,2.115,ALLCos1Phi,-0.023,none,0.123,0.018,5.3,HERMES,e+,27.6,p,0.93827208816
2,0.121,-0.123,3.108,ALLCos1Phi,-0.169,none,0.135,0.016,5.3,HERMES,e+,27.6,p,0.93827208816
3,0.198,-0.188,4.934,ALLCos1Phi,0.279,none,0.178,0.047,5.3,HERMES,e+,27.6,p,0.93827208816
