,xB,t,Q2,obs,value,units,stat_u,syst_u,%norm_c,col,lepton,E_lepton,hadron,E_hadron
0,0.054,-0.096,1.437,ALLCos0Phi,0.137,none,0.076,0.014,5.3,HERMES,e+,27.6,p,0.93827208816
1,0.084,-0.099,2.115,ALLCos0Phi,-0.111,none,0.083,0.012,5.3,HERMES,e+,27.6,p,0.93827208816
2,0.121,-0.123,3.108,ALLCos0Phi,0.265,none,0.095,0.02,5.3,HERMES,e+,27.6,p,0.93827208816
3,0.198,-0.188,4.934,ALLCos0Phi,0.192,none,0.125,0.07,5.3,HERMES,e+,27.6,p,0.93827208816
