,xB,t,Q2,phi,deg/rad,obs,value,units,stat_u,syst_u,col,lepton,E_lepton,hadron,E_hadron
0,0.126,-0.11,1.11,68.33,deg,deltad4SigLU,3.0622,nb/GeV4,0.6597,0.3034,CLAS,e-,5.75,p,0.93827208816
1,0.126,-0.11,1.11,82.35,deg,deltad4SigLU,1.1243,nb/GeV4,0.3432,0.1237,CLAS,e-,5.75,p,0.93827208816
2,0.126,-0.11,1.11,97.13,deg,deltad4SigLU,0.5615,nb/GeV4,0.2493,0.1098,CLAS,e-,5.75,p,0.93827208816
3,0.126,-0.11,1.11,112.2,deg,deltad4SigLU,0.3814,nb/GeV4,0.2585,0.0983,CLAS,e-,5.75,p,0.93827208816
4,0.126,-0.11,1.11,127.27,deg,deltad4SigLU,0.2531,nb/GeV4,0.2196,0.0866,CLAS,e-,5.75,p,0.93827208816
5,0.126,-0.11,1.11,142.33,deg,deltad4SigLU,0.4094,nb/GeV4,0.1713,0.0536,CLAS,e-,5.75,p,0.93827208816
6,0.126,-0.11,1.11,157.4,deg,deltad4SigLU,-0.0751,nb/GeV4,0.1785,0.0401,CLAS,e-,5.75,p,0.93827208816
7,0.126,-0.11,1.11,172.47,deg,deltad4SigLU,0.1641,nb/GeV4,0.2104,0.113,CLAS,e-,5.75,p,0.93827208816
8,0.126,-0.11,1.11,187.53,deg,deltad4SigLU,0.4801,nb/GeV4,0.2039,0.1061,CLAS,e-,5.75,p,0.93827208816
9,0.126,-0.11,1.11,202.6,deg,deltad4SigLU,0.0966,nb/GeV4,0.1682,0.0839,CLAS,e-,5.75,p,0.93827208816
10,0.126,-0.11,1.11,217.67,deg,deltad4SigLU,-0.1492,nb/GeV4,0.1983,0.0729,CLAS,e-,5.75,p,0.93827208816
11,0.126,-0.11,1.11,232.73,deg,deltad4SigLU,-0.2495,nb/GeV4,0.2317,0.1292,CLAS,e-,5.75,p,0.93827208816
12,0.126,-0.11,1.11,247.8,deg,deltad4SigLU,-0.729,nb/GeV4,0.2167,0.1075,CLAS,e-,5.75,p,0.93827208816
13,0.126,-0.11,1.11,262.87,deg,deltad4SigLU,-1.0084,nb/GeV4,0.2309,0.1189,CLAS,e-,5.75,p,0.93827208816
14,0.126,-0.11,1.11,277.65,deg,deltad4SigLU,-0.5518,nb/GeV4,0.3556,0.1416,CLAS,e-,5.75,p,0.93827208816
15,0.126,-0.11,1.11,291.67,deg,deltad4SigLU,0.0447,nb/GeV4,0.6867,0.2529,CLAS,e-,5.75,p,0.93827208816
16,0.126,-0.15,1.11,68.12,deg,deltad4SigLU,0.6795,nb/GeV4,0.49,0.1954,CLAS,e-,5.75,p,0.93827208816
17,0.126,-0.15,1.11,82.03,deg,deltad4SigLU,0.4964,nb/GeV4,0.243,0.1196,CLAS,e-,5.75,p,0.93827208816
18,0.126,-0.15,1.11,97.11,deg,deltad4SigLU,0.3561,nb/GeV4,0.1853,0.0923,CLAS,e-,5.75,p,0.93827208816
19,0.126,-0.15,1.11,112.18,deg,deltad4SigLU,0.4436,nb/GeV4,0.1634,0.0644,CLAS,e-,5.75,p,0.93827208816
20,0.126,-0.15,1.11,127.26,deg,deltad4SigLU,0.4021,nb/GeV4,0.1392,0.0558,CLAS,e-,5.75,p,0.93827208816
21,0.126,-0.15,1.11,142.33,deg,deltad4SigLU,0.1102,nb/GeV4,0.1136,0.0393,CLAS,e-,5.75,p,0.93827208816
22,0.126,-0.15,1.11,157.4,deg,deltad4SigLU,0.0618,nb/GeV4,0.1126,0.0134,CLAS,e-,5.75,p,0.93827208816
23,0.126,-0.15,1.11,172.47,deg,deltad4SigLU,-0.1299,nb/GeV4,0.129,0.0791,CLAS,e-,5.75,p,0.93827208816
24,0.126,-0.15,1.11,187.53,deg,deltad4SigLU,-0.1661,nb/GeV4,0.1213,0.027,CLAS,e-,5.75,p,0.93827208816
25,0.126,-0.15,1.11,202.6,deg,deltad4SigLU,-0.0407,nb/GeV4,0.1076,0.0401,CLAS,e-,5.75,p,0.93827208816
26,0.126,-0.15,1.11,217.67,deg,deltad4SigLU,0.0087,nb/GeV4,0.1092,0.0265,CLAS,e-,5.75,p,0.93827208816
27,0.126,-0.15,1.11,232.74,deg,deltad4SigLU,-0.6118,nb/GeV4,0.1467,0.092,CLAS,e-,5.75,p,0.93827208816
28,0.126,-0.15,1.11,247.82,deg,deltad4SigLU,-0.3149,nb/GeV4,0.1507,0.045,CLAS,e-,5.75,p,0.93827208816
29,0.126,-0.15,1.11,262.89,deg,deltad4SigLU,-0.6995,nb/GeV4,0.168,0.0787,CLAS,e-,5.75,p,0.93827208816
30,0.126,-0.15,1.11,277.97,deg,deltad4SigLU,-0.3979,nb/GeV4,0.2665,0.0867,CLAS,e-,5.75,p,0.93827208816
31,0.126,-0.15,1.11,291.88,deg,deltad4SigLU,-0.7879,nb/GeV4,0.4529,0.1933,CLAS,e-,5.75,p,0.93827208816
32,0.126,-0.2,1.11,67.53,deg,deltad4SigLU,0.0955,nb/GeV4,0.4002,0.1316,CLAS,e-,5.75,p,0.93827208816
33,0.126,-0.2,1.11,82.0,deg,deltad4SigLU,0.3196,nb/GeV4,0.2349,0.0751,CLAS,e-,5.75,p,0.93827208816
34,0.126,-0.2,1.11,97.09,deg,deltad4SigLU,0.2186,nb/GeV4,0.1567,0.0759,CLAS,e-,5.75,p,0.93827208816
35,0.126,-0.2,1.11,112.17,deg,deltad4SigLU,0.3685,nb/GeV4,0.133,0.0503,CLAS,e-,5.75,p,0.93827208816
36,0.126,-0.2,1.11,127.25,deg,deltad4SigLU,-0.0554,nb/GeV4,0.1103,0.0325,CLAS,e-,5.75,p,0.93827208816
37,0.126,-0.2,1.11,142.32,deg,deltad4SigLU,-0.0924,nb/GeV4,0.0859,0.0129,CLAS,e-,5.75,p,0.93827208816
38,0.126,-0.2,1.11,157.39,deg,deltad4SigLU,0.1245,nb/GeV4,0.0897,0.025,CLAS,e-,5.75,p,0.93827208816
39,0.126,-0.2,1.11,172.46,deg,deltad4SigLU,-0.0205,nb/GeV4,0.0957,0.0211,CLAS,e-,5.75,p,0.93827208816
40,0.126,-0.2,1.11,187.54,deg,deltad4SigLU,0.069,nb/GeV4,0.1049,0.0383,CLAS,e-,5.75,p,0.93827208816
41,0.126,-0.2,1.11,202.61,deg,deltad4SigLU,0.0325,nb/GeV4,0.073,0.0297,CLAS,e-,5.75,p,0.93827208816
