,Unnamed: 0,xB,t,Q2,obs,value,units,stat_u,syst_u,%norm_c,col,lepton,E_lepton,hadron,E_hadron
0,0,0.079,-0.031,1.982,AULSin2Phi,-0.06,none,0.05,0.007,4.2,HERMES,e+,27.6,p,0.93827208816
1,1,0.103,-0.094,2.531,AULSin2Phi,-0.11,none,0.059,0.018,4.2,HERMES,e+,27.6,p,0.93827208816
2,2,0.11,-0.201,2.883,AULSin2Phi,-0.154,none,0.069,0.008,4.2,HERMES,e+,27.6,p,0.93827208816
3,3,0.123,-0.408,3.587,AULSin2Phi,-0.191,none,0.116,0.021,4.2,HERMES,e+,27.6,p,0.93827208816
