,xB,t,Q2,obs,value,units,stat_u,syst_u,%norm_c,col,lepton,E_lepton,hadron,E_hadron
0,0.054,-0.076,1.2,ACCos0Phi,-0.046,none,0.008,0.023,3.4,HERMES,e-/e+,27.6,p,0.93827208816
1,0.069,-0.089,1.59,ACCos0Phi,-0.018,none,0.009,0.021,3.4,HERMES,e-/e+,27.6,p,0.93827208816
2,0.085,-0.104,2.08,ACCos0Phi,-0.039,none,0.009,0.022,3.4,HERMES,e-/e+,27.6,p,0.93827208816
3,0.105,-0.126,2.77,ACCos0Phi,-0.016,none,0.01,0.019,3.4,HERMES,e-/e+,27.6,p,0.93827208816
4,0.134,-0.151,3.76,ACCos0Phi,0.002,none,0.011,0.014,3.4,HERMES,e-/e+,27.6,p,0.93827208816
5,0.2,-0.218,5.82,ACCos0Phi,-0.003,none,0.013,0.014,3.4,HERMES,e-/e+,27.6,p,0.93827208816
