,Unnamed: 0,xB,t,Q2,obs,value,units,stat_u,syst_u,%norm_c,col,lepton,E_lepton,hadron,E_hadron
0,0,0.049,-0.095,1.34,ALUISin2Phi,-0.064,none,0.051,0.01,3.4,HERMES,e-/e+,27.6,p,0.93827208816
1,1,0.069,-0.091,1.8,ALUISin2Phi,0.024,none,0.049,0.012,3.4,HERMES,e-/e+,27.6,p,0.93827208816
2,2,0.089,-0.104,2.3,ALUISin2Phi,0.028,none,0.056,0.007,3.4,HERMES,e-/e+,27.6,p,0.93827208816
3,3,0.113,-0.121,2.93,ALUISin2Phi,-0.012,none,0.059,0.01,3.4,HERMES,e-/e+,27.6,p,0.93827208816
4,4,0.157,-0.159,4.06,ALUISin2Phi,0.046,none,0.061,0.01,3.4,HERMES,e-/e+,27.6,p,0.93827208816
5,5,0.244,-0.231,6.14,ALUISin2Phi,0.046,none,0.102,0.015,3.4,HERMES,e-/e+,27.6,p,0.93827208816
