,Unnamed: 0,dependence,t_min,t_max,xB,t,Q2,obs,value,units,stat_u,syst_u,col,lepton,E_lepton,hadron,E_hadron
0,0,-t,0.0,0.03,0.07,-0.02,1.71,ALU_I_sin2phi,0.057,none,0.061,0.006,HERMES,e-/e+,27.6,p,0.9382720882
1,1,-t,0.03,0.06,0.09,-0.04,2.22,ALU_I_sin2phi,-0.039,none,0.061,0.012,HERMES,e-/e+,27.6,p,0.9382720882
2,2,-t,0.06,0.1,0.1,-0.08,2.44,ALU_I_sin2phi,-0.063,none,0.068,0.006,HERMES,e-/e+,27.6,p,0.9382720882
3,3,-t,0.1,0.2,0.11,-0.14,2.72,ALU_I_sin2phi,-0.041,none,0.058,0.012,HERMES,e-/e+,27.6,p,0.9382720882
4,4,-t,0.2,0.35,0.12,-0.26,3.13,ALU_I_sin2phi,-0.065,none,0.08,0.013,HERMES,e-/e+,27.6,p,0.9382720882
5,5,-t,0.35,0.7,0.12,-0.46,3.63,ALU_I_sin2phi,-0.201,none,0.116,0.025,HERMES,e-/e+,27.6,p,0.9382720882
