,Unnamed: 0,xB,t,Q2,phi,deg/rad,obs,value,units,stat_u,syst_u,col,lepton,E_lepton,hadron,E_hadron
31,31,0.363,-0.13,3.17,112.5,deg,deltad4SigLU,0.00432,nb GeV^-4,0.00092,+0.000380/-0.000290,Hall A,e-,7.38,p,0.93827208816
32,32,0.363,-0.13,3.17,127.5,deg,deltad4SigLU,0.00352,nb GeV^-4,0.00085,+0.000210/-0.000380,Hall A,e-,7.38,p,0.93827208816
33,33,0.363,-0.13,3.17,142.5,deg,deltad4SigLU,0.00155,nb GeV^-4,0.00084,+0.000500/-0.000120,Hall A,e-,7.38,p,0.93827208816
34,34,0.363,-0.13,3.17,157.5,deg,deltad4SigLU,0.00115,nb GeV^-4,0.00076,+0.000140/-0.000470,Hall A,e-,7.38,p,0.93827208816
35,35,0.363,-0.13,3.17,172.5,deg,deltad4SigLU,5.99e-07,nb GeV^-4,0.00081,+0.000050/-0.000280,Hall A,e-,7.38,p,0.93827208816
36,36,0.363,-0.13,3.17,187.5,deg,deltad4SigLU,7.79e-05,nb GeV^-4,0.00076,+0.000120/-0.000490,Hall A,e-,7.38,p,0.93827208816
37,37,0.363,-0.13,3.17,202.5,deg,deltad4SigLU,-0.000574,nb GeV^-4,0.0008,+0.000160/-0.000370,Hall A,e-,7.38,p,0.93827208816
38,38,0.363,-0.13,3.17,217.5,deg,deltad4SigLU,-0.00184,nb GeV^-4,0.00088,+0.000200/-0.000290,Hall A,e-,7.38,p,0.93827208816
39,39,0.363,-0.13,3.17,232.5,deg,deltad4SigLU,-0.00261,nb GeV^-4,0.00092,+0.000350/-0.000260,Hall A,e-,7.38,p,0.93827208816
40,40,0.363,-0.13,3.17,247.5,deg,deltad4SigLU,-0.00433,nb GeV^-4,0.001,+0.000160/-0.000370,Hall A,e-,7.38,p,0.93827208816
41,41,0.363,-0.13,3.17,262.5,deg,deltad4SigLU,-0.00463,nb GeV^-4,0.0011,+0.000300/-0.000570,Hall A,e-,7.38,p,0.93827208816
42,42,0.363,-0.13,3.17,277.5,deg,deltad4SigLU,-0.00364,nb GeV^-4,0.0012,+0.000150/-0.000700,Hall A,e-,7.38,p,0.93827208816
43,43,0.363,-0.13,3.17,292.5,deg,deltad4SigLU,-0.00564,nb GeV^-4,0.0014,+0.000450/-0.000570,Hall A,e-,7.38,p,0.93827208816
44,44,0.363,-0.13,3.17,307.5,deg,deltad4SigLU,-0.00814,nb GeV^-4,0.0015,+0.000560/-0.000860,Hall A,e-,7.38,p,0.93827208816
45,45,0.363,-0.13,3.17,322.5,deg,deltad4SigLU,-0.00535,nb GeV^-4,0.0017,+0.000540/-0.000210,Hall A,e-,7.38,p,0.93827208816
46,46,0.363,-0.13,3.17,337.5,deg,deltad4SigLU,-0.0054,nb GeV^-4,0.0018,+0.000450/-0.000460,Hall A,e-,7.38,p,0.93827208816
47,47,0.363,-0.13,3.17,352.5,deg,deltad4SigLU,0.000308,nb GeV^-4,0.0019,+0.000330/-0.001000,Hall A,e-,7.38,p,0.93827208816
48,48,0.365,-0.216,3.18,7.5,deg,deltad4SigLU,0.00095,nb GeV^-4,0.003,+0.000210/-0.001300,Hall A,e-,7.38,p,0.93827208816
49,49,0.365,-0.216,3.18,22.5,deg,deltad4SigLU,0.00235,nb GeV^-4,0.0024,+0.000440/-0.001300,Hall A,e-,7.38,p,0.93827208816
50,50,0.365,-0.216,3.18,37.5,deg,deltad4SigLU,0.00469,nb GeV^-4,0.0018,+0.000930/-0.000230,Hall A,e-,7.38,p,0.93827208816
51,51,0.365,-0.216,3.18,52.5,deg,deltad4SigLU,0.00586,nb GeV^-4,0.0014,+0.000350/-0.000640,Hall A,e-,7.38,p,0.93827208816
52,52,0.365,-0.216,3.18,67.5,deg,deltad4SigLU,0.00379,nb GeV^-4,0.0012,+0.000480/-0.000430,Hall A,e-,7.38,p,0.93827208816
53,53,0.365,-0.216,3.18,82.5,deg,deltad4SigLU,0.00352,nb GeV^-4,0.001,+0.000580/-0.000130,Hall A,e-,7.38,p,0.93827208816
54,54,0.365,-0.216,3.18,97.5,deg,deltad4SigLU,0.00347,nb GeV^-4,0.00089,+0.000250/-0.000280,Hall A,e-,7.38,p,0.93827208816
55,55,0.365,-0.216,3.18,112.5,deg,deltad4SigLU,0.00427,nb GeV^-4,0.0008,+0.000180/-0.000310,Hall A,e-,7.38,p,0.93827208816
56,56,0.365,-0.216,3.18,127.5,deg,deltad4SigLU,0.00154,nb GeV^-4,0.00076,+0.000400/-0.000190,Hall A,e-,7.38,p,0.93827208816
57,57,0.365,-0.216,3.18,142.5,deg,deltad4SigLU,0.00146,nb GeV^-4,0.00072,+0.000210/-0.000170,Hall A,e-,7.38,p,0.93827208816
58,58,0.365,-0.216,3.18,157.5,deg,deltad4SigLU,0.00102,nb GeV^-4,0.00072,+0.000170/-0.000150,Hall A,e-,7.38,p,0.93827208816
59,59,0.365,-0.216,3.18,172.5,deg,deltad4SigLU,-0.00019,nb GeV^-4,0.00075,+0.000360/-0.000160,Hall A,e-,7.38,p,0.93827208816
60,60,0.365,-0.216,3.18,187.5,deg,deltad4SigLU,0.000214,nb GeV^-4,0.00068,+0.000280/-0.000190,Hall A,e-,7.38,p,0.93827208816
61,61,0.365,-0.216,3.18,202.5,deg,deltad4SigLU,-0.000375,nb GeV^-4,0.00077,+0.000210/-0.000440,Hall A,e-,7.38,p,0.93827208816
62,62,0.365,-0.216,3.18,217.5,deg,deltad4SigLU,-0.000563,nb GeV^-4,0.00074,+0.000160/-0.000380,Hall A,e-,7.38,p,0.93827208816
63,63,0.365,-0.216,3.18,232.5,deg,deltad4SigLU,-0.00159,nb GeV^-4,0.00079,+0.000160/-0.000240,Hall A,e-,7.38,p,0.93827208816
64,64,0.365,-0.216,3.18,247.5,deg,deltad4SigLU,-0.0031,nb GeV^-4,0.00087,+0.000150/-0.000480,Hall A,e-,7.38,p,0.93827208816
65,65,0.365,-0.216,3.18,262.5,deg,deltad4SigLU,-0.00297,nb GeV^-4,0.00097,+0.000380/-0.000190,Hall A,e-,7.38,p,0.93827208816
66,66,0.365,-0.216,3.18,277.5,deg,deltad4SigLU,-0.0047,nb GeV^-4,0.0011,+0.000550/-0.000630,Hall A,e-,7.38,p,0.93827208816
67,67,0.365,-0.216,3.18,292.5,deg,deltad4SigLU,-0.00912,nb GeV^-4,0.0013,+0.000400/-0.000460,Hall A,e-,7.38,p,0.93827208816
68,68,0.365,-0.216,3.18,307.5,deg,deltad4SigLU,-0.00793,nb GeV^-4,0.0015,+0.000770/-0.000720,Hall A,e-,7.38,p,0.93827208816
69,69,0.365,-0.216,3.18,322.5,deg,deltad4SigLU,-0.00638,nb GeV^-4,0.0017,+0.000790/-0.000320,Hall A,e-,7.38,p,0.93827208816
70,70,0.365,-0.216,3.18,337.5,deg,deltad4SigLU,-0.00579,nb GeV^-4,0.0022,+0.000540/-0.000690,Hall A,e-,7.38,p,0.93827208816
71,71,0.365,-0.216,3.18,352.5,deg,deltad4SigLU,-0.00337,nb GeV^-4,0.0027,+0.000670/-0.001400,Hall A,e-,7.38,p,0.93827208816
72,72,0.365,-0.302,3.18,7.5,deg,deltad4SigLU,0.00622,nb GeV^-4,0.0062,+0.001800/-0.001800,Hall A,e-,7.38,p,0.93827208816
73,73,0.365,-0.302,3.18,22.5,deg,deltad4SigLU,0.0049,nb GeV^-4,0.0038,+0.001800/-0.000520,Hall A,e-,7.38,p,0.93827208816
74,74,0.365,-0.302,3.18,37.5,deg,deltad4SigLU,0.00315,nb GeV^-4,0.0021,+0.001400/-0.000120,Hall A,e-,7.38,p,0.93827208816
75,75,0.365,-0.302,3.18,52.5,deg,deltad4SigLU,0.00603,nb GeV^-4,0.0015,+0.000220/-0.000960,Hall A,e-,7.38,p,0.93827208816
76,76,0.365,-0.302,3.18,67.5,deg,deltad4SigLU,0.0036,nb GeV^-4,0.0012,+0.000460/-0.000880,Hall A,e-,7.38,p,0.93827208816
77,77,0.365,-0.302,3.18,82.5,deg,deltad4SigLU,0.00316,nb GeV^-4,0.001,+0.000420/-0.000210,Hall A,e-,7.38,p,0.93827208816
78,78,0.365,-0.302,3.18,97.5,deg,deltad4SigLU,0.00298,nb GeV^-4,0.0009,+0.000210/-0.000430,Hall A,e-,7.38,p,0.93827208816
79,79,0.365,-0.302,3.18,112.5,deg,deltad4SigLU,0.00239,nb GeV^-4,0.00078,+0.000240/-0.000170,Hall A,e-,7.38,p,0.93827208816
80,80,0.365,-0.302,3.18,127.5,deg,deltad4SigLU,0.00154,nb GeV^-4,0.00071,+0.000140/-0.000200,Hall A,e-,7.38,p,0.93827208816
81,81,0.365,-0.302,3.18,142.5,deg,deltad4SigLU,0.00127,nb GeV^-4,0.0007,+0.000360/-0.000360,Hall A,e-,7.38,p,0.93827208816
82,82,0.365,-0.302,3.18,157.5,deg,deltad4SigLU,0.000259,nb GeV^-4,0.00072,+0.000270/-0.000081,Hall A,e-,7.38,p,0.93827208816
83,83,0.365,-0.302,3.18,172.5,deg,deltad4SigLU,0.00069,nb GeV^-4,0.00083,+0.000410/-0.000160,Hall A,e-,7.38,p,0.93827208816
84,84,0.365,-0.302,3.18,187.5,deg,deltad4SigLU,-0.000246,nb GeV^-4,0.00077,+0.000460/-0.000061,Hall A,e-,7.38,p,0.93827208816
85,85,0.365,-0.302,3.18,202.5,deg,deltad4SigLU,-0.00114,nb GeV^-4,0.0008,+0.000220/-0.000550,Hall A,e-,7.38,p,0.93827208816
86,86,0.365,-0.302,3.18,217.5,deg,deltad4SigLU,-0.0011,nb GeV^-4,0.00077,+0.000270/-0.000290,Hall A,e-,7.38,p,0.93827208816
87,87,0.365,-0.302,3.18,232.5,deg,deltad4SigLU,-0.00143,nb GeV^-4,0.00074,+0.000280/-0.000150,Hall A,e-,7.38,p,0.93827208816
88,88,0.365,-0.302,3.18,247.5,deg,deltad4SigLU,-0.00243,nb GeV^-4,0.0008,+0.000300/-0.000140,Hall A,e-,7.38,p,0.93827208816
89,89,0.365,-0.302,3.18,262.5,deg,deltad4SigLU,-0.00166,nb GeV^-4,0.0009,+0.000410/-0.000370,Hall A,e-,7.38,p,0.93827208816
90,90,0.365,-0.302,3.18,277.5,deg,deltad4SigLU,-0.00468,nb GeV^-4,0.0011,+0.000390/-0.000330,Hall A,e-,7.38,p,0.93827208816
91,91,0.365,-0.302,3.18,292.5,deg,deltad4SigLU,-0.00477,nb GeV^-4,0.0013,+0.000370/-0.000580,Hall A,e-,7.38,p,0.93827208816
92,92,0.365,-0.302,3.18,307.5,deg,deltad4SigLU,-0.005,nb GeV^-4,0.0016,+0.000700/-0.000690,Hall A,e-,7.38,p,0.93827208816
93,93,0.365,-0.302,3.18,322.5,deg,deltad4SigLU,-0.00184,nb GeV^-4,0.002,+0.000450/-0.000970,Hall A,e-,7.38,p,0.93827208816
94,94,0.365,-0.302,3.18,337.5,deg,deltad4SigLU,-0.00514,nb GeV^-4,0.0034,+0.001900/-0.001300,Hall A,e-,7.38,p,0.93827208816
95,95,0.365,-0.302,3.18,352.5,deg,deltad4SigLU,0.00291,nb GeV^-4,0.0056,+0.001100/-0.003600,Hall A,e-,7.38,p,0.93827208816
96,96,0.364,-0.418,3.18,7.5,deg,deltad4SigLU,-0.0101,nb GeV^-4,0.026,+0.000880/-0.003100,Hall A,e-,7.38,p,0.93827208816
97,97,0.364,-0.418,3.18,22.5,deg,deltad4SigLU,0.00438,nb GeV^-4,0.0097,+0.003400/-0.000860,Hall A,e-,7.38,p,0.93827208816
98,98,0.364,-0.418,3.18,37.5,deg,deltad4SigLU,0.00551,nb GeV^-4,0.0025,+0.000830/-0.001700,Hall A,e-,7.38,p,0.93827208816
99,99,0.364,-0.418,3.18,52.5,deg,deltad4SigLU,0.00222,nb GeV^-4,0.0013,+0.000390/-0.000410,Hall A,e-,7.38,p,0.93827208816
100,100,0.364,-0.418,3.18,67.5,deg,deltad4SigLU,0.00325,nb GeV^-4,0.00097,+0.000130/-0.000480,Hall A,e-,7.38,p,0.93827208816
101,101,0.364,-0.418,3.18,82.5,deg,deltad4SigLU,0.00158,nb GeV^-4,0.00084,+0.000390/-0.000430,Hall A,e-,7.38,p,0.93827208816
102,102,0.364,-0.418,3.18,97.5,deg,deltad4SigLU,0.000356,nb GeV^-4,0.00071,+0.000180/-0.000180,Hall A,e-,7.38,p,0.93827208816
103,103,0.364,-0.418,3.18,112.5,deg,deltad4SigLU,0.000877,nb GeV^-4,0.00058,+0.000210/-0.000290,Hall A,e-,7.38,p,0.93827208816
104,104,0.364,-0.418,3.18,127.5,deg,deltad4SigLU,0.000681,nb GeV^-4,0.00049,+0.000027/-0.000300,Hall A,e-,7.38,p,0.93827208816
105,105,0.364,-0.418,3.18,142.5,deg,deltad4SigLU,0.00116,nb GeV^-4,0.00054,+0.000100/-0.000270,Hall A,e-,7.38,p,0.93827208816
106,106,0.364,-0.418,3.18,157.5,deg,deltad4SigLU,0.000946,nb GeV^-4,0.00073,+0.000053/-0.000330,Hall A,e-,7.38,p,0.93827208816
107,107,0.364,-0.418,3.18,172.5,deg,deltad4SigLU,0.000471,nb GeV^-4,0.00087,+0.000790/-0.000340,Hall A,e-,7.38,p,0.93827208816
108,108,0.364,-0.418,3.18,187.5,deg,deltad4SigLU,-0.000234,nb GeV^-4,0.00093,+0.000180/-0.000330,Hall A,e-,7.38,p,0.93827208816
