,xB,t,Q2,phi,deg/rad,obs,value,units,stat_u,syst_u,%norm_c,col,lepton,E_lepton,hadron,E_hadron
0,0.359,-0.18,1.51,15.0,deg,d4SigUU,117.7,pb GeV^-4,5.2,3.7664,2.3,HallA,e-,5.55,p,0.93827208816
1,0.359,-0.18,1.51,45.0,deg,d4SigUU,110.7,pb GeV^-4,5.2,3.5424,2.3,HallA,e-,5.55,p,0.93827208816
2,0.359,-0.18,1.51,75.0,deg,d4SigUU,97.4,pb GeV^-4,5.0,3.1168,2.3,HallA,e-,5.55,p,0.93827208816
3,0.359,-0.18,1.51,105.0,deg,d4SigUU,91.0,pb GeV^-4,4.8,2.912,2.3,HallA,e-,5.55,p,0.93827208816
4,0.359,-0.18,1.51,135.0,deg,d4SigUU,80.7,pb GeV^-4,4.7,2.5824,2.3,HallA,e-,5.55,p,0.93827208816
5,0.359,-0.18,1.51,165.0,deg,d4SigUU,71.8,pb GeV^-4,4.7,2.2976,2.3,HallA,e-,5.55,p,0.93827208816
6,0.359,-0.18,1.51,195.0,deg,d4SigUU,79.3,pb GeV^-4,4.8,2.5376,2.3,HallA,e-,5.55,p,0.93827208816
7,0.359,-0.18,1.51,225.0,deg,d4SigUU,86.3,pb GeV^-4,4.9,2.7616,2.3,HallA,e-,5.55,p,0.93827208816
8,0.359,-0.18,1.51,255.0,deg,d4SigUU,85.2,pb GeV^-4,4.9,2.7264,2.3,HallA,e-,5.55,p,0.93827208816
9,0.359,-0.18,1.51,285.0,deg,d4SigUU,94.0,pb GeV^-4,5.0,3.008,2.3,HallA,e-,5.55,p,0.93827208816
10,0.359,-0.18,1.51,315.0,deg,d4SigUU,104.5,pb GeV^-4,5.1,3.344,2.3,HallA,e-,5.55,p,0.93827208816
11,0.359,-0.18,1.51,345.0,deg,d4SigUU,107.2,pb GeV^-4,5.1,3.4304,2.3,HallA,e-,5.55,p,0.93827208816
12,0.359,-0.237,1.51,15.0,deg,d4SigUU,105.5,pb GeV^-4,5.8,3.376,2.3,HallA,e-,5.55,p,0.93827208816
13,0.359,-0.237,1.51,45.0,deg,d4SigUU,96.7,pb GeV^-4,5.3,3.0944,2.3,HallA,e-,5.55,p,0.93827208816
14,0.359,-0.237,1.51,75.0,deg,d4SigUU,87.7,pb GeV^-4,5.2,2.8064,2.3,HallA,e-,5.55,p,0.93827208816
15,0.359,-0.237,1.51,105.0,deg,d4SigUU,80.0,pb GeV^-4,5.2,2.56,2.3,HallA,e-,5.55,p,0.93827208816
16,0.359,-0.237,1.51,135.0,deg,d4SigUU,67.4,pb GeV^-4,5.1,2.1568,2.3,HallA,e-,5.55,p,0.93827208816
17,0.359,-0.237,1.51,165.0,deg,d4SigUU,67.7,pb GeV^-4,5.8,2.1664,2.3,HallA,e-,5.55,p,0.93827208816
18,0.359,-0.237,1.51,195.0,deg,d4SigUU,64.1,pb GeV^-4,5.8,2.0512,2.3,HallA,e-,5.55,p,0.93827208816
19,0.359,-0.237,1.51,225.0,deg,d4SigUU,77.5,pb GeV^-4,5.5,2.48,2.3,HallA,e-,5.55,p,0.93827208816
20,0.359,-0.237,1.51,255.0,deg,d4SigUU,88.9,pb GeV^-4,5.6,2.8448,2.3,HallA,e-,5.55,p,0.93827208816
21,0.359,-0.237,1.51,285.0,deg,d4SigUU,100.7,pb GeV^-4,5.7,3.2224,2.3,HallA,e-,5.55,p,0.93827208816
22,0.359,-0.237,1.51,315.0,deg,d4SigUU,104.5,pb GeV^-4,5.5,3.344,2.3,HallA,e-,5.55,p,0.93827208816
23,0.359,-0.237,1.51,345.0,deg,d4SigUU,122.9,pb GeV^-4,5.9,3.9328,2.3,HallA,e-,5.55,p,0.93827208816
24,0.361,-0.298,1.52,15.0,deg,d4SigUU,107.4,pb GeV^-4,8.7,3.4368,2.3,HallA,e-,5.55,p,0.93827208816
25,0.361,-0.298,1.52,45.0,deg,d4SigUU,85.0,pb GeV^-4,6.0,2.72,2.3,HallA,e-,5.55,p,0.93827208816
26,0.361,-0.298,1.52,75.0,deg,d4SigUU,70.6,pb GeV^-4,5.7,2.2592,2.3,HallA,e-,5.55,p,0.93827208816
27,0.361,-0.298,1.52,105.0,deg,d4SigUU,63.5,pb GeV^-4,5.9,2.032,2.3,HallA,e-,5.55,p,0.93827208816
28,0.361,-0.298,1.52,135.0,deg,d4SigUU,65.8,pb GeV^-4,6.4,2.1056,2.3,HallA,e-,5.55,p,0.93827208816
29,0.361,-0.298,1.52,165.0,deg,d4SigUU,60.3,pb GeV^-4,8.2,1.9296,2.3,HallA,e-,5.55,p,0.93827208816
30,0.361,-0.298,1.52,195.0,deg,d4SigUU,54.3,pb GeV^-4,8.2,1.7376,2.3,HallA,e-,5.55,p,0.93827208816
31,0.361,-0.298,1.52,225.0,deg,d4SigUU,69.6,pb GeV^-4,6.8,2.2272,2.3,HallA,e-,5.55,p,0.93827208816
32,0.361,-0.298,1.52,255.0,deg,d4SigUU,70.5,pb GeV^-4,6.4,2.256,2.3,HallA,e-,5.55,p,0.93827208816
33,0.361,-0.298,1.52,285.0,deg,d4SigUU,82.4,pb GeV^-4,6.4,2.6368,2.3,HallA,e-,5.55,p,0.93827208816
34,0.361,-0.298,1.52,315.0,deg,d4SigUU,83.0,pb GeV^-4,6.0,2.656,2.3,HallA,e-,5.55,p,0.93827208816
35,0.361,-0.298,1.52,345.0,deg,d4SigUU,89.8,pb GeV^-4,8.2,2.8736,2.3,HallA,e-,5.55,p,0.93827208816
36,0.359,-0.183,1.74,7.5,deg,d4SigUU,96.2,pb GeV^-4,3.3,3.0784,2.3,HallA,e-,5.55,p,0.93827208816
37,0.359,-0.183,1.74,22.5,deg,d4SigUU,89.6,pb GeV^-4,3.2,2.8672,2.3,HallA,e-,5.55,p,0.93827208816
38,0.359,-0.183,1.74,37.5,deg,d4SigUU,90.2,pb GeV^-4,3.2,2.8864,2.3,HallA,e-,5.55,p,0.93827208816
39,0.359,-0.183,1.74,52.5,deg,d4SigUU,84.8,pb GeV^-4,3.1,2.7136,2.3,HallA,e-,5.55,p,0.93827208816
40,0.359,-0.183,1.74,67.5,deg,d4SigUU,73.7,pb GeV^-4,2.9,2.3584,2.3,HallA,e-,5.55,p,0.93827208816
41,0.359,-0.183,1.74,82.5,deg,d4SigUU,68.1,pb GeV^-4,2.8,2.1792,2.3,HallA,e-,5.55,p,0.93827208816
42,0.359,-0.183,1.74,97.5,deg,d4SigUU,63.2,pb GeV^-4,2.6,2.0224,2.3,HallA,e-,5.55,p,0.93827208816
43,0.359,-0.183,1.74,112.5,deg,d4SigUU,57.0,pb GeV^-4,2.5,1.824,2.3,HallA,e-,5.55,p,0.93827208816
44,0.359,-0.183,1.74,127.5,deg,d4SigUU,53.6,pb GeV^-4,2.4,1.7152,2.3,HallA,e-,5.55,p,0.93827208816
