,xB,t,Q2,obs,value,units,stat_u,syst_u,%norm_c,col,lepton,E_lepton,hadron,E_hadron
0,0.056,-0.085,1.236,ALLCos1Phi,-0.12,none,0.114,0.029,5.3,HERMES,e+,27.6,p,0.93827208816
1,0.079,-0.098,1.862,ALLCos1Phi,0.015,none,0.12,0.024,5.3,HERMES,e+,27.6,p,0.93827208816
2,0.108,-0.123,2.829,ALLCos1Phi,-0.092,none,0.13,0.023,5.3,HERMES,e+,27.6,p,0.93827208816
3,0.17,-0.178,4.865,ALLCos1Phi,-0.019,none,0.149,0.016,5.3,HERMES,e+,27.6,p,0.93827208816
