,E_lepton,E_hadron,lepton,hadron,col,t,Q2,xB,phi,deg/rad,bin,obs,value,units,stat_u,Sys. Err. High,Sys. Err. Low,syst_u
31,4.45,0.939565422,e-,n,JLab E08-025,-0.25,1.74,0.36,225,deg,2,d4SigUU,16.8865,pb GeV^-4,4.00752,2.73255,2.22869,2.73255
32,4.45,0.939565422,e-,n,JLab E08-025,-0.25,1.74,0.36,255,deg,2,d4SigUU,21.6699,pb GeV^-4,4.07949,5.07473,5.02758,5.07473
33,4.45,0.939565422,e-,n,JLab E08-025,-0.25,1.74,0.36,285,deg,2,d4SigUU,39.5594,pb GeV^-4,5.11741,11.1025,11.1655,11.1655
34,4.45,0.939565422,e-,n,JLab E08-025,-0.25,1.74,0.36,315,deg,2,d4SigUU,50.1708,pb GeV^-4,8.86738,12.1782,10.5784,12.1782
35,4.45,0.939565422,e-,n,JLab E08-025,-0.25,1.74,0.36,345,deg,2,d4SigUU,61.2817,pb GeV^-4,15.1354,19.1691,13.6921,19.1691
36,4.45,0.939565422,e-,n,JLab E08-025,-0.18,1.74,0.36,15,deg,3,d4SigUU,95.1959,pb GeV^-4,19.7572,41.6956,43.5123,43.5123
37,4.45,0.939565422,e-,n,JLab E08-025,-0.18,1.74,0.36,45,deg,3,d4SigUU,81.504,pb GeV^-4,13.5705,18.6001,17.5813,18.6001
38,4.45,0.939565422,e-,n,JLab E08-025,-0.18,1.74,0.36,75,deg,3,d4SigUU,37.4591,pb GeV^-4,6.04899,26.4403,25.862,26.4403
39,4.45,0.939565422,e-,n,JLab E08-025,-0.18,1.74,0.36,105,deg,3,d4SigUU,46.6197,pb GeV^-4,7.15621,21.0445,21.2997,21.2997
40,4.45,0.939565422,e-,n,JLab E08-025,-0.18,1.74,0.36,135,deg,3,d4SigUU,24.2993,pb GeV^-4,7.26293,20.8952,20.9499,20.9499
41,4.45,0.939565422,e-,n,JLab E08-025,-0.18,1.74,0.36,165,deg,3,d4SigUU,19.7802,pb GeV^-4,7.36517,31.8602,31.5374,31.8602
42,4.45,0.939565422,e-,n,JLab E08-025,-0.18,1.74,0.36,195,deg,3,d4SigUU,33.6691,pb GeV^-4,8.85288,38.5312,38.1581,38.5312
43,4.45,0.939565422,e-,n,JLab E08-025,-0.18,1.74,0.36,225,deg,3,d4SigUU,28.518,pb GeV^-4,7.64516,22.3664,22.2478,22.3664
44,4.45,0.939565422,e-,n,JLab E08-025,-0.18,1.74,0.36,255,deg,3,d4SigUU,43.4966,pb GeV^-4,7.34916,22.9036,23.0282,23.0282
45,4.45,0.939565422,e-,n,JLab E08-025,-0.18,1.74,0.36,285,deg,3,d4SigUU,57.185,pb GeV^-4,8.10903,41.405,40.5168,41.405
46,4.45,0.939565422,e-,n,JLab E08-025,-0.18,1.74,0.36,315,deg,3,d4SigUU,59.6527,pb GeV^-4,11.7449,17.4793,16.0481,17.4793
47,4.45,0.939565422,e-,n,JLab E08-025,-0.18,1.74,0.36,345,deg,3,d4SigUU,77.6039,pb GeV^-4,16.6349,35.7963,36.8318,36.8318
48,5.55,0.939565422,e-,n,JLab E08-025,-0.4,1.74,0.36,15,deg,4,d4SigUU,19.6649,pb GeV^-4,8.3403,4.47684,13.586,13.586
49,5.55,0.939565422,e-,n,JLab E08-025,-0.4,1.74,0.36,45,deg,4,d4SigUU,15.4314,pb GeV^-4,4.46866,3.699,6.04069,6.04069
50,5.55,0.939565422,e-,n,JLab E08-025,-0.4,1.74,0.36,75,deg,4,d4SigUU,14.3022,pb GeV^-4,2.67224,1.89122,2.02944,2.02944
51,5.55,0.939565422,e-,n,JLab E08-025,-0.4,1.74,0.36,105,deg,4,d4SigUU,8.25763,pb GeV^-4,2.73027,1.94935,1.29343,1.94935
52,5.55,0.939565422,e-,n,JLab E08-025,-0.4,1.74,0.36,135,deg,4,d4SigUU,2.92917,pb GeV^-4,1.83246,1.3019,0.968604,1.3019
53,5.55,0.939565422,e-,n,JLab E08-025,-0.4,1.74,0.36,165,deg,4,d4SigUU,9.34889,pb GeV^-4,2.80849,1.68167,2.20648,2.20648
54,5.55,0.939565422,e-,n,JLab E08-025,-0.4,1.74,0.36,195,deg,4,d4SigUU,10.3409,pb GeV^-4,2.66901,2.11352,2.64143,2.64143
55,5.55,0.939565422,e-,n,JLab E08-025,-0.4,1.74,0.36,225,deg,4,d4SigUU,8.39732,pb GeV^-4,2.12201,1.18342,1.94406,1.94406
56,5.55,0.939565422,e-,n,JLab E08-025,-0.4,1.74,0.36,255,deg,4,d4SigUU,15.5517,pb GeV^-4,3.00584,1.87702,3.29109,3.29109
57,5.55,0.939565422,e-,n,JLab E08-025,-0.4,1.74,0.36,285,deg,4,d4SigUU,17.4739,pb GeV^-4,3.13107,2.50145,1.98951,2.50145
58,5.55,0.939565422,e-,n,JLab E08-025,-0.4,1.74,0.36,315,deg,4,d4SigUU,16.8339,pb GeV^-4,4.4176,3.27694,4.85456,4.85456
59,5.55,0.939565422,e-,n,JLab E08-025,-0.4,1.74,0.36,345,deg,4,d4SigUU,5.64666,pb GeV^-4,5.55106,3.5799,10.8534,10.8534
60,5.55,0.939565422,e-,n,JLab E08-025,-0.32,1.74,0.36,15,deg,5,d4SigUU,16.5013,pb GeV^-4,6.63751,6.85547,9.41782,9.41782
