,xB,t,Q2,obs,value,units,stat_u,syst_u,%norm_c,col,lepton,E_lepton,hadron,E_hadron
0,0.068,-0.018,1.72,ACCos3Phi,-0.022,none,0.012,0.004,3.4,HERMES,e-/e+,27.6,p,0.93827208816
1,0.088,-0.043,2.26,ACCos3Phi,0.003,none,0.012,0.005,3.4,HERMES,e-/e+,27.6,p,0.93827208816
2,0.099,-0.078,2.51,ACCos3Phi,-0.028,none,0.012,0.004,3.4,HERMES,e-/e+,27.6,p,0.93827208816
3,0.11,-0.142,2.79,ACCos3Phi,0.019,none,0.011,0.001,3.4,HERMES,e-/e+,27.6,p,0.93827208816
4,0.121,-0.26,3.27,ACCos3Phi,0.023,none,0.015,0.001,3.4,HERMES,e-/e+,27.6,p,0.93827208816
5,0.125,-0.46,3.82,ACCos3Phi,0.03,none,0.021,0.017,3.4,HERMES,e-/e+,27.6,p,0.93827208816
