,Unnamed: 0,xB,t,Q2,phi,deg/rad,obs,value,units,stat_u,syst_u,%norm_c,col,lepton,E_lepton,hadron,E_hadron
0,0,0.1342,-0.1337,1.1661,20.0258,deg,ALU,-0.0429,none,0.1578,0.047339994,3.5,CLAS,e-,5.77,p,0.93827208816
1,1,0.1342,-0.1337,1.1661,50.4962,deg,ALU,0.1739,none,0.0424,0.012719998,3.5,CLAS,e-,5.77,p,0.93827208816
2,2,0.1342,-0.1337,1.1661,76.6291,deg,ALU,0.1724,none,0.0225,0.00675,3.5,CLAS,e-,5.77,p,0.93827208816
3,3,0.1342,-0.1337,1.1661,102.9137,deg,ALU,0.2083,none,0.0246,0.007379996,3.5,CLAS,e-,5.77,p,0.93827208816
4,4,0.1342,-0.1337,1.1661,135.7442,deg,ALU,0.1274,none,0.0271,0.008130003,3.5,CLAS,e-,5.77,p,0.93827208816
5,5,0.1342,-0.1337,1.1661,163.2772,deg,ALU,0.0684,none,0.0294,0.008820003,3.5,CLAS,e-,5.77,p,0.93827208816
6,6,0.1342,-0.1337,1.1661,196.4509,deg,ALU,-0.0414,none,0.0281,0.008430005,3.5,CLAS,e-,5.77,p,0.93827208816
7,7,0.1342,-0.1337,1.1661,223.9969,deg,ALU,-0.1489,none,0.0283,0.008490001,3.5,CLAS,e-,5.77,p,0.93827208816
8,8,0.1342,-0.1337,1.1661,255.9132,deg,ALU,-0.1987,none,0.0228,0.006839999,3.5,CLAS,e-,5.77,p,0.93827208816
9,9,0.1342,-0.1337,1.1661,283.7285,deg,ALU,-0.202,none,0.0241,0.007230056,3.5,CLAS,e-,5.77,p,0.93827208816
10,10,0.1342,-0.1337,1.1661,310.1235,deg,ALU,-0.2089,none,0.0419,0.01257004,3.5,CLAS,e-,5.77,p,0.93827208816
11,11,0.1342,-0.1337,1.1661,337.9827,deg,ALU,0.1025,none,0.1997,0.059909984,3.5,CLAS,e-,5.77,p,0.93827208816
12,12,0.1763,-0.1346,1.3651,17.3932,deg,ALU,0.1082,none,0.0227,0.006809998,3.5,CLAS,e-,5.77,p,0.93827208816
13,13,0.1763,-0.1346,1.3651,43.4416,deg,ALU,0.1601,none,0.0195,0.005849996,3.5,CLAS,e-,5.77,p,0.93827208816
14,14,0.1763,-0.1346,1.3651,75.3442,deg,ALU,0.2806,none,0.0259,0.007770038,3.5,CLAS,e-,5.77,p,0.93827208816
15,15,0.1763,-0.1346,1.3651,103.1776,deg,ALU,0.2495,none,0.0302,0.00905996,3.5,CLAS,e-,5.77,p,0.93827208816
16,16,0.1763,-0.1346,1.3651,136.2464,deg,ALU,0.1064,none,0.0421,0.012630024,3.5,CLAS,e-,5.77,p,0.93827208816
17,17,0.1763,-0.1346,1.3651,162.9244,deg,ALU,0.0681,none,0.0428,0.012840049,3.5,CLAS,e-,5.77,p,0.93827208816
18,18,0.1763,-0.1346,1.3651,197.44,deg,ALU,-0.0966,none,0.0429,0.012870008,3.5,CLAS,e-,5.77,p,0.93827208816
19,19,0.1763,-0.1346,1.3651,223.8131,deg,ALU,-0.1754,none,0.0406,0.012179958,3.5,CLAS,e-,5.77,p,0.93827208816
20,20,0.1763,-0.1346,1.3651,257.0253,deg,ALU,-0.2777,none,0.0293,0.008790022,3.5,CLAS,e-,5.77,p,0.93827208816
21,21,0.1763,-0.1346,1.3651,285.3543,deg,ALU,-0.2455,none,0.0257,0.007710021,3.5,CLAS,e-,5.77,p,0.93827208816
22,22,0.1763,-0.1346,1.3651,315.8994,deg,ALU,-0.1556,none,0.0185,0.005549995,3.5,CLAS,e-,5.77,p,0.93827208816
23,23,0.1763,-0.1346,1.3651,341.6751,deg,ALU,-0.077,none,0.0257,0.007709997,3.5,CLAS,e-,5.77,p,0.93827208816
24,24,0.1767,-0.1376,1.5557,19.6015,deg,ALU,0.1643,none,0.0582,0.017460004,3.5,CLAS,e-,5.77,p,0.93827208816
25,25,0.1767,-0.1376,1.5557,48.3572,deg,ALU,0.1782,none,0.0233,0.006990007,3.5,CLAS,e-,5.77,p,0.93827208816
26,26,0.1767,-0.1376,1.5557,75.0192,deg,ALU,0.189,none,0.0194,0.005819993,3.5,CLAS,e-,5.77,p,0.93827208816
27,27,0.1767,-0.1376,1.5557,102.6721,deg,ALU,0.1346,none,0.024,0.007199996,3.5,CLAS,e-,5.77,p,0.93827208816
28,28,0.1767,-0.1376,1.5557,135.6295,deg,ALU,0.1834,none,0.0307,0.009209995,3.5,CLAS,e-,5.77,p,0.93827208816
29,29,0.1767,-0.1376,1.5557,163.5866,deg,ALU,0.0389,none,0.0327,0.009810001,3.5,CLAS,e-,5.77,p,0.93827208816
30,30,0.1767,-0.1376,1.5557,197.0813,deg,ALU,-0.0045,none,0.0328,0.00984,3.5,CLAS,e-,5.77,p,0.93827208816
31,31,0.1767,-0.1376,1.5557,224.426,deg,ALU,-0.1473,none,0.0312,0.009359983,3.5,CLAS,e-,5.77,p,0.93827208816
32,32,0.1767,-0.1376,1.5557,256.8322,deg,ALU,-0.2061,none,0.0228,0.006839994,3.5,CLAS,e-,5.77,p,0.93827208816
33,33,0.1767,-0.1376,1.5557,285.7622,deg,ALU,-0.1975,none,0.0195,0.00585,3.5,CLAS,e-,5.77,p,0.93827208816
34,34,0.1767,-0.1376,1.5557,311.4636,deg,ALU,-0.0978,none,0.0234,0.007020001,3.5,CLAS,e-,5.77,p,0.93827208816
35,35,0.1767,-0.1376,1.5557,339.83,deg,ALU,-0.1831,none,0.067,0.020100008,3.5,CLAS,e-,5.77,p,0.93827208816
36,36,0.235,-0.1465,1.6453,15.2696,deg,ALU,0.1031,none,0.0191,0.005729999,3.5,CLAS,e-,5.77,p,0.93827208816
37,37,0.235,-0.1465,1.6453,43.0756,deg,ALU,0.177,none,0.0207,0.006210006,3.5,CLAS,e-,5.77,p,0.93827208816
38,38,0.235,-0.1465,1.6453,73.773,deg,ALU,0.2587,none,0.0335,0.010049934,3.5,CLAS,e-,5.77,p,0.93827208816
39,39,0.235,-0.1465,1.6453,104.0795,deg,ALU,0.3058,none,0.0384,0.011519932,3.5,CLAS,e-,5.77,p,0.93827208816
40,40,0.235,-0.1465,1.6453,134.1899,deg,ALU,0.1901,none,0.0663,0.019889954,3.5,CLAS,e-,5.77,p,0.93827208816
41,41,0.235,-0.1465,1.6453,163.3319,deg,ALU,0.1428,none,0.0764,0.022919989,3.5,CLAS,e-,5.77,p,0.93827208816
42,42,0.235,-0.1465,1.6453,199.0154,deg,ALU,-0.1045,none,0.0786,0.023580028,3.5,CLAS,e-,5.77,p,0.93827208816
