,Unnamed: 0,xB,t,Q2,obs,value,units,stat_u,syst_u,%norm_c,col,lepton,E_lepton,hadron,E_hadron
0,0,0.06,-0.08,1.2,AUTICosPhiPhiSSin1Phi,-0.034,none,0.093,0.018,0.081,HERMES,e-/e+,27.6,p,0.93827208816
1,1,0.08,-0.1,1.9,AUTICosPhiPhiSSin1Phi,-0.036,none,0.079,0.02,0.081,HERMES,e-/e+,27.6,p,0.93827208816
2,2,0.11,-0.13,2.8,AUTICosPhiPhiSSin1Phi,0.028,none,0.076,0.026,0.081,HERMES,e-/e+,27.6,p,0.93827208816
3,3,0.17,-0.19,4.9,AUTICosPhiPhiSSin1Phi,0.056,none,0.079,0.035,0.081,HERMES,e-/e+,27.6,p,0.93827208816
