,Unnamed: 0,xB,t,Q2,obs,value,units,stat_u,syst_u,col,lepton,E_lepton,hadron,E_hadron
0,0,0.08,-0.03,1.9,ACCos0Phi,0.01,none,0.016,0.01,HERMES,e-/e+,27.6,p,0.93827208816
1,1,0.1,-0.1,2.5,ACCos0Phi,-0.006,none,0.019,0.017,HERMES,e-/e+,27.6,p,0.93827208816
2,2,0.11,-0.2,2.9,ACCos0Phi,-0.026,none,0.022,0.018,HERMES,e-/e+,27.6,p,0.93827208816
3,3,0.12,-0.42,3.5,ACCos0Phi,-0.074,none,0.036,0.024,HERMES,e-/e+,27.6,p,0.93827208816
