,xB,t,Q2,phi,deg/rad,obs,value,units,stat_u,syst_u,col,lepton,E_lepton,hadron,E_hadron
40,0.125,-0.203,1.13,202.6,deg,deltad4SigLU,-0.0120838,nb GeV^-4,0.0361743,0.0170531,CLAS,e-,5.88,p,0.93827208816
41,0.125,-0.203,1.13,217.7,deg,deltad4SigLU,-0.13863,nb GeV^-4,0.0441595,0.0259042,CLAS,e-,5.88,p,0.93827208816
42,0.125,-0.203,1.13,232.7,deg,deltad4SigLU,-0.176231,nb GeV^-4,0.0595001,0.0414536,CLAS,e-,5.88,p,0.93827208816
43,0.125,-0.203,1.13,247.8,deg,deltad4SigLU,-0.195418,nb GeV^-4,0.0517665,0.0490823,CLAS,e-,5.88,p,0.93827208816
44,0.125,-0.203,1.129,262.9,deg,deltad4SigLU,-0.176735,nb GeV^-4,0.0530038,0.0148944,CLAS,e-,5.88,p,0.93827208816
45,0.125,-0.203,1.129,278.0,deg,deltad4SigLU,-0.277799,nb GeV^-4,0.0564764,0.0269697,CLAS,e-,5.88,p,0.93827208816
46,0.125,-0.203,1.129,293.1,deg,deltad4SigLU,-0.544628,nb GeV^-4,0.124687,0.0463807,CLAS,e-,5.88,p,0.93827208816
47,0.125,-0.263,1.129,52.1,deg,deltad4SigLU,0.454538,nb GeV^-4,0.179111,0.0557638,CLAS,e-,5.88,p,0.93827208816
48,0.125,-0.262,1.129,66.9,deg,deltad4SigLU,0.340414,nb GeV^-4,0.0751387,0.0486572,CLAS,e-,5.88,p,0.93827208816
49,0.125,-0.261,1.13,82.0,deg,deltad4SigLU,0.19792,nb GeV^-4,0.0471302,0.019534,CLAS,e-,5.88,p,0.93827208816
50,0.125,-0.261,1.13,97.1,deg,deltad4SigLU,0.0529851,nb GeV^-4,0.033017,0.0117002,CLAS,e-,5.88,p,0.93827208816
51,0.125,-0.261,1.13,112.2,deg,deltad4SigLU,0.13481,nb GeV^-4,0.0390878,0.0159484,CLAS,e-,5.88,p,0.93827208816
