,xB,t,Q2,obs,value,units,stat_u,syst_u,col,lepton,E_lepton,hadron,E_hadron
0,0.08,-0.03,1.9,ALTICos2Phi,-0.062,none,0.169,0.003,HERMES,e-/e+,27.6,p,0.93827208816
1,0.1,-0.1,2.5,ALTICos2Phi,0.358,none,0.201,0.012,HERMES,e-/e+,27.6,p,0.93827208816
2,0.11,-0.2,2.9,ALTICos2Phi,-0.074,none,0.224,0.006,HERMES,e-/e+,27.6,p,0.93827208816
3,0.12,-0.42,3.5,ALTICos2Phi,-0.255,none,0.36,0.02,HERMES,e-/e+,27.6,p,0.93827208816
