,xB,t,Q2,obs,value,units,stat_u,syst_u,%norm_c,col,lepton,E_lepton,hadron,E_hadron
0,0.068,-0.018,1.72,ALUDVCSSin1Phi,0.031,none,0.051,0.003,3.4,HERMES,e-/e+,27.6,p,0.93827208816
1,0.088,-0.043,2.26,ALUDVCSSin1Phi,-0.024,none,0.052,0.006,3.4,HERMES,e-/e+,27.6,p,0.93827208816
2,0.099,-0.078,2.51,ALUDVCSSin1Phi,-0.01,none,0.056,0.005,3.4,HERMES,e-/e+,27.6,p,0.93827208816
3,0.11,-0.142,2.79,ALUDVCSSin1Phi,0.007,none,0.049,0.003,3.4,HERMES,e-/e+,27.6,p,0.93827208816
4,0.121,-0.26,3.27,ALUDVCSSin1Phi,0.086,none,0.066,0.003,3.4,HERMES,e-/e+,27.6,p,0.93827208816
5,0.125,-0.46,3.82,ALUDVCSSin1Phi,-0.111,none,0.095,0.024,3.4,HERMES,e-/e+,27.6,p,0.93827208816
