,xB,t,Q2,obs,value,units,stat_u,syst_u,col,lepton,E_lepton,hadron,E_hadron
0,0.06,-0.08,1.2,ACCos1Phi,0.025,none,0.026,0.011,HERMES,e-/e+,27.6,p,0.93827208816
1,0.08,-0.1,1.9,ACCos1Phi,0.07,none,0.026,0.015,HERMES,e-/e+,27.6,p,0.93827208816
2,0.11,-0.13,2.8,ACCos1Phi,0.058,none,0.03,0.008,HERMES,e-/e+,27.6,p,0.93827208816
3,0.17,-0.19,4.9,ACCos1Phi,0.005,none,0.032,0.014,HERMES,e-/e+,27.6,p,0.93827208816
