,W,t,Q2,obs,value,units,stat_u,syst,syst_u*,syst_c*,col,lepton,E_lepton,hadron,E_hadron
0,82,-0.1,8,dSig/dt,13.3,nb/GeV2,1.9,3.4,1.791061138,2.89,H1,e+,27.6,p,920
1,82,-0.3,8,dSig/dt,3.99,nb/GeV2,0.57,0.69,0.3634800545,0.5865,H1,e+,27.6,p,920
2,82,-0.5,8,dSig/dt,0.9,nb/GeV2,0.25,0.3,0.1580348063,0.255,H1,e+,27.6,p,920
3,82,-0.8,8,dSig/dt,0.36,nb/GeV2,0.09,0.14,0.07374957627,0.119,H1,e+,27.6,p,920
