,xB,t,Q2,obs,value,units,stat_u,syst_u,%norm_c,col,lepton,E_lepton,hadron,E_hadron
0,0.049,-0.095,1.34,ALUDVCSSin1Phi,0.002,none,0.05,0.005,3.4,HERMES,e-/e+,27.6,p,0.93827208816
1,0.069,-0.091,1.8,ALUDVCSSin1Phi,0.01,none,0.05,0.004,3.4,HERMES,e-/e+,27.6,p,0.93827208816
2,0.089,-0.104,2.3,ALUDVCSSin1Phi,0.069,none,0.056,0.004,3.4,HERMES,e-/e+,27.6,p,0.93827208816
3,0.113,-0.121,2.93,ALUDVCSSin1Phi,-0.015,none,0.058,0.007,3.4,HERMES,e-/e+,27.6,p,0.93827208816
4,0.157,-0.159,4.06,ALUDVCSSin1Phi,0.014,none,0.063,0.006,3.4,HERMES,e-/e+,27.6,p,0.93827208816
5,0.244,-0.231,6.14,ALUDVCSSin1Phi,-0.111,none,0.11,0.017,3.4,HERMES,e-/e+,27.6,p,0.93827208816
