,xB,t,Q2,obs,value,units,stat_u,syst_u,%norm_c,col,lepton,E_lepton,hadron,E_hadron
0,0.068,-0.018,1.72,ALUISin1Phi,-0.217,none,0.051,0.01,3.4,HERMES,e-/e+,27.6,p,0.93827208816
1,0.088,-0.043,2.26,ALUISin1Phi,-0.222,none,0.052,0.014,3.4,HERMES,e-/e+,27.6,p,0.93827208816
2,0.099,-0.078,2.51,ALUISin1Phi,-0.163,none,0.057,0.012,3.4,HERMES,e-/e+,27.6,p,0.93827208816
3,0.11,-0.142,2.79,ALUISin1Phi,-0.246,none,0.049,0.011,3.4,HERMES,e-/e+,27.6,p,0.93827208816
4,0.121,-0.26,3.27,ALUISin1Phi,-0.297,none,0.066,0.006,3.4,HERMES,e-/e+,27.6,p,0.93827208816
5,0.125,-0.46,3.82,ALUISin1Phi,-0.189,none,0.095,0.015,3.4,HERMES,e-/e+,27.6,p,0.93827208816
