,Unnamed: 0,dependence,xB_min,xB_max,xB,t,Q2,obs,value,units,stat_u,syst_u,col,lepton,E_lepton,hadron,E_hadron
0,0,xB,0.03,0.06,0.05,-0.1,1.34,ALUISin1Phi,-0.248,none,0.06,0.067,HERMES,e-/e+,27.6,p,0.9382720882
1,1,xB,0.06,0.08,0.07,-0.09,1.78,ALUISin1Phi,-0.191,none,0.059,0.034,HERMES,e-/e+,27.6,p,0.9382720882
2,2,xB,0.08,0.1,0.09,-0.11,2.3,ALUISin1Phi,-0.215,none,0.069,0.018,HERMES,e-/e+,27.6,p,0.9382720882
3,3,xB,0.1,0.13,0.11,-0.12,2.92,ALUISin1Phi,-0.248,none,0.071,0.032,HERMES,e-/e+,27.6,p,0.9382720882
4,4,xB,0.13,0.2,0.16,-0.16,4.04,ALUISin1Phi,-0.244,none,0.077,0.023,HERMES,e-/e+,27.6,p,0.9382720882
5,5,xB,0.2,0.35,0.24,-0.23,6.11,ALUISin1Phi,-0.04,none,0.139,0.005,HERMES,e-/e+,27.6,p,0.9382720882
