,xB,t,Q2,phi,deg/rad,obs,value,units,stat_u,syst_u,%norm_c,col,lepton,E_lepton,hadron,E_hadron
21,0.357,-0.181,1.74,322.5,deg,d4SigUU,167.9,pb GeV^-4,6.7,5.3728,2.3,HallA,e-,4.455,p,0.93827208816
22,0.357,-0.181,1.74,337.5,deg,d4SigUU,173.0,pb GeV^-4,7.1,5.536,2.3,HallA,e-,4.455,p,0.93827208816
23,0.357,-0.181,1.74,352.5,deg,d4SigUU,172.4,pb GeV^-4,7.1,5.5168,2.3,HallA,e-,4.455,p,0.93827208816
24,0.357,-0.24,1.74,7.5,deg,d4SigUU,189.0,pb GeV^-4,8.3,6.048,2.3,HallA,e-,4.455,p,0.93827208816
25,0.357,-0.24,1.74,22.5,deg,d4SigUU,178.9,pb GeV^-4,8.1,5.7248,2.3,HallA,e-,4.455,p,0.93827208816
26,0.357,-0.24,1.74,37.5,deg,d4SigUU,167.0,pb GeV^-4,7.4,5.344,2.3,HallA,e-,4.455,p,0.93827208816
27,0.357,-0.24,1.74,52.5,deg,d4SigUU,147.0,pb GeV^-4,6.7,4.704,2.3,HallA,e-,4.455,p,0.93827208816
28,0.357,-0.24,1.74,67.5,deg,d4SigUU,108.3,pb GeV^-4,5.8,3.4656,2.3,HallA,e-,4.455,p,0.93827208816
29,0.357,-0.24,1.74,82.5,deg,d4SigUU,99.7,pb GeV^-4,5.4,3.1904,2.3,HallA,e-,4.455,p,0.93827208816
30,0.357,-0.24,1.74,97.5,deg,d4SigUU,83.1,pb GeV^-4,4.9,2.6592,2.3,HallA,e-,4.455,p,0.93827208816
31,0.357,-0.24,1.74,112.5,deg,d4SigUU,71.6,pb GeV^-4,4.6,2.2912,2.3,HallA,e-,4.455,p,0.93827208816
32,0.357,-0.24,1.74,127.5,deg,d4SigUU,63.9,pb GeV^-4,4.3,2.0448,2.3,HallA,e-,4.455,p,0.93827208816
33,0.357,-0.24,1.74,142.5,deg,d4SigUU,52.2,pb GeV^-4,4.0,1.6704,2.3,HallA,e-,4.455,p,0.93827208816
34,0.357,-0.24,1.74,157.5,deg,d4SigUU,49.8,pb GeV^-4,4.1,1.5936,2.3,HallA,e-,4.455,p,0.93827208816
35,0.357,-0.24,1.74,172.5,deg,d4SigUU,45.6,pb GeV^-4,4.0,1.4592,2.3,HallA,e-,4.455,p,0.93827208816
36,0.357,-0.24,1.74,187.5,deg,d4SigUU,56.7,pb GeV^-4,4.2,1.8144,2.3,HallA,e-,4.455,p,0.93827208816
37,0.357,-0.24,1.74,202.5,deg,d4SigUU,59.4,pb GeV^-4,4.4,1.9008,2.3,HallA,e-,4.455,p,0.93827208816
38,0.357,-0.24,1.74,217.5,deg,d4SigUU,59.6,pb GeV^-4,4.3,1.9072,2.3,HallA,e-,4.455,p,0.93827208816
39,0.357,-0.24,1.74,232.5,deg,d4SigUU,59.9,pb GeV^-4,4.4,1.9168,2.3,HallA,e-,4.455,p,0.93827208816
40,0.357,-0.24,1.74,247.5,deg,d4SigUU,79.2,pb GeV^-4,4.8,2.5344,2.3,HallA,e-,4.455,p,0.93827208816
41,0.357,-0.24,1.74,262.5,deg,d4SigUU,81.0,pb GeV^-4,4.9,2.592,2.3,HallA,e-,4.455,p,0.93827208816
42,0.357,-0.24,1.74,277.5,deg,d4SigUU,92.4,pb GeV^-4,5.4,2.9568,2.3,HallA,e-,4.455,p,0.93827208816
43,0.357,-0.24,1.74,292.5,deg,d4SigUU,103.5,pb GeV^-4,5.7,3.312,2.3,HallA,e-,4.455,p,0.93827208816
44,0.357,-0.24,1.74,307.5,deg,d4SigUU,134.4,pb GeV^-4,6.5,4.3008,2.3,HallA,e-,4.455,p,0.93827208816
45,0.357,-0.24,1.74,322.5,deg,d4SigUU,168.3,pb GeV^-4,7.3,5.3856,2.3,HallA,e-,4.455,p,0.93827208816
46,0.357,-0.24,1.74,337.5,deg,d4SigUU,197.2,pb GeV^-4,8.0,6.3104,2.3,HallA,e-,4.455,p,0.93827208816
47,0.357,-0.24,1.74,352.5,deg,d4SigUU,204.1,pb GeV^-4,8.4,6.5312,2.3,HallA,e-,4.455,p,0.93827208816
48,0.358,-0.301,1.74,7.5,deg,d4SigUU,207.8,pb GeV^-4,9.9,6.6496,2.3,HallA,e-,4.455,p,0.93827208816
49,0.358,-0.301,1.74,22.5,deg,d4SigUU,179.3,pb GeV^-4,9.2,5.7376,2.3,HallA,e-,4.455,p,0.93827208816
50,0.358,-0.301,1.74,37.5,deg,d4SigUU,130.6,pb GeV^-4,7.5,4.1792,2.3,HallA,e-,4.455,p,0.93827208816
51,0.358,-0.301,1.74,52.5,deg,d4SigUU,119.0,pb GeV^-4,6.5,3.808,2.3,HallA,e-,4.455,p,0.93827208816
52,0.358,-0.301,1.74,67.5,deg,d4SigUU,92.6,pb GeV^-4,5.5,2.9632,2.3,HallA,e-,4.455,p,0.93827208816
53,0.358,-0.301,1.74,82.5,deg,d4SigUU,79.3,pb GeV^-4,5.1,2.5376,2.3,HallA,e-,4.455,p,0.93827208816
54,0.358,-0.301,1.74,97.5,deg,d4SigUU,73.5,pb GeV^-4,4.9,2.352,2.3,HallA,e-,4.455,p,0.93827208816
55,0.358,-0.301,1.74,112.5,deg,d4SigUU,50.4,pb GeV^-4,4.4,1.6128,2.3,HallA,e-,4.455,p,0.93827208816
56,0.358,-0.301,1.74,127.5,deg,d4SigUU,53.0,pb GeV^-4,4.3,1.696,2.3,HallA,e-,4.455,p,0.93827208816
57,0.358,-0.301,1.74,142.5,deg,d4SigUU,43.6,pb GeV^-4,4.1,1.3952,2.3,HallA,e-,4.455,p,0.93827208816
58,0.358,-0.301,1.74,157.5,deg,d4SigUU,45.4,pb GeV^-4,4.4,1.4528,2.3,HallA,e-,4.455,p,0.93827208816
59,0.358,-0.301,1.74,172.5,deg,d4SigUU,48.6,pb GeV^-4,4.6,1.5552,2.3,HallA,e-,4.455,p,0.93827208816
60,0.358,-0.301,1.74,187.5,deg,d4SigUU,45.7,pb GeV^-4,4.6,1.4624,2.3,HallA,e-,4.455,p,0.93827208816
61,0.358,-0.301,1.74,202.5,deg,d4SigUU,50.3,pb GeV^-4,4.6,1.6096,2.3,HallA,e-,4.455,p,0.93827208816
62,0.358,-0.301,1.74,217.5,deg,d4SigUU,40.1,pb GeV^-4,4.3,1.2832,2.3,HallA,e-,4.455,p,0.93827208816
63,0.358,-0.301,1.74,232.5,deg,d4SigUU,45.1,pb GeV^-4,4.2,1.4432,2.3,HallA,e-,4.455,p,0.93827208816
64,0.358,-0.301,1.74,247.5,deg,d4SigUU,56.8,pb GeV^-4,4.5,1.8176,2.3,HallA,e-,4.455,p,0.93827208816
65,0.358,-0.301,1.74,262.5,deg,d4SigUU,65.6,pb GeV^-4,4.7,2.0992,2.3,HallA,e-,4.455,p,0.93827208816
66,0.358,-0.301,1.74,277.5,deg,d4SigUU,74.7,pb GeV^-4,5.1,2.3904,2.3,HallA,e-,4.455,p,0.93827208816
67,0.358,-0.301,1.74,292.5,deg,d4SigUU,90.6,pb GeV^-4,5.8,2.8992,2.3,HallA,e-,4.455,p,0.93827208816
68,0.358,-0.301,1.74,307.5,deg,d4SigUU,116.8,pb GeV^-4,6.5,3.7376,2.3,HallA,e-,4.455,p,0.93827208816
69,0.358,-0.301,1.74,322.5,deg,d4SigUU,143.8,pb GeV^-4,7.6,4.6016,2.3,HallA,e-,4.455,p,0.93827208816
70,0.358,-0.301,1.74,337.5,deg,d4SigUU,170.8,pb GeV^-4,8.6,5.4656,2.3,HallA,e-,4.455,p,0.93827208816
71,0.358,-0.301,1.74,352.5,deg,d4SigUU,193.9,pb GeV^-4,9.8,6.2048,2.3,HallA,e-,4.455,p,0.93827208816
72,0.361,-0.363,1.76,7.5,deg,d4SigUU,187.2,pb GeV^-4,15.0,5.9904,2.3,HallA,e-,4.455,p,0.93827208816
73,0.361,-0.363,1.76,22.5,deg,d4SigUU,129.7,pb GeV^-4,11.0,4.1504,2.3,HallA,e-,4.455,p,0.93827208816
74,0.361,-0.363,1.76,37.5,deg,d4SigUU,126.5,pb GeV^-4,7.8,4.048,2.3,HallA,e-,4.455,p,0.93827208816
75,0.361,-0.363,1.76,52.5,deg,d4SigUU,88.8,pb GeV^-4,5.9,2.8416,2.3,HallA,e-,4.455,p,0.93827208816
76,0.361,-0.363,1.76,67.5,deg,d4SigUU,70.7,pb GeV^-4,5.2,2.2624,2.3,HallA,e-,4.455,p,0.93827208816
77,0.361,-0.363,1.76,82.5,deg,d4SigUU,69.1,pb GeV^-4,5.0,2.2112,2.3,HallA,e-,4.455,p,0.93827208816
78,0.361,-0.363,1.76,97.5,deg,d4SigUU,52.4,pb GeV^-4,4.5,1.6768,2.3,HallA,e-,4.455,p,0.93827208816
79,0.361,-0.363,1.76,112.5,deg,d4SigUU,42.5,pb GeV^-4,4.1,1.36,2.3,HallA,e-,4.455,p,0.93827208816
80,0.361,-0.363,1.76,127.5,deg,d4SigUU,37.4,pb GeV^-4,4.0,1.1968,2.3,HallA,e-,4.455,p,0.93827208816
81,0.361,-0.363,1.76,142.5,deg,d4SigUU,36.0,pb GeV^-4,4.1,1.152,2.3,HallA,e-,4.455,p,0.93827208816
82,0.361,-0.363,1.76,157.5,deg,d4SigUU,33.6,pb GeV^-4,4.5,1.0752,2.3,HallA,e-,4.455,p,0.93827208816
83,0.361,-0.363,1.76,172.5,deg,d4SigUU,43.5,pb GeV^-4,5.2,1.392,2.3,HallA,e-,4.455,p,0.93827208816
84,0.361,-0.363,1.76,187.5,deg,d4SigUU,42.9,pb GeV^-4,5.2,1.3728,2.3,HallA,e-,4.455,p,0.93827208816
85,0.361,-0.363,1.76,202.5,deg,d4SigUU,37.8,pb GeV^-4,4.8,1.2096,2.3,HallA,e-,4.455,p,0.93827208816
86,0.361,-0.363,1.76,217.5,deg,d4SigUU,41.1,pb GeV^-4,4.5,1.3152,2.3,HallA,e-,4.455,p,0.93827208816
87,0.361,-0.363,1.76,232.5,deg,d4SigUU,43.9,pb GeV^-4,4.2,1.4048,2.3,HallA,e-,4.455,p,0.93827208816
88,0.361,-0.363,1.76,247.5,deg,d4SigUU,49.8,pb GeV^-4,4.3,1.5936,2.3,HallA,e-,4.455,p,0.93827208816
89,0.361,-0.363,1.76,262.5,deg,d4SigUU,57.3,pb GeV^-4,4.7,1.8336,2.3,HallA,e-,4.455,p,0.93827208816
90,0.361,-0.363,1.76,277.5,deg,d4SigUU,62.5,pb GeV^-4,5.1,2.0,2.3,HallA,e-,4.455,p,0.93827208816
91,0.361,-0.363,1.76,292.5,deg,d4SigUU,77.5,pb GeV^-4,5.4,2.48,2.3,HallA,e-,4.455,p,0.93827208816
92,0.361,-0.363,1.76,307.5,deg,d4SigUU,86.4,pb GeV^-4,6.0,2.7648,2.3,HallA,e-,4.455,p,0.93827208816
93,0.361,-0.363,1.76,322.5,deg,d4SigUU,125.3,pb GeV^-4,7.5,4.0096,2.3,HallA,e-,4.455,p,0.93827208816
94,0.361,-0.363,1.76,337.5,deg,d4SigUU,153.3,pb GeV^-4,10.0,4.9056,2.3,HallA,e-,4.455,p,0.93827208816
95,0.361,-0.363,1.76,352.5,deg,d4SigUU,174.3,pb GeV^-4,14.0,5.5776,2.3,HallA,e-,4.455,p,0.93827208816
96,0.356,-0.182,1.98,7.5,deg,d4SigUU,182.4,pb GeV^-4,9.6,5.8368,2.3,HallA,e-,4.455,p,0.93827208816
97,0.356,-0.182,1.98,22.5,deg,d4SigUU,183.3,pb GeV^-4,9.6,5.8656,2.3,HallA,e-,4.455,p,0.93827208816
98,0.356,-0.182,1.98,37.5,deg,d4SigUU,160.9,pb GeV^-4,9.0,5.1488,2.3,HallA,e-,4.455,p,0.93827208816
99,0.356,-0.182,1.98,52.5,deg,d4SigUU,152.8,pb GeV^-4,8.5,4.8896,2.3,HallA,e-,4.455,p,0.93827208816
100,0.356,-0.182,1.98,67.5,deg,d4SigUU,146.3,pb GeV^-4,8.0,4.6816,2.3,HallA,e-,4.455,p,0.93827208816
101,0.356,-0.182,1.98,82.5,deg,d4SigUU,120.3,pb GeV^-4,7.2,3.8496,2.3,HallA,e-,4.455,p,0.93827208816
102,0.356,-0.182,1.98,97.5,deg,d4SigUU,109.0,pb GeV^-4,6.8,3.488,2.3,HallA,e-,4.455,p,0.93827208816
103,0.356,-0.182,1.98,112.5,deg,d4SigUU,83.4,pb GeV^-4,5.9,2.6688,2.3,HallA,e-,4.455,p,0.93827208816
104,0.356,-0.182,1.98,127.5,deg,d4SigUU,82.4,pb GeV^-4,5.8,2.6368,2.3,HallA,e-,4.455,p,0.93827208816
105,0.356,-0.182,1.98,142.5,deg,d4SigUU,85.3,pb GeV^-4,5.7,2.7296,2.3,HallA,e-,4.455,p,0.93827208816
106,0.356,-0.182,1.98,157.5,deg,d4SigUU,73.3,pb GeV^-4,5.4,2.3456,2.3,HallA,e-,4.455,p,0.93827208816
107,0.356,-0.182,1.98,172.5,deg,d4SigUU,74.8,pb GeV^-4,5.3,2.3936,2.3,HallA,e-,4.455,p,0.93827208816
108,0.356,-0.182,1.98,187.5,deg,d4SigUU,74.9,pb GeV^-4,5.4,2.3968,2.3,HallA,e-,4.455,p,0.93827208816
109,0.356,-0.182,1.98,202.5,deg,d4SigUU,73.8,pb GeV^-4,5.3,2.3616,2.3,HallA,e-,4.455,p,0.93827208816
110,0.356,-0.182,1.98,217.5,deg,d4SigUU,83.6,pb GeV^-4,5.6,2.6752,2.3,HallA,e-,4.455,p,0.93827208816
111,0.356,-0.182,1.98,232.5,deg,d4SigUU,86.8,pb GeV^-4,5.7,2.7776,2.3,HallA,e-,4.455,p,0.93827208816
112,0.356,-0.182,1.98,247.5,deg,d4SigUU,84.7,pb GeV^-4,6.0,2.7104,2.3,HallA,e-,4.455,p,0.93827208816
113,0.356,-0.182,1.98,262.5,deg,d4SigUU,101.6,pb GeV^-4,6.4,3.2512,2.3,HallA,e-,4.455,p,0.93827208816
114,0.356,-0.182,1.98,277.5,deg,d4SigUU,131.4,pb GeV^-4,7.5,4.2048,2.3,HallA,e-,4.455,p,0.93827208816
115,0.356,-0.182,1.98,292.5,deg,d4SigUU,147.0,pb GeV^-4,8.2,4.704,2.3,HallA,e-,4.455,p,0.93827208816
116,0.356,-0.182,1.98,307.5,deg,d4SigUU,162.9,pb GeV^-4,8.6,5.2128,2.3,HallA,e-,4.455,p,0.93827208816
117,0.356,-0.182,1.98,322.5,deg,d4SigUU,169.9,pb GeV^-4,9.1,5.4368,2.3,HallA,e-,4.455,p,0.93827208816
118,0.356,-0.182,1.98,337.5,deg,d4SigUU,198.1,pb GeV^-4,9.8,6.3392,2.3,HallA,e-,4.455,p,0.93827208816
119,0.356,-0.182,1.98,352.5,deg,d4SigUU,196.8,pb GeV^-4,9.6,6.2976,2.3,HallA,e-,4.455,p,0.93827208816
120,0.357,-0.242,1.99,7.5,deg,d4SigUU,246.6,pb GeV^-4,13.0,7.8912,2.3,HallA,e-,4.455,p,0.93827208816
121,0.357,-0.242,1.99,22.5,deg,d4SigUU,194.8,pb GeV^-4,12.0,6.2336,2.3,HallA,e-,4.455,p,0.93827208816
122,0.357,-0.242,1.99,37.5,deg,d4SigUU,176.2,pb GeV^-4,10.0,5.6384,2.3,HallA,e-,4.455,p,0.93827208816
123,0.357,-0.242,1.99,52.5,deg,d4SigUU,135.9,pb GeV^-4,8.5,4.3488,2.3,HallA,e-,4.455,p,0.93827208816
124,0.357,-0.242,1.99,67.5,deg,d4SigUU,109.4,pb GeV^-4,7.5,3.5008,2.3,HallA,e-,4.455,p,0.93827208816
125,0.357,-0.242,1.99,82.5,deg,d4SigUU,97.4,pb GeV^-4,7.0,3.1168,2.3,HallA,e-,4.455,p,0.93827208816
126,0.357,-0.242,1.99,97.5,deg,d4SigUU,77.1,pb GeV^-4,6.0,2.4672,2.3,HallA,e-,4.455,p,0.93827208816
127,0.357,-0.242,1.99,112.5,deg,d4SigUU,67.5,pb GeV^-4,5.7,2.16,2.3,HallA,e-,4.455,p,0.93827208816
128,0.357,-0.242,1.99,127.5,deg,d4SigUU,65.6,pb GeV^-4,5.4,2.0992,2.3,HallA,e-,4.455,p,0.93827208816
129,0.357,-0.242,1.99,142.5,deg,d4SigUU,47.3,pb GeV^-4,4.8,1.5136,2.3,HallA,e-,4.455,p,0.93827208816
130,0.357,-0.242,1.99,157.5,deg,d4SigUU,46.3,pb GeV^-4,4.7,1.4816,2.3,HallA,e-,4.455,p,0.93827208816
131,0.357,-0.242,1.99,172.5,deg,d4SigUU,52.1,pb GeV^-4,4.8,1.6672,2.3,HallA,e-,4.455,p,0.93827208816
132,0.357,-0.242,1.99,187.5,deg,d4SigUU,52.2,pb GeV^-4,4.9,1.6704,2.3,HallA,e-,4.455,p,0.93827208816
133,0.357,-0.242,1.99,202.5,deg,d4SigUU,39.5,pb GeV^-4,4.5,1.264,2.3,HallA,e-,4.455,p,0.93827208816
134,0.357,-0.242,1.99,217.5,deg,d4SigUU,53.8,pb GeV^-4,5.1,1.7216,2.3,HallA,e-,4.455,p,0.93827208816
135,0.357,-0.242,1.99,232.5,deg,d4SigUU,71.7,pb GeV^-4,5.9,2.2944,2.3,HallA,e-,4.455,p,0.93827208816
136,0.357,-0.242,1.99,247.5,deg,d4SigUU,64.6,pb GeV^-4,5.7,2.0672,2.3,HallA,e-,4.455,p,0.93827208816
137,0.357,-0.242,1.99,262.5,deg,d4SigUU,82.4,pb GeV^-4,6.2,2.6368,2.3,HallA,e-,4.455,p,0.93827208816
138,0.357,-0.242,1.99,277.5,deg,d4SigUU,96.6,pb GeV^-4,6.7,3.0912,2.3,HallA,e-,4.455,p,0.93827208816
139,0.357,-0.242,1.99,292.5,deg,d4SigUU,107.3,pb GeV^-4,7.4,3.4336,2.3,HallA,e-,4.455,p,0.93827208816
140,0.357,-0.242,1.99,307.5,deg,d4SigUU,133.1,pb GeV^-4,8.7,4.2592,2.3,HallA,e-,4.455,p,0.93827208816
141,0.357,-0.242,1.99,322.5,deg,d4SigUU,184.4,pb GeV^-4,10.0,5.9008,2.3,HallA,e-,4.455,p,0.93827208816
142,0.357,-0.242,1.99,337.5,deg,d4SigUU,196.6,pb GeV^-4,11.0,6.2912,2.3,HallA,e-,4.455,p,0.93827208816
143,0.357,-0.242,1.99,352.5,deg,d4SigUU,273.1,pb GeV^-4,13.0,8.7392,2.3,HallA,e-,4.455,p,0.93827208816
144,0.36,-0.304,2.0,22.5,deg,d4SigUU,203.2,pb GeV^-4,19.0,6.5024,2.3,HallA,e-,4.455,p,0.93827208816
145,0.36,-0.304,2.0,37.5,deg,d4SigUU,139.5,pb GeV^-4,11.0,4.464,2.3,HallA,e-,4.455,p,0.93827208816
146,0.36,-0.304,2.0,52.5,deg,d4SigUU,104.9,pb GeV^-4,8.2,3.3568,2.3,HallA,e-,4.455,p,0.93827208816
147,0.36,-0.304,2.0,67.5,deg,d4SigUU,86.3,pb GeV^-4,7.0,2.7616,2.3,HallA,e-,4.455,p,0.93827208816
148,0.36,-0.304,2.0,82.5,deg,d4SigUU,80.0,pb GeV^-4,6.3,2.56,2.3,HallA,e-,4.455,p,0.93827208816
149,0.36,-0.304,2.0,97.5,deg,d4SigUU,52.2,pb GeV^-4,5.3,1.6704,2.3,HallA,e-,4.455,p,0.93827208816
150,0.36,-0.304,2.0,112.5,deg,d4SigUU,55.0,pb GeV^-4,5.4,1.76,2.3,HallA,e-,4.455,p,0.93827208816
151,0.36,-0.304,2.0,127.5,deg,d4SigUU,43.4,pb GeV^-4,4.8,1.3888,2.3,HallA,e-,4.455,p,0.93827208816
152,0.36,-0.304,2.0,142.5,deg,d4SigUU,37.9,pb GeV^-4,4.4,1.2128,2.3,HallA,e-,4.455,p,0.93827208816
153,0.36,-0.304,2.0,157.5,deg,d4SigUU,44.8,pb GeV^-4,4.6,1.4336,2.3,HallA,e-,4.455,p,0.93827208816
154,0.36,-0.304,2.0,172.5,deg,d4SigUU,36.5,pb GeV^-4,4.4,1.168,2.3,HallA,e-,4.455,p,0.93827208816
155,0.36,-0.304,2.0,187.5,deg,d4SigUU,37.9,pb GeV^-4,4.4,1.2128,2.3,HallA,e-,4.455,p,0.93827208816
156,0.36,-0.304,2.0,202.5,deg,d4SigUU,46.2,pb GeV^-4,4.7,1.4784,2.3,HallA,e-,4.455,p,0.93827208816
157,0.36,-0.304,2.0,217.5,deg,d4SigUU,36.1,pb GeV^-4,4.4,1.1552,2.3,HallA,e-,4.455,p,0.93827208816
158,0.36,-0.304,2.0,232.5,deg,d4SigUU,49.0,pb GeV^-4,5.0,1.568,2.3,HallA,e-,4.455,p,0.93827208816
159,0.36,-0.304,2.0,247.5,deg,d4SigUU,60.8,pb GeV^-4,5.5,1.9456,2.3,HallA,e-,4.455,p,0.93827208816
160,0.36,-0.304,2.0,262.5,deg,d4SigUU,61.1,pb GeV^-4,5.6,1.9552,2.3,HallA,e-,4.455,p,0.93827208816
161,0.36,-0.304,2.0,277.5,deg,d4SigUU,62.6,pb GeV^-4,6.0,2.0032,2.3,HallA,e-,4.455,p,0.93827208816
162,0.36,-0.304,2.0,292.5,deg,d4SigUU,79.3,pb GeV^-4,6.9,2.5376,2.3,HallA,e-,4.455,p,0.93827208816
163,0.36,-0.304,2.0,307.5,deg,d4SigUU,135.0,pb GeV^-4,9.0,4.32,2.3,HallA,e-,4.455,p,0.93827208816
164,0.36,-0.304,2.0,322.5,deg,d4SigUU,150.5,pb GeV^-4,11.0,4.816,2.3,HallA,e-,4.455,p,0.93827208816
165,0.36,-0.304,2.0,337.5,deg,d4SigUU,166.0,pb GeV^-4,18.0,5.312,2.3,HallA,e-,4.455,p,0.93827208816
166,0.36,-0.364,2.0,37.5,deg,d4SigUU,133.5,pb GeV^-4,18.0,4.272,2.3,HallA,e-,4.455,p,0.93827208816
167,0.36,-0.364,2.0,52.5,deg,d4SigUU,81.1,pb GeV^-4,8.6,2.5952,2.3,HallA,e-,4.455,p,0.93827208816
168,0.36,-0.364,2.0,67.5,deg,d4SigUU,71.9,pb GeV^-4,6.8,2.3008,2.3,HallA,e-,4.455,p,0.93827208816
169,0.36,-0.364,2.0,82.5,deg,d4SigUU,54.9,pb GeV^-4,5.6,1.7568,2.3,HallA,e-,4.455,p,0.93827208816
170,0.36,-0.364,2.0,97.5,deg,d4SigUU,42.3,pb GeV^-4,5.1,1.3536,2.3,HallA,e-,4.455,p,0.93827208816
171,0.36,-0.364,2.0,112.5,deg,d4SigUU,37.9,pb GeV^-4,5.1,1.2128,2.3,HallA,e-,4.455,p,0.93827208816
172,0.36,-0.364,2.0,127.5,deg,d4SigUU,32.7,pb GeV^-4,4.7,1.0464,2.3,HallA,e-,4.455,p,0.93827208816
173,0.36,-0.364,2.0,142.5,deg,d4SigUU,30.3,pb GeV^-4,4.3,0.9696,2.3,HallA,e-,4.455,p,0.93827208816
174,0.36,-0.364,2.0,157.5,deg,d4SigUU,25.4,pb GeV^-4,4.1,0.8128,2.3,HallA,e-,4.455,p,0.93827208816
175,0.36,-0.364,2.0,172.5,deg,d4SigUU,23.9,pb GeV^-4,4.2,0.7648,2.3,HallA,e-,4.455,p,0.93827208816
176,0.36,-0.364,2.0,187.5,deg,d4SigUU,26.5,pb GeV^-4,4.3,0.848,2.3,HallA,e-,4.455,p,0.93827208816
177,0.36,-0.364,2.0,202.5,deg,d4SigUU,32.3,pb GeV^-4,4.4,1.0336,2.3,HallA,e-,4.455,p,0.93827208816
178,0.36,-0.364,2.0,217.5,deg,d4SigUU,35.6,pb GeV^-4,4.4,1.1392,2.3,HallA,e-,4.455,p,0.93827208816
179,0.36,-0.364,2.0,232.5,deg,d4SigUU,39.1,pb GeV^-4,4.7,1.2512,2.3,HallA,e-,4.455,p,0.93827208816
180,0.36,-0.364,2.0,247.5,deg,d4SigUU,45.7,pb GeV^-4,5.1,1.4624,2.3,HallA,e-,4.455,p,0.93827208816
181,0.36,-0.364,2.0,262.5,deg,d4SigUU,47.1,pb GeV^-4,5.4,1.5072,2.3,HallA,e-,4.455,p,0.93827208816
182,0.36,-0.364,2.0,277.5,deg,d4SigUU,56.7,pb GeV^-4,6.1,1.8144,2.3,HallA,e-,4.455,p,0.93827208816
183,0.36,-0.364,2.0,292.5,deg,d4SigUU,63.8,pb GeV^-4,6.4,2.0416,2.3,HallA,e-,4.455,p,0.93827208816
184,0.36,-0.364,2.0,307.5,deg,d4SigUU,84.6,pb GeV^-4,8.9,2.7072,2.3,HallA,e-,4.455,p,0.93827208816
