,xB,t,Q2,phi,deg/rad,obs,value,units,stat_u,syst_u,%norm_c,col,lepton,E_lepton,hadron,E_hadron
0,0.357,-0.181,1.74,7.5,deg,d4SigUU,179.2,pb GeV^-4,7.2,5.7344,2.3,HallA,e-,4.455,p,0.93827208816
1,0.357,-0.181,1.74,22.5,deg,d4SigUU,162.8,pb GeV^-4,7.0,5.2096,2.3,HallA,e-,4.455,p,0.93827208816
2,0.357,-0.181,1.74,37.5,deg,d4SigUU,162.0,pb GeV^-4,6.8,5.184,2.3,HallA,e-,4.455,p,0.93827208816
3,0.357,-0.181,1.74,52.5,deg,d4SigUU,144.4,pb GeV^-4,6.3,4.6208,2.3,HallA,e-,4.455,p,0.93827208816
4,0.357,-0.181,1.74,67.5,deg,d4SigUU,131.5,pb GeV^-4,6.0,4.208,2.3,HallA,e-,4.455,p,0.93827208816
5,0.357,-0.181,1.74,82.5,deg,d4SigUU,123.7,pb GeV^-4,5.6,3.9584,2.3,HallA,e-,4.455,p,0.93827208816
6,0.357,-0.181,1.74,97.5,deg,d4SigUU,96.4,pb GeV^-4,5.1,3.0848,2.3,HallA,e-,4.455,p,0.93827208816
7,0.357,-0.181,1.74,112.5,deg,d4SigUU,95.2,pb GeV^-4,4.8,3.0464,2.3,HallA,e-,4.455,p,0.93827208816
8,0.357,-0.181,1.74,127.5,deg,d4SigUU,87.6,pb GeV^-4,4.5,2.8032,2.3,HallA,e-,4.455,p,0.93827208816
9,0.357,-0.181,1.74,142.5,deg,d4SigUU,80.6,pb GeV^-4,4.3,2.5792,2.3,HallA,e-,4.455,p,0.93827208816
10,0.357,-0.181,1.74,157.5,deg,d4SigUU,72.6,pb GeV^-4,4.1,2.3232,2.3,HallA,e-,4.455,p,0.93827208816
11,0.357,-0.181,1.74,172.5,deg,d4SigUU,76.0,pb GeV^-4,4.2,2.432,2.3,HallA,e-,4.455,p,0.93827208816
12,0.357,-0.181,1.74,187.5,deg,d4SigUU,70.8,pb GeV^-4,4.1,2.2656,2.3,HallA,e-,4.455,p,0.93827208816
13,0.357,-0.181,1.74,202.5,deg,d4SigUU,80.8,pb GeV^-4,4.4,2.5856,2.3,HallA,e-,4.455,p,0.93827208816
14,0.357,-0.181,1.74,217.5,deg,d4SigUU,83.7,pb GeV^-4,4.5,2.6784,2.3,HallA,e-,4.455,p,0.93827208816
15,0.357,-0.181,1.74,232.5,deg,d4SigUU,77.3,pb GeV^-4,4.4,2.4736,2.3,HallA,e-,4.455,p,0.93827208816
16,0.357,-0.181,1.74,247.5,deg,d4SigUU,94.6,pb GeV^-4,4.8,3.0272,2.3,HallA,e-,4.455,p,0.93827208816
17,0.357,-0.181,1.74,262.5,deg,d4SigUU,98.4,pb GeV^-4,5.2,3.1488,2.3,HallA,e-,4.455,p,0.93827208816
18,0.357,-0.181,1.74,277.5,deg,d4SigUU,123.5,pb GeV^-4,5.6,3.952,2.3,HallA,e-,4.455,p,0.93827208816
19,0.357,-0.181,1.74,292.5,deg,d4SigUU,129.1,pb GeV^-4,5.9,4.1312,2.3,HallA,e-,4.455,p,0.93827208816
20,0.357,-0.181,1.74,307.5,deg,d4SigUU,144.6,pb GeV^-4,6.2,4.6272,2.3,HallA,e-,4.455,p,0.93827208816
