,dependence,t_min,t_max,xB,t,Q2,obs,value,units,stat_u,syst_u,col,lepton,E_lepton,hadron,E_hadron
0,-t,0.0,0.03,0.07,-0.02,1.71,ACCos0Phi,-0.027,none,0.014,0.009,HERMES,e-/e+,27.6,p,0.9382720882
1,-t,0.03,0.06,0.09,-0.04,2.22,ACCos0Phi,0.001,none,0.014,0.003,HERMES,e-/e+,27.6,p,0.9382720882
2,-t,0.06,0.1,0.1,-0.08,2.44,ACCos0Phi,0.003,none,0.015,0.011,HERMES,e-/e+,27.6,p,0.9382720882
3,-t,0.1,0.2,0.11,-0.14,2.72,ACCos0Phi,-0.018,none,0.013,0.013,HERMES,e-/e+,27.6,p,0.9382720882
4,-t,0.2,0.35,0.12,-0.26,3.13,ACCos0Phi,-0.034,none,0.018,0.006,HERMES,e-/e+,27.6,p,0.9382720882
5,-t,0.35,0.7,0.12,-0.46,3.63,ACCos0Phi,-0.056,none,0.029,0.009,HERMES,e-/e+,27.6,p,0.9382720882
