,xB,t,Q2,obs,value,units,stat_u,syst_u,%norm_c,col,lepton,E_lepton,hadron,E_hadron
0,0.079,-0.031,1.982,ALLCos1Phi,-0.012,none,0.094,0.01,5.3,HERMES,e+,27.6,p,0.93827208816
1,0.103,-0.094,2.531,ALLCos1Phi,-0.021,none,0.112,0.022,5.3,HERMES,e+,27.6,p,0.93827208816
2,0.11,-0.201,2.883,ALLCos1Phi,-0.179,none,0.137,0.044,5.3,HERMES,e+,27.6,p,0.93827208816
3,0.123,-0.408,3.587,ALLCos1Phi,-0.065,none,0.235,0.079,5.3,HERMES,e+,27.6,p,0.93827208816
