,Unnamed: 0,xB,t,Q2,obs,value,units,stat_u,syst_u,%norm_c,col,lepton,E_lepton,hadron,E_hadron
0,0,0.06,-0.08,1.2,AUTISinPhiPhiSCosPhi,-0.174,none,0.092,0.047,0.081,HERMES,e-/e+,27.6,p,0.93827208816
1,1,0.08,-0.1,1.9,AUTISinPhiPhiSCosPhi,-0.17,none,0.073,0.031,0.081,HERMES,e-/e+,27.6,p,0.93827208816
2,2,0.11,-0.13,2.8,AUTISinPhiPhiSCosPhi,-0.249,none,0.078,0.025,0.081,HERMES,e-/e+,27.6,p,0.93827208816
3,3,0.17,-0.19,4.9,AUTISinPhiPhiSCosPhi,-0.059,none,0.072,0.011,0.081,HERMES,e-/e+,27.6,p,0.93827208816
