,Unnamed: 0,dependence,xB_min,xB_max,xB,t,Q2,obs,value,units,stat_u,syst_u,col,lepton,E_lepton,hadron,E_hadron
0,0,xB,0.03,0.06,0.05,-0.1,1.34,ACCos0Phi,-0.043,none,0.014,0.014,HERMES,e-/e+,27.6,p,0.9382720882
1,1,xB,0.06,0.08,0.07,-0.09,1.78,ACCos0Phi,-0.014,none,0.013,0.007,HERMES,e-/e+,27.6,p,0.9382720882
2,2,xB,0.08,0.1,0.09,-0.11,2.3,ACCos0Phi,-0.048,none,0.016,0.014,HERMES,e-/e+,27.6,p,0.9382720882
3,3,xB,0.1,0.13,0.11,-0.12,2.92,ACCos0Phi,0.01,none,0.017,0.009,HERMES,e-/e+,27.6,p,0.9382720882
4,4,xB,0.13,0.2,0.16,-0.16,4.04,ACCos0Phi,-0.012,none,0.018,0.012,HERMES,e-/e+,27.6,p,0.9382720882
5,5,xB,0.2,0.35,0.24,-0.23,6.11,ACCos0Phi,0.04,none,0.032,0.029,HERMES,e-/e+,27.6,p,0.9382720882
