,Unnamed: 0,xB,t,Q2,obs,value,units,stat_u,syst_u,col,lepton,E_lepton,hadron,E_hadron
0,0,0.05,-0.1,1.5,ALTICos2Phi,0.137,none,0.178,0.007,HERMES,e-/e+,27.6,p,0.93827208816
1,1,0.08,-0.1,2.2,ALTICos2Phi,-0.046,none,0.208,0.005,HERMES,e-/e+,27.6,p,0.93827208816
2,2,0.12,-0.13,3.1,ALTICos2Phi,-0.064,none,0.227,0.007,HERMES,e-/e+,27.6,p,0.93827208816
3,3,0.2,-0.2,5.0,ALTICos2Phi,0.24,none,0.299,0.02,HERMES,e-/e+,27.6,p,0.93827208816
