,xB,t,Q2,obs,value,units,stat_u,syst_u,%norm_c,col,lepton,E_lepton,hadron,E_hadron
0,0.079,-0.031,1.982,AULSin1Phi,-0.008,none,0.051,0.012,4.2,HERMES,e+,27.6,p,0.93827208816
1,0.103,-0.094,2.531,AULSin1Phi,-0.085,none,0.057,0.017,4.2,HERMES,e+,27.6,p,0.93827208816
2,0.11,-0.201,2.883,AULSin1Phi,-0.169,none,0.07,0.007,4.2,HERMES,e+,27.6,p,0.93827208816
3,0.123,-0.408,3.587,AULSin1Phi,-0.138,none,0.109,0.017,4.2,HERMES,e+,27.6,p,0.93827208816
