,xB,t,Q2,phi,deg/rad,obs,value,units,stat_u,syst_u,col,lepton,E_lepton,hadron,E_hadron
0,0.194,-0.11,1.68,25,deg,ALL,0.58,none,0.33,0.04,CLAS,e-,5.932,p,0.93827208816
1,0.19,-0.12,1.68,60,deg,ALL,0.34,none,0.16,0.13,CLAS,e-,5.932,p,0.93827208816
2,0.186,-0.13,1.58,92,deg,ALL,0.58,none,0.08,0.02,CLAS,e-,5.932,p,0.93827208816
3,0.178,-0.13,1.54,128,deg,ALL,0.56,none,0.07,0.02,CLAS,e-,5.932,p,0.93827208816
4,0.174,-0.13,1.5,161,deg,ALL,0.46,none,0.07,0.02,CLAS,e-,5.932,p,0.93827208816
5,0.173,-0.13,1.51,198,deg,ALL,0.51,none,0.07,0.01,CLAS,e-,5.932,p,0.93827208816
6,0.177,-0.13,1.52,235,deg,ALL,0.51,none,0.08,0.02,CLAS,e-,5.932,p,0.93827208816
7,0.185,-0.13,1.6,266,deg,ALL,0.44,none,0.09,0.02,CLAS,e-,5.932,p,0.93827208816
8,0.19,-0.12,1.68,305,deg,ALL,0.46,none,0.14,0.04,CLAS,e-,5.932,p,0.93827208816
9,0.19,-0.21,1.61,97,deg,ALL,-0.05,none,0.26,0.1,CLAS,e-,5.932,p,0.93827208816
10,0.182,-0.23,1.57,128,deg,ALL,0.54,none,0.14,0.05,CLAS,e-,5.932,p,0.93827208816
11,0.179,-0.23,1.51,161,deg,ALL,0.64,none,0.1,0.06,CLAS,e-,5.932,p,0.93827208816
12,0.178,-0.23,1.54,199,deg,ALL,0.6,none,0.1,0.03,CLAS,e-,5.932,p,0.93827208816
13,0.184,-0.23,1.62,233,deg,ALL,0.38,none,0.13,0.11,CLAS,e-,5.932,p,0.93827208816
14,0.191,-0.22,1.64,263,deg,ALL,0.75,none,0.21,0.08,CLAS,e-,5.932,p,0.93827208816
15,0.188,-0.49,1.63,96,deg,ALL,0.81,none,0.32,0.14,CLAS,e-,5.932,p,0.93827208816
16,0.181,-0.47,1.54,127,deg,ALL,0.34,none,0.16,0.04,CLAS,e-,5.932,p,0.93827208816
17,0.173,-0.49,1.36,162,deg,ALL,0.5,none,0.09,0.05,CLAS,e-,5.932,p,0.93827208816
18,0.174,-0.46,1.42,196,deg,ALL,0.54,none,0.11,0.03,CLAS,e-,5.932,p,0.93827208816
19,0.181,-0.43,1.6,234,deg,ALL,0.36,none,0.16,0.09,CLAS,e-,5.932,p,0.93827208816
20,0.185,-0.51,1.56,261,deg,ALL,-0.02,none,0.29,0.12,CLAS,e-,5.932,p,0.93827208816
21,0.184,-1.35,1.62,20,deg,ALL,0.36,none,0.23,0.07,CLAS,e-,5.932,p,0.93827208816
22,0.178,-1.21,1.56,56,deg,ALL,0.5,none,0.2,0.06,CLAS,e-,5.932,p,0.93827208816
23,0.178,-1.02,1.46,92,deg,ALL,0.08,none,0.21,0.18,CLAS,e-,5.932,p,0.93827208816
24,0.176,-1.01,1.48,128,deg,ALL,0.44,none,0.27,0.06,CLAS,e-,5.932,p,0.93827208816
25,0.17,-1.0,1.36,164,deg,ALL,0.12,none,0.11,0.05,CLAS,e-,5.932,p,0.93827208816
26,0.171,-0.97,1.35,192,deg,ALL,0.41,none,0.19,0.06,CLAS,e-,5.932,p,0.93827208816
27,0.171,-1.07,1.4,239,deg,ALL,0.24,none,0.23,0.06,CLAS,e-,5.932,p,0.93827208816
28,0.178,-1.03,1.41,266,deg,ALL,0.3,none,0.14,0.08,CLAS,e-,5.932,p,0.93827208816
29,0.179,-1.24,1.58,306,deg,ALL,0.51,none,0.2,0.07,CLAS,e-,5.932,p,0.93827208816
30,0.183,-1.35,1.62,340,deg,ALL,0.36,none,0.24,0.17,CLAS,e-,5.932,p,0.93827208816
31,0.255,-0.13,2.03,19,deg,ALL,0.6,none,0.04,0.03,CLAS,e-,5.932,p,0.93827208816
32,0.25,-0.14,1.99,52,deg,ALL,0.6,none,0.04,0.03,CLAS,e-,5.932,p,0.93827208816
33,0.239,-0.14,1.93,89,deg,ALL,0.57,none,0.05,0.02,CLAS,e-,5.932,p,0.93827208816
34,0.235,-0.14,1.91,124,deg,ALL,0.63,none,0.07,0.02,CLAS,e-,5.932,p,0.93827208816
35,0.228,-0.14,1.84,160,deg,ALL,0.65,none,0.08,0.03,CLAS,e-,5.932,p,0.93827208816
36,0.231,-0.14,1.89,199,deg,ALL,0.59,none,0.08,0.02,CLAS,e-,5.932,p,0.93827208816
37,0.235,-0.14,1.93,238,deg,ALL,0.5,none,0.07,0.02,CLAS,e-,5.932,p,0.93827208816
38,0.239,-0.14,1.94,270,deg,ALL,0.63,none,0.05,0.02,CLAS,e-,5.932,p,0.93827208816
39,0.248,-0.13,1.97,308,deg,ALL,0.56,none,0.04,0.03,CLAS,e-,5.932,p,0.93827208816
40,0.255,-0.13,2.03,340,deg,ALL,0.55,none,0.04,0.03,CLAS,e-,5.932,p,0.93827208816
41,0.276,-0.22,2.23,21,deg,ALL,0.58,none,0.06,0.02,CLAS,e-,5.932,p,0.93827208816
42,0.268,-0.23,2.12,53,deg,ALL,0.56,none,0.06,0.03,CLAS,e-,5.932,p,0.93827208816
43,0.251,-0.23,2.01,91,deg,ALL,0.49,none,0.06,0.01,CLAS,e-,5.932,p,0.93827208816
