,xB,t,Q2,phi,deg/rad,obs,value,units,stat_u,syst_u,col,lepton,E_lepton,hadron,E_hadron
44,0.248,-0.23,1.91,124,deg,ALL,0.66,none,0.07,0.03,CLAS,e-,5.932,p,0.93827208816
45,0.246,-0.24,1.79,161,deg,ALL,0.55,none,0.08,0.02,CLAS,e-,5.932,p,0.93827208816
46,0.245,-0.24,1.8,199,deg,ALL,0.7,none,0.08,0.03,CLAS,e-,5.932,p,0.93827208816
47,0.242,-0.23,1.97,235,deg,ALL,0.62,none,0.08,0.04,CLAS,e-,5.932,p,0.93827208816
48,0.248,-0.23,2.01,270,deg,ALL,0.53,none,0.06,0.02,CLAS,e-,5.932,p,0.93827208816
49,0.268,-0.23,2.14,307,deg,ALL,0.57,none,0.06,0.03,CLAS,e-,5.932,p,0.93827208816
50,0.277,-0.22,2.21,340,deg,ALL,0.51,none,0.06,0.02,CLAS,e-,5.932,p,0.93827208816
51,0.286,-0.4,2.34,26,deg,ALL,0.66,none,0.22,0.05,CLAS,e-,5.932,p,0.93827208816
52,0.276,-0.45,2.2,56,deg,ALL,0.43,none,0.09,0.04,CLAS,e-,5.932,p,0.93827208816
53,0.254,-0.44,2.04,90,deg,ALL,0.55,none,0.08,0.03,CLAS,e-,5.932,p,0.93827208816
54,0.255,-0.45,1.82,127,deg,ALL,0.51,none,0.09,0.02,CLAS,e-,5.932,p,0.93827208816
55,0.252,-0.48,1.73,163,deg,ALL,0.45,none,0.06,0.02,CLAS,e-,5.932,p,0.93827208816
56,0.254,-0.47,1.74,197,deg,ALL,0.48,none,0.07,0.02,CLAS,e-,5.932,p,0.93827208816
57,0.251,-0.44,1.88,233,deg,ALL,0.44,none,0.1,0.03,CLAS,e-,5.932,p,0.93827208816
58,0.253,-0.46,1.99,271,deg,ALL,0.5,none,0.07,0.03,CLAS,e-,5.932,p,0.93827208816
59,0.274,-0.45,2.2,303,deg,ALL,0.41,none,0.09,0.04,CLAS,e-,5.932,p,0.93827208816
60,0.287,-0.4,2.36,334,deg,ALL,0.34,none,0.16,0.02,CLAS,e-,5.932,p,0.93827208816
61,0.261,-1.41,2.03,17,deg,ALL,0.48,none,0.06,0.02,CLAS,e-,5.932,p,0.93827208816
62,0.258,-1.12,1.98,54,deg,ALL,0.34,none,0.08,0.03,CLAS,e-,5.932,p,0.93827208816
63,0.256,-1.18,1.78,87,deg,ALL,0.33,none,0.09,0.03,CLAS,e-,5.932,p,0.93827208816
64,0.261,-1.13,1.82,128,deg,ALL,0.26,none,0.13,0.02,CLAS,e-,5.932,p,0.93827208816
65,0.252,-1.03,1.79,164,deg,ALL,0.4,none,0.06,0.01,CLAS,e-,5.932,p,0.93827208816
66,0.254,-1.03,1.78,195,deg,ALL,0.34,none,0.09,0.03,CLAS,e-,5.932,p,0.93827208816
67,0.257,-1.23,1.84,238,deg,ALL,0.34,none,0.12,0.05,CLAS,e-,5.932,p,0.93827208816
68,0.257,-1.14,1.75,270,deg,ALL,0.21,none,0.07,0.02,CLAS,e-,5.932,p,0.93827208816
69,0.26,-1.12,2.01,307,deg,ALL,0.56,none,0.09,0.04,CLAS,e-,5.932,p,0.93827208816
70,0.261,-1.4,2.03,343,deg,ALL,0.36,none,0.06,0.02,CLAS,e-,5.932,p,0.93827208816
71,0.265,-0.13,2.45,20,deg,ALL,0.76,none,0.06,0.02,CLAS,e-,5.932,p,0.93827208816
72,0.253,-0.14,2.36,53,deg,ALL,0.62,none,0.06,0.04,CLAS,e-,5.932,p,0.93827208816
73,0.249,-0.14,2.32,88,deg,ALL,0.76,none,0.07,0.02,CLAS,e-,5.932,p,0.93827208816
74,0.246,-0.14,2.3,125,deg,ALL,0.61,none,0.11,0.03,CLAS,e-,5.932,p,0.93827208816
75,0.242,-0.14,2.26,162,deg,ALL,0.81,none,0.13,0.04,CLAS,e-,5.932,p,0.93827208816
76,0.242,-0.14,2.27,199,deg,ALL,0.81,none,0.11,0.05,CLAS,e-,5.932,p,0.93827208816
77,0.243,-0.14,2.28,237,deg,ALL,0.84,none,0.09,0.02,CLAS,e-,5.932,p,0.93827208816
78,0.248,-0.14,2.32,271,deg,ALL,0.75,none,0.07,0.02,CLAS,e-,5.932,p,0.93827208816
79,0.253,-0.14,2.36,307,deg,ALL,0.56,none,0.06,0.02,CLAS,e-,5.932,p,0.93827208816
80,0.265,-0.14,2.45,340,deg,ALL,0.67,none,0.07,0.03,CLAS,e-,5.932,p,0.93827208816
81,0.281,-0.22,2.57,24,deg,ALL,0.55,none,0.1,0.02,CLAS,e-,5.932,p,0.93827208816
82,0.269,-0.23,2.5,53,deg,ALL,0.68,none,0.07,0.05,CLAS,e-,5.932,p,0.93827208816
83,0.258,-0.23,2.4,90,deg,ALL,0.58,none,0.09,0.03,CLAS,e-,5.932,p,0.93827208816
84,0.252,-0.23,2.35,126,deg,ALL,0.55,none,0.12,0.03,CLAS,e-,5.932,p,0.93827208816
85,0.254,-0.23,2.36,161,deg,ALL,0.39,none,0.14,0.07,CLAS,e-,5.932,p,0.93827208816
86,0.254,-0.23,2.37,199,deg,ALL,0.7,none,0.11,0.06,CLAS,e-,5.932,p,0.93827208816
87,0.254,-0.23,2.36,236,deg,ALL,0.63,none,0.11,0.03,CLAS,e-,5.932,p,0.93827208816
88,0.26,-0.23,2.42,270,deg,ALL,0.61,none,0.09,0.04,CLAS,e-,5.932,p,0.93827208816
89,0.266,-0.23,2.48,308,deg,ALL,0.59,none,0.07,0.02,CLAS,e-,5.932,p,0.93827208816
90,0.279,-0.22,2.56,336,deg,ALL,0.49,none,0.1,0.03,CLAS,e-,5.932,p,0.93827208816
91,0.284,-0.41,2.6,31,deg,ALL,0.01,none,0.31,0.11,CLAS,e-,5.932,p,0.93827208816
92,0.275,-0.44,2.55,52,deg,ALL,0.54,none,0.08,0.05,CLAS,e-,5.932,p,0.93827208816
93,0.264,-0.44,2.45,91,deg,ALL,0.59,none,0.09,0.03,CLAS,e-,5.932,p,0.93827208816
94,0.254,-0.44,2.37,122,deg,ALL,0.69,none,0.13,0.03,CLAS,e-,5.932,p,0.93827208816
95,0.25,-0.41,2.33,159,deg,ALL,0.59,none,0.18,0.04,CLAS,e-,5.932,p,0.93827208816
96,0.253,-0.41,2.36,199,deg,ALL,0.59,none,0.16,0.04,CLAS,e-,5.932,p,0.93827208816
97,0.254,-0.43,2.36,235,deg,ALL,0.71,none,0.13,0.04,CLAS,e-,5.932,p,0.93827208816
98,0.261,-0.45,2.43,270,deg,ALL,0.6,none,0.1,0.02,CLAS,e-,5.932,p,0.93827208816
99,0.274,-0.45,2.54,307,deg,ALL,0.43,none,0.09,0.05,CLAS,e-,5.932,p,0.93827208816
100,0.284,-0.42,2.61,330,deg,ALL,0.59,none,0.27,0.14,CLAS,e-,5.932,p,0.93827208816
101,0.261,-1.22,2.43,20,deg,ALL,0.3,none,0.11,0.02,CLAS,e-,5.932,p,0.93827208816
102,0.265,-1.06,2.45,52,deg,ALL,0.6,none,0.12,0.02,CLAS,e-,5.932,p,0.93827208816
103,0.255,-0.96,2.37,88,deg,ALL,0.65,none,0.26,0.07,CLAS,e-,5.932,p,0.93827208816
104,0.261,-0.96,2.43,273,deg,ALL,0.49,none,0.23,0.06,CLAS,e-,5.932,p,0.93827208816
105,0.262,-1.08,2.44,308,deg,ALL,0.45,none,0.13,0.05,CLAS,e-,5.932,p,0.93827208816
106,0.265,-1.23,2.46,340,deg,ALL,0.44,none,0.1,0.03,CLAS,e-,5.932,p,0.93827208816
107,0.319,-0.16,2.55,19,deg,ALL,0.73,none,0.07,0.06,CLAS,e-,5.932,p,0.93827208816
108,0.319,-0.16,2.5,50,deg,ALL,0.6,none,0.1,0.06,CLAS,e-,5.932,p,0.93827208816
109,0.32,-0.16,2.53,88,deg,ALL,0.74,none,0.19,0.05,CLAS,e-,5.932,p,0.93827208816
110,0.317,-0.16,2.55,240,deg,ALL,0.55,none,0.29,0.03,CLAS,e-,5.932,p,0.93827208816
111,0.321,-0.16,2.59,273,deg,ALL,0.93,none,0.19,0.09,CLAS,e-,5.932,p,0.93827208816
112,0.319,-0.16,2.53,309,deg,ALL,0.77,none,0.09,0.04,CLAS,e-,5.932,p,0.93827208816
113,0.318,-0.16,2.55,342,deg,ALL,0.7,none,0.08,0.05,CLAS,e-,5.932,p,0.93827208816
114,0.338,-0.24,2.72,19,deg,ALL,0.72,none,0.04,0.03,CLAS,e-,5.932,p,0.93827208816
115,0.338,-0.24,2.68,51,deg,ALL,0.69,none,0.05,0.03,CLAS,e-,5.932,p,0.93827208816
116,0.337,-0.24,2.67,89,deg,ALL,0.69,none,0.07,0.03,CLAS,e-,5.932,p,0.93827208816
117,0.337,-0.25,2.43,122,deg,ALL,0.72,none,0.09,0.04,CLAS,e-,5.932,p,0.93827208816
118,0.326,-0.25,2.47,161,deg,ALL,0.59,none,0.15,0.07,CLAS,e-,5.932,p,0.93827208816
119,0.322,-0.25,2.55,201,deg,ALL,0.75,none,0.12,0.02,CLAS,e-,5.932,p,0.93827208816
120,0.338,-0.24,2.55,238,deg,ALL,0.71,none,0.09,0.03,CLAS,e-,5.932,p,0.93827208816
121,0.337,-0.24,2.73,271,deg,ALL,0.68,none,0.07,0.03,CLAS,e-,5.932,p,0.93827208816
122,0.336,-0.24,2.69,309,deg,ALL,0.73,none,0.05,0.03,CLAS,e-,5.932,p,0.93827208816
123,0.338,-0.24,2.68,341,deg,ALL,0.59,none,0.04,0.03,CLAS,e-,5.932,p,0.93827208816
124,0.356,-0.44,2.81,20,deg,ALL,0.59,none,0.04,0.02,CLAS,e-,5.932,p,0.93827208816
125,0.346,-0.46,2.74,51,deg,ALL,0.66,none,0.04,0.02,CLAS,e-,5.932,p,0.93827208816
126,0.346,-0.45,2.68,90,deg,ALL,0.68,none,0.06,0.02,CLAS,e-,5.932,p,0.93827208816
127,0.349,-0.47,2.24,126,deg,ALL,0.53,none,0.06,0.02,CLAS,e-,5.932,p,0.93827208816
128,0.339,-0.49,2.25,162,deg,ALL,0.68,none,0.08,0.02,CLAS,e-,5.932,p,0.93827208816
129,0.339,-0.49,2.23,202,deg,ALL,0.54,none,0.08,0.04,CLAS,e-,5.932,p,0.93827208816
130,0.347,-0.47,2.43,232,deg,ALL,0.38,none,0.09,0.02,CLAS,e-,5.932,p,0.93827208816
131,0.344,-0.47,2.72,271,deg,ALL,0.62,none,0.06,0.04,CLAS,e-,5.932,p,0.93827208816
132,0.347,-0.45,2.77,309,deg,ALL,0.64,none,0.04,0.02,CLAS,e-,5.932,p,0.93827208816
133,0.355,-0.45,2.77,340,deg,ALL,0.59,none,0.03,0.02,CLAS,e-,5.932,p,0.93827208816
134,0.352,-1.3,2.59,20,deg,ALL,0.36,none,0.04,0.03,CLAS,e-,5.932,p,0.93827208816
135,0.348,-1.09,2.59,52,deg,ALL,0.39,none,0.06,0.02,CLAS,e-,5.932,p,0.93827208816
136,0.35,-1.28,2.28,87,deg,ALL,0.36,none,0.08,0.03,CLAS,e-,5.932,p,0.93827208816
137,0.353,-1.09,2.27,129,deg,ALL,0.3,none,0.08,0.04,CLAS,e-,5.932,p,0.93827208816
138,0.345,-1.06,2.33,161,deg,ALL,0.52,none,0.08,0.02,CLAS,e-,5.932,p,0.93827208816
139,0.347,-1.06,2.29,201,deg,ALL,0.52,none,0.08,0.02,CLAS,e-,5.932,p,0.93827208816
140,0.352,-1.23,2.33,236,deg,ALL,0.4,none,0.09,0.02,CLAS,e-,5.932,p,0.93827208816
141,0.347,-1.23,2.25,269,deg,ALL,0.3,none,0.06,0.02,CLAS,e-,5.932,p,0.93827208816
142,0.349,-1.09,2.61,308,deg,ALL,0.48,none,0.06,0.03,CLAS,e-,5.932,p,0.93827208816
143,0.352,-1.28,2.57,340,deg,ALL,0.43,none,0.04,0.02,CLAS,e-,5.932,p,0.93827208816
144,0.414,-0.27,3.21,19,deg,ALL,0.9,none,0.21,0.02,CLAS,e-,5.932,p,0.93827208816
145,0.414,-0.27,3.16,51,deg,ALL,0.3,none,0.29,0.09,CLAS,e-,5.932,p,0.93827208816
146,0.443,-0.51,3.36,17,deg,ALL,0.82,none,0.05,0.03,CLAS,e-,5.932,p,0.93827208816
147,0.444,-0.49,3.41,52,deg,ALL,0.77,none,0.06,0.04,CLAS,e-,5.932,p,0.93827208816
148,0.448,-0.49,3.25,89,deg,ALL,0.77,none,0.1,0.05,CLAS,e-,5.932,p,0.93827208816
149,0.43,-0.53,2.84,124,deg,ALL,0.64,none,0.12,0.07,CLAS,e-,5.932,p,0.93827208816
150,0.42,-0.57,2.93,155,deg,ALL,0.44,none,0.3,0.08,CLAS,e-,5.932,p,0.93827208816
151,0.421,-0.58,2.94,207,deg,ALL,0.5,none,0.31,0.07,CLAS,e-,5.932,p,0.93827208816
152,0.435,-0.5,2.95,238,deg,ALL,0.75,none,0.14,0.07,CLAS,e-,5.932,p,0.93827208816
153,0.44,-0.48,3.33,271,deg,ALL,0.82,none,0.11,0.04,CLAS,e-,5.932,p,0.93827208816
154,0.445,-0.5,3.46,310,deg,ALL,0.68,none,0.06,0.04,CLAS,e-,5.932,p,0.93827208816
155,0.443,-0.52,3.35,342,deg,ALL,0.77,none,0.04,0.03,CLAS,e-,5.932,p,0.93827208816
156,0.465,-1.12,3.37,18,deg,ALL,0.51,none,0.04,0.02,CLAS,e-,5.932,p,0.93827208816
157,0.465,-1.13,3.46,52,deg,ALL,0.6,none,0.07,0.03,CLAS,e-,5.932,p,0.93827208816
158,0.459,-1.27,3.18,89,deg,ALL,0.55,none,0.1,0.04,CLAS,e-,5.932,p,0.93827208816
159,0.456,-1.15,3.13,126,deg,ALL,0.55,none,0.08,0.02,CLAS,e-,5.932,p,0.93827208816
160,0.434,-1.18,3.3,159,deg,ALL,0.43,none,0.15,0.07,CLAS,e-,5.932,p,0.93827208816
161,0.43,-1.09,3.11,203,deg,ALL,0.78,none,0.16,0.06,CLAS,e-,5.932,p,0.93827208816
162,0.455,-1.25,3.16,236,deg,ALL,0.46,none,0.09,0.03,CLAS,e-,5.932,p,0.93827208816
163,0.454,-1.35,3.12,269,deg,ALL,0.56,none,0.08,0.03,CLAS,e-,5.932,p,0.93827208816
164,0.467,-1.1,3.49,310,deg,ALL,0.77,none,0.08,0.05,CLAS,e-,5.932,p,0.93827208816
165,0.464,-1.15,3.36,342,deg,ALL,0.51,none,0.04,0.02,CLAS,e-,5.932,p,0.93827208816
