xB,t,Q2,phi,deg/rad,bin,obs,value,units,stat_u,syst_u,col,lepton,E_lepton,hadron,E_hadron
0.084,-0.309,1.301,142.4,deg,6,d4SigUU,0.34016,nb GeV^-4,0.054689,0.11834,CLAS,e-,10.6,p,0.938272088
0.084,-0.309,1.301,157.4,deg,6,d4SigUU,0.41076,nb GeV^-4,0.054343,0.13446,CLAS,e-,10.6,p,0.938272088
0.084,-0.309,1.301,180,deg,6,d4SigUU,0.31066,nb GeV^-4,0.052914,0.10406,CLAS,e-,10.6,p,0.938272088
0.084,-0.309,1.301,256.2,deg,6,d4SigUU,0.53171,nb GeV^-4,0.096973,0.17736,CLAS,e-,10.6,p,0.938272088
0.084,-0.309,1.301,287.1,deg,6,d4SigUU,0.95738,nb GeV^-4,0.16481,0.47918,CLAS,e-,10.6,p,0.938272088
0.086,-0.455,1.271,36.6,deg,7,d4SigUU,1.302,nb GeV^-4,0.13771,0.44772,CLAS,e-,10.6,p,0.938272088
0.086,-0.455,1.271,51.8,deg,7,d4SigUU,0.74933,nb GeV^-4,0.091024,0.36974,CLAS,e-,10.6,p,0.938272088
0.086,-0.455,1.271,134.4,deg,7,d4SigUU,0.18271,nb GeV^-4,0.03661,0.067398,CLAS,e-,10.6,p,0.938272088
0.086,-0.455,1.271,157.4,deg,7,d4SigUU,0.16081,nb GeV^-4,0.031829,0.056545,CLAS,e-,10.6,p,0.938272088
0.086,-0.455,1.271,180,deg,7,d4SigUU,0.16489,nb GeV^-4,0.033358,0.060226,CLAS,e-,10.6,p,0.938272088
0.086,-0.455,1.271,240.8,deg,7,d4SigUU,0.17833,nb GeV^-4,0.04744,0.065574,CLAS,e-,10.6,p,0.938272088
0.086,-0.455,1.271,262.8,deg,7,d4SigUU,0.21838,nb GeV^-4,0.050678,0.080755,CLAS,e-,10.6,p,0.938272088
0.086,-0.455,1.271,287,deg,7,d4SigUU,0.31921,nb GeV^-4,0.071014,0.16011,CLAS,e-,10.6,p,0.938272088
0.101,-0.129,1.101,126.1,deg,8,d4SigUU,1.2765,nb GeV^-4,0.287,0.44619,CLAS,e-,10.6,p,0.938272088
0.101,-0.129,1.101,180,deg,8,d4SigUU,0.84109,nb GeV^-4,0.18487,0.31367,CLAS,e-,10.6,p,0.938272088
0.101,-0.198,1.1,119.3,deg,9,d4SigUU,0.79612,nb GeV^-4,0.1758,0.29433,CLAS,e-,10.6,p,0.938272088
