,Unnamed: 0,xB,t,Q2,phi,deg/rad,obs,value,units,stat_u,syst_u,col,lepton,E_lepton,hadron,E_hadron
0,0,0.194,-0.11,1.68,25,deg,AUL,0.44,none,0.26,0.02,CLAS,e-,5.932,p,0.93827208816
1,1,0.19,-0.12,1.68,60,deg,AUL,0.12,none,0.14,0.02,CLAS,e-,5.932,p,0.93827208816
2,2,0.186,-0.13,1.58,92,deg,AUL,0.18,none,0.07,0.01,CLAS,e-,5.932,p,0.93827208816
3,3,0.178,-0.13,1.54,128,deg,AUL,0.13,none,0.06,0.02,CLAS,e-,5.932,p,0.93827208816
4,4,0.174,-0.13,1.5,161,deg,AUL,0.07,none,0.06,0.01,CLAS,e-,5.932,p,0.93827208816
5,5,0.173,-0.13,1.51,198,deg,AUL,-0.08,none,0.06,0.01,CLAS,e-,5.932,p,0.93827208816
6,6,0.177,-0.13,1.52,235,deg,AUL,-0.13,none,0.07,0.02,CLAS,e-,5.932,p,0.93827208816
7,7,0.185,-0.13,1.6,266,deg,AUL,-0.18,none,0.08,0.01,CLAS,e-,5.932,p,0.93827208816
8,8,0.19,-0.12,1.68,305,deg,AUL,-0.01,none,0.12,0.03,CLAS,e-,5.932,p,0.93827208816
9,9,0.19,-0.21,1.61,97,deg,AUL,0.15,none,0.21,0.04,CLAS,e-,5.932,p,0.93827208816
10,10,0.182,-0.23,1.57,128,deg,AUL,-0.01,none,0.12,0.03,CLAS,e-,5.932,p,0.93827208816
11,11,0.179,-0.23,1.51,161,deg,AUL,0.13,none,0.09,0.02,CLAS,e-,5.932,p,0.93827208816
12,12,0.178,-0.23,1.54,199,deg,AUL,0.11,none,0.09,0.01,CLAS,e-,5.932,p,0.93827208816
13,13,0.184,-0.23,1.62,233,deg,AUL,-0.24,none,0.11,0.01,CLAS,e-,5.932,p,0.93827208816
14,14,0.191,-0.22,1.64,263,deg,AUL,-0.41,none,0.19,0.08,CLAS,e-,5.932,p,0.93827208816
15,15,0.188,-0.49,1.63,96,deg,AUL,0.23,none,0.27,0.06,CLAS,e-,5.932,p,0.93827208816
16,16,0.181,-0.47,1.54,127,deg,AUL,0.14,none,0.14,0.04,CLAS,e-,5.932,p,0.93827208816
17,17,0.173,-0.49,1.36,162,deg,AUL,0.19,none,0.08,0.01,CLAS,e-,5.932,p,0.93827208816
18,18,0.174,-0.46,1.42,196,deg,AUL,-0.03,none,0.1,0.01,CLAS,e-,5.932,p,0.93827208816
19,19,0.181,-0.43,1.6,234,deg,AUL,-0.17,none,0.14,0.04,CLAS,e-,5.932,p,0.93827208816
20,20,0.185,-0.51,1.56,261,deg,AUL,-0.29,none,0.24,0.1,CLAS,e-,5.932,p,0.93827208816
21,21,0.184,-1.35,1.62,20,deg,AUL,0.23,none,0.19,0.02,CLAS,e-,5.932,p,0.93827208816
22,22,0.178,-1.21,1.56,56,deg,AUL,-0.05,none,0.17,0.07,CLAS,e-,5.932,p,0.93827208816
23,23,0.178,-1.02,1.46,92,deg,AUL,0.21,none,0.2,0.1,CLAS,e-,5.932,p,0.93827208816
24,24,0.176,-1.01,1.48,128,deg,AUL,0.36,none,0.24,0.04,CLAS,e-,5.932,p,0.93827208816
25,25,0.17,-1.0,1.36,164,deg,AUL,0.41,none,0.09,0.06,CLAS,e-,5.932,p,0.93827208816
26,26,0.171,-0.97,1.35,192,deg,AUL,0.07,none,0.18,0.07,CLAS,e-,5.932,p,0.93827208816
27,27,0.171,-1.07,1.4,239,deg,AUL,0.09,none,0.22,0.03,CLAS,e-,5.932,p,0.93827208816
28,28,0.178,-1.03,1.41,266,deg,AUL,-0.27,none,0.12,0.1,CLAS,e-,5.932,p,0.93827208816
29,29,0.179,-1.24,1.58,306,deg,AUL,0.04,none,0.17,0.1,CLAS,e-,5.932,p,0.93827208816
30,30,0.183,-1.35,1.62,340,deg,AUL,-0.2,none,0.2,0.1,CLAS,e-,5.932,p,0.93827208816
