,xB,t,Q2,phi,deg/rad,obs,value,units,stat_u,syst_u,%norm_c,col,lepton,E_lepton,hadron,E_hadron
0,0.357,-0.177,1.49,15,deg,deltad4SigLU,-12.6,pb GeV^-4,22.0,0.4032,3,HallA,e-,3.355,p,0.93827208816
1,0.357,-0.177,1.49,45,deg,deltad4SigLU,32.7,pb GeV^-4,20.0,1.0464,3,HallA,e-,3.355,p,0.93827208816
2,0.357,-0.177,1.49,75,deg,deltad4SigLU,2.93,pb GeV^-4,17.0,0.09376,3,HallA,e-,3.355,p,0.93827208816
3,0.357,-0.177,1.49,105,deg,deltad4SigLU,2.81,pb GeV^-4,14.0,0.08992,3,HallA,e-,3.355,p,0.93827208816
4,0.357,-0.177,1.49,135,deg,deltad4SigLU,-0.896,pb GeV^-4,11.0,0.028672,3,HallA,e-,3.355,p,0.93827208816
5,0.357,-0.177,1.49,165,deg,deltad4SigLU,-17.1,pb GeV^-4,24.0,0.5472,3,HallA,e-,3.355,p,0.93827208816
6,0.357,-0.177,1.49,195,deg,deltad4SigLU,31.5,pb GeV^-4,26.0,1.008,3,HallA,e-,3.355,p,0.93827208816
7,0.357,-0.177,1.49,225,deg,deltad4SigLU,12.3,pb GeV^-4,10.0,0.3936,3,HallA,e-,3.355,p,0.93827208816
8,0.357,-0.177,1.49,255,deg,deltad4SigLU,-36.4,pb GeV^-4,15.0,1.1648,3,HallA,e-,3.355,p,0.93827208816
9,0.357,-0.177,1.49,285,deg,deltad4SigLU,-24.2,pb GeV^-4,17.0,0.7744,3,HallA,e-,3.355,p,0.93827208816
10,0.357,-0.177,1.49,315,deg,deltad4SigLU,-1.37,pb GeV^-4,20.0,0.04384,3,HallA,e-,3.355,p,0.93827208816
11,0.357,-0.177,1.49,345,deg,deltad4SigLU,-4.81,pb GeV^-4,21.0,0.15392,3,HallA,e-,3.355,p,0.93827208816
12,0.359,-0.236,1.5,15,deg,deltad4SigLU,-12.1,pb GeV^-4,29.0,0.3872,3,HallA,e-,3.355,p,0.93827208816
13,0.359,-0.236,1.5,45,deg,deltad4SigLU,22.4,pb GeV^-4,19.0,0.7168,3,HallA,e-,3.355,p,0.93827208816
14,0.359,-0.236,1.5,75,deg,deltad4SigLU,7.36,pb GeV^-4,14.0,0.23552,3,HallA,e-,3.355,p,0.93827208816
15,0.359,-0.236,1.5,105,deg,deltad4SigLU,1.89,pb GeV^-4,12.0,0.06048,3,HallA,e-,3.355,p,0.93827208816
16,0.359,-0.236,1.5,135,deg,deltad4SigLU,16.7,pb GeV^-4,10.0,0.5344,3,HallA,e-,3.355,p,0.93827208816
17,0.359,-0.236,1.5,165,deg,deltad4SigLU,1.46,pb GeV^-4,10.0,0.04672,3,HallA,e-,3.355,p,0.93827208816
18,0.359,-0.236,1.5,195,deg,deltad4SigLU,2.89,pb GeV^-4,10.0,0.09248,3,HallA,e-,3.355,p,0.93827208816
19,0.359,-0.236,1.5,225,deg,deltad4SigLU,-5.13,pb GeV^-4,11.0,0.16416,3,HallA,e-,3.355,p,0.93827208816
20,0.359,-0.236,1.5,255,deg,deltad4SigLU,-21.2,pb GeV^-4,12.0,0.6784,3,HallA,e-,3.355,p,0.93827208816
21,0.359,-0.236,1.5,285,deg,deltad4SigLU,-26.8,pb GeV^-4,14.0,0.8576,3,HallA,e-,3.355,p,0.93827208816
22,0.359,-0.236,1.5,315,deg,deltad4SigLU,-32.6,pb GeV^-4,19.0,1.0432,3,HallA,e-,3.355,p,0.93827208816
23,0.359,-0.236,1.5,345,deg,deltad4SigLU,7.21,pb GeV^-4,29.0,0.23072,3,HallA,e-,3.355,p,0.93827208816
24,0.36,-0.296,1.5,45,deg,deltad4SigLU,-8.26,pb GeV^-4,26.0,0.26432,3,HallA,e-,3.355,p,0.93827208816
25,0.36,-0.296,1.5,75,deg,deltad4SigLU,7.08,pb GeV^-4,14.0,0.22656,3,HallA,e-,3.355,p,0.93827208816
26,0.36,-0.296,1.5,105,deg,deltad4SigLU,10.8,pb GeV^-4,11.0,0.3456,3,HallA,e-,3.355,p,0.93827208816
27,0.36,-0.296,1.5,135,deg,deltad4SigLU,4.79,pb GeV^-4,9.4,0.15328,3,HallA,e-,3.355,p,0.93827208816
28,0.36,-0.296,1.5,165,deg,deltad4SigLU,5.48,pb GeV^-4,9.1,0.17536,3,HallA,e-,3.355,p,0.93827208816
29,0.36,-0.296,1.5,195,deg,deltad4SigLU,-6.05,pb GeV^-4,9.4,0.1936,3,HallA,e-,3.355,p,0.93827208816
30,0.36,-0.296,1.5,225,deg,deltad4SigLU,3.38,pb GeV^-4,9.7,0.10816,3,HallA,e-,3.355,p,0.93827208816
31,0.36,-0.296,1.5,255,deg,deltad4SigLU,-11.1,pb GeV^-4,11.0,0.3552,3,HallA,e-,3.355,p,0.93827208816
32,0.36,-0.296,1.5,285,deg,deltad4SigLU,-25.3,pb GeV^-4,14.0,0.8096,3,HallA,e-,3.355,p,0.93827208816
33,0.36,-0.296,1.5,315,deg,deltad4SigLU,-38.9,pb GeV^-4,26.0,1.2448,3,HallA,e-,3.355,p,0.93827208816
