,xB,t,Q2,obs,value,units,stat_u,syst_u,col,lepton,E_lepton,hadron,E_hadron
0,0.05,-0.1,1.4,ALTISin1Phi,0.003,none,0.131,0.006,HERMES,e-/e+,27.6,p,0.93827208816
1,0.08,-0.1,2.1,ALTISin1Phi,0.113,none,0.158,0.007,HERMES,e-/e+,27.6,p,0.93827208816
2,0.12,-0.13,3.1,ALTISin1Phi,0.08,none,0.186,0.007,HERMES,e-/e+,27.6,p,0.93827208816
3,0.2,-0.2,5.0,ALTISin1Phi,-0.343,none,0.288,0.025,HERMES,e-/e+,27.6,p,0.93827208816
