,xB,t,Q2,obs,value,units,stat_u,syst_u,col,lepton,E_lepton,hadron,E_hadron
0,0.06,-0.08,1.2,ALTICos2Phi,0.221,none,0.217,0.006,HERMES,e-/e+,27.6,p,0.93827208816
1,0.08,-0.1,1.9,ALTICos2Phi,-0.15,none,0.201,0.006,HERMES,e-/e+,27.6,p,0.93827208816
2,0.11,-0.13,2.8,ALTICos2Phi,-0.006,none,0.212,0.004,HERMES,e-/e+,27.6,p,0.93827208816
3,0.17,-0.19,4.9,ALTICos2Phi,0.138,none,0.232,0.012,HERMES,e-/e+,27.6,p,0.93827208816
