,xB,t,Q2,phi,bin,deg/rad,obs,value,units,stat_u,syst_u,col,lepton,E_lepton,hadron,E_hadron
41,0.125,-0.203,1.13,217.7,2,deg,d4SigUU,0.780167,nb GeV^-4,0.0560316,0.0568255,CLAS,e-,5.88,p,0.938272088
42,0.125,-0.203,1.13,232.7,2,deg,d4SigUU,0.921865,nb GeV^-4,0.0762841,0.064901,CLAS,e-,5.88,p,0.938272088
43,0.125,-0.203,1.13,247.8,2,deg,d4SigUU,0.923924,nb GeV^-4,0.0663036,0.0620536,CLAS,e-,5.88,p,0.938272088
44,0.125,-0.203,1.129,262.9,2,deg,d4SigUU,1.23309,nb GeV^-4,0.0692748,0.080133,CLAS,e-,5.88,p,0.938272088
45,0.125,-0.203,1.129,278,2,deg,d4SigUU,1.47586,nb GeV^-4,0.0738111,0.100911,CLAS,e-,5.88,p,0.938272088
46,0.125,-0.203,1.129,293.1,2,deg,d4SigUU,2.88643,nb GeV^-4,0.165375,0.181995,CLAS,e-,5.88,p,0.938272088
47,0.125,-0.263,1.129,52.1,3,deg,d4SigUU,3.32365,nb GeV^-4,0.237301,0.204194,CLAS,e-,5.88,p,0.938272088
48,0.125,-0.262,1.129,66.9,3,deg,d4SigUU,1.67023,nb GeV^-4,0.0980865,0.102681,CLAS,e-,5.88,p,0.938272088
49,0.125,-0.261,1.13,82,3,deg,d4SigUU,1.06913,nb GeV^-4,0.061701,0.0765821,CLAS,e-,5.88,p,0.938272088
50,0.125,-0.261,1.13,97.1,3,deg,d4SigUU,0.780458,nb GeV^-4,0.0434604,0.0487859,CLAS,e-,5.88,p,0.938272088
51,0.125,-0.261,1.13,112.2,3,deg,d4SigUU,0.720677,nb GeV^-4,0.0504269,0.050215,CLAS,e-,5.88,p,0.938272088
52,0.125,-0.261,1.13,127.2,3,deg,d4SigUU,0.590171,nb GeV^-4,0.055665,0.0448401,CLAS,e-,5.88,p,0.938272088
53,0.125,-0.261,1.13,142.3,3,deg,d4SigUU,0.604116,nb GeV^-4,0.0532185,0.0414793,CLAS,e-,5.88,p,0.938272088
54,0.125,-0.261,1.131,157.4,3,deg,d4SigUU,0.453047,nb GeV^-4,0.0367427,0.0311532,CLAS,e-,5.88,p,0.938272088
55,0.125,-0.261,1.131,172.5,3,deg,d4SigUU,0.430993,nb GeV^-4,0.0393336,0.0369379,CLAS,e-,5.88,p,0.938272088
56,0.125,-0.261,1.131,187.5,3,deg,d4SigUU,0.461143,nb GeV^-4,0.0482433,0.039574,CLAS,e-,5.88,p,0.938272088
57,0.125,-0.261,1.131,202.6,3,deg,d4SigUU,0.40646,nb GeV^-4,0.0338901,0.0299776,CLAS,e-,5.88,p,0.938272088
58,0.125,-0.261,1.13,217.7,3,deg,d4SigUU,0.47978,nb GeV^-4,0.0370265,0.034939,CLAS,e-,5.88,p,0.938272088
59,0.125,-0.261,1.13,232.8,3,deg,d4SigUU,0.516162,nb GeV^-4,0.0400076,0.0575079,CLAS,e-,5.88,p,0.938272088
60,0.125,-0.261,1.13,247.8,3,deg,d4SigUU,0.640022,nb GeV^-4,0.0514851,0.048953,CLAS,e-,5.88,p,0.938272088
61,0.125,-0.261,1.13,262.9,3,deg,d4SigUU,0.75071,nb GeV^-4,0.043088,0.0490769,CLAS,e-,5.88,p,0.938272088
62,0.125,-0.261,1.13,278,3,deg,d4SigUU,1.11892,nb GeV^-4,0.0588015,0.0791653,CLAS,e-,5.88,p,0.938272088
63,0.125,-0.262,1.129,293.1,3,deg,d4SigUU,1.58164,nb GeV^-4,0.0803197,0.0977619,CLAS,e-,5.88,p,0.938272088
64,0.125,-0.263,1.129,307.9,3,deg,d4SigUU,1.95523,nb GeV^-4,0.144641,0.200922,CLAS,e-,5.88,p,0.938272088
65,0.125,-0.34,1.13,51.7,4,deg,d4SigUU,1.46259,nb GeV^-4,0.0723992,0.0918339,CLAS,e-,5.88,p,0.938272088
66,0.125,-0.34,1.13,66.9,4,deg,d4SigUU,0.888656,nb GeV^-4,0.0488724,0.0557754,CLAS,e-,5.88,p,0.938272088
67,0.125,-0.34,1.13,82,4,deg,d4SigUU,0.673452,nb GeV^-4,0.0424445,0.0501536,CLAS,e-,5.88,p,0.938272088
68,0.125,-0.34,1.13,97.1,4,deg,d4SigUU,0.395096,nb GeV^-4,0.0245319,0.0266732,CLAS,e-,5.88,p,0.938272088
69,0.125,-0.34,1.131,112.2,4,deg,d4SigUU,0.352406,nb GeV^-4,0.0256813,0.0246702,CLAS,e-,5.88,p,0.938272088
70,0.125,-0.34,1.131,127.2,4,deg,d4SigUU,0.260838,nb GeV^-4,0.0249399,0.0264029,CLAS,e-,5.88,p,0.938272088
71,0.125,-0.34,1.131,142.3,4,deg,d4SigUU,0.246555,nb GeV^-4,0.0241467,0.0199389,CLAS,e-,5.88,p,0.938272088
72,0.125,-0.34,1.131,157.4,4,deg,d4SigUU,0.234094,nb GeV^-4,0.021329,0.0216625,CLAS,e-,5.88,p,0.938272088
73,0.125,-0.34,1.131,172.5,4,deg,d4SigUU,0.270297,nb GeV^-4,0.0268189,0.0185106,CLAS,e-,5.88,p,0.938272088
