,xB,t,Q2,obs,value,units,stat_u,syst_u,%norm_c,col,lepton,E_lepton,hadron,E_hadron
0,0.056,-0.085,1.236,AULSin2Phi,-0.093,none,0.059,0.007,4.2,HERMES,e+,27.6,p,0.93827208816
1,0.079,-0.098,1.862,AULSin2Phi,-0.149,none,0.061,0.007,4.2,HERMES,e+,27.6,p,0.93827208816
2,0.108,-0.123,2.829,AULSin2Phi,-0.042,none,0.067,0.009,4.2,HERMES,e+,27.6,p,0.93827208816
3,0.17,-0.178,4.865,AULSin2Phi,-0.13,none,0.074,0.019,4.2,HERMES,e+,27.6,p,0.93827208816
