,xB,t,Q2,obs,value,units,stat_u,syst_u,%norm_c,col,lepton,E_lepton,hadron,E_hadron
0,0.068,-0.018,1.72,ACCos1Phi,0.006,none,0.012,0.003,3.4,HERMES,e-/e+,27.6,p,0.93827208816
1,0.088,-0.043,2.26,ACCos1Phi,0.016,none,0.012,0.014,3.4,HERMES,e-/e+,27.6,p,0.93827208816
2,0.099,-0.078,2.51,ACCos1Phi,0.03,none,0.013,0.013,3.4,HERMES,e-/e+,27.6,p,0.93827208816
3,0.11,-0.142,2.79,ACCos1Phi,0.036,none,0.012,0.014,3.4,HERMES,e-/e+,27.6,p,0.93827208816
4,0.121,-0.26,3.27,ACCos1Phi,0.078,none,0.016,0.029,3.4,HERMES,e-/e+,27.6,p,0.93827208816
5,0.125,-0.46,3.82,ACCos1Phi,0.069,none,0.025,0.061,3.4,HERMES,e-/e+,27.6,p,0.93827208816
