,Unnamed: 0,xB,t,Q2,obs,value,units,stat_u,syst_u,col,lepton,E_lepton,hadron,E_hadron
0,0,0.05,-0.1,1.5,ALTICos1Phi,0.067,none,0.136,0.005,HERMES,e-/e+,27.6,p,0.93827208816
1,1,0.08,-0.1,2.2,ALTICos1Phi,-0.049,none,0.16,0.008,HERMES,e-/e+,27.6,p,0.93827208816
2,2,0.12,-0.13,3.1,ALTICos1Phi,-0.348,none,0.196,0.018,HERMES,e-/e+,27.6,p,0.93827208816
3,3,0.2,-0.2,5.0,ALTICos1Phi,-0.118,none,0.292,0.01,HERMES,e-/e+,27.6,p,0.93827208816
