,dependence,Q2_min,Q2_max,xB,t,Q2,obs,value,units,stat_u,syst_u,col,lepton,E_lepton,hadron,E_hadron
0,Q2,1.0,1.4,0.05,-0.08,1.2, AC_cos2phi,0.018,none,0.018,0.01,HERMES,e-/e+,27.6,p,0.9382720882
1,Q2,1.4,1.8,0.07,-0.1,1.59, AC_cos2phi,-0.035,none,0.021,0.016,HERMES,e-/e+,27.6,p,0.9382720882
2,Q2,1.8,2.4,0.08,-0.11,2.08, AC_cos2phi,-0.023,none,0.021,0.005,HERMES,e-/e+,27.6,p,0.9382720882
3,Q2,2.4,3.2,0.1,-0.13,2.77, AC_cos2phi,0.021,none,0.022,0.019,HERMES,e-/e+,27.6,p,0.9382720882
4,Q2,3.2,4.5,0.13,-0.15,3.76, AC_cos2phi,-0.009,none,0.025,0.015,HERMES,e-/e+,27.6,p,0.9382720882
5,Q2,4.5,10.0,0.2,-0.22,5.75, AC_cos2phi,0.029,none,0.03,0.006,HERMES,e-/e+,27.6,p,0.9382720882
