,xB,t,Q2,obs,value,units,stat_u,syst_u,%norm_c,col,lepton,E_lepton,hadron,E_hadron
0,0.054,-0.076,1.2,ALUISin1Phi,-0.193,none,0.051,0.061,3.4,HERMES,e-/e+,27.6,p,0.93827208816
1,0.069,-0.089,1.59,ALUISin1Phi,-0.311,none,0.055,0.062,3.4,HERMES,e-/e+,27.6,p,0.93827208816
2,0.085,-0.104,2.08,ALUISin1Phi,-0.224,none,0.051,0.042,3.4,HERMES,e-/e+,27.6,p,0.93827208816
3,0.105,-0.126,2.77,ALUISin1Phi,-0.219,none,0.054,0.044,3.4,HERMES,e-/e+,27.6,p,0.93827208816
4,0.134,-0.151,3.76,ALUISin1Phi,-0.18,none,0.063,0.031,3.4,HERMES,e-/e+,27.6,p,0.93827208816
5,0.2,-0.218,5.82,ALUISin1Phi,-0.2,none,0.074,0.004,3.4,HERMES,e-/e+,27.6,p,0.93827208816
