,Unnamed: 0,xB,t,Q2,obs,value,units,stat_u,syst_u,col,lepton,E_lepton,hadron,E_hadron
0,0,0.08,-0.03,1.9,ACCos1Phi,-0.003,none,0.022,0.012,HERMES,e-/e+,27.6,p,0.93827208816
1,1,0.1,-0.1,2.5,ACCos1Phi,0.015,none,0.026,0.011,HERMES,e-/e+,27.6,p,0.93827208816
2,2,0.11,-0.2,2.9,ACCos1Phi,0.12,none,0.03,0.012,HERMES,e-/e+,27.6,p,0.93827208816
3,3,0.12,-0.42,3.5,ACCos1Phi,0.163,none,0.052,0.007,HERMES,e-/e+,27.6,p,0.93827208816
