,xB,t,Q2,obs,value,units,stat_u,syst_u,col,lepton,E_lepton,hadron,E_hadron
0,0.08,-0.03,1.9,ALTBHDVCSCos1Phi,-0.079,none,0.124,0.014,HERMES,e-/e+,27.6,p,0.93827208816
1,0.1,-0.1,2.5,ALTBHDVCSCos1Phi,-0.05,none,0.159,0.023,HERMES,e-/e+,27.6,p,0.93827208816
2,0.11,-0.2,2.9,ALTBHDVCSCos1Phi,-0.291,none,0.188,0.023,HERMES,e-/e+,27.6,p,0.93827208816
3,0.12,-0.42,3.5,ALTBHDVCSCos1Phi,-0.138,none,0.331,0.023,HERMES,e-/e+,27.6,p,0.93827208816
