,xB,t,Q2,phi,bin,deg/rad,obs,value,stat_u,syst_u,units,col,lepton,E_lepton,hadron,E_hadron
39,0.169296,-0.192089,2.22347,232.384,5,deg,ALU,-0.0721457,0.0307791,0.0155936,none,CLAS,e-,5.932,n,0.938
40,0.138518,-0.210481,2.14082,289.078,5,deg,ALU,-0.0254894,0.0173322,0.00726888,none,CLAS,e-,5.932,n,0.938
41,0.159299,-0.225065,2.30962,332.401,5,deg,ALU,-0.0238949,0.0125113,0.00776349,none,CLAS,e-,5.932,n,0.938
42,0.115578,-0.367288,1.69429,30.5818,6,deg,ALU,0.0286924,0.0135195,0.0134877,none,CLAS,e-,5.932,n,0.938
43,0.108466,-0.264439,1.73896,70.8888,6,deg,ALU,0.0439069,0.0169188,0.0228799,none,CLAS,e-,5.932,n,0.938
44,0.110378,-0.236258,1.69471,125.78,6,deg,ALU,0.0561235,0.0376814,0.0249785,none,CLAS,e-,5.932,n,0.938
45,0.114549,-0.283309,1.66438,176.603,6,deg,ALU,-0.00160433,0.053984,0.00199882,none,CLAS,e-,5.932,n,0.938
46,0.10773,-0.215613,1.74901,235.518,6,deg,ALU,-0.043343,0.0410107,0.0124839,none,CLAS,e-,5.932,n,0.938
47,0.108155,-0.270456,1.72466,290.168,6,deg,ALU,-0.0314223,0.0185907,0.0194917,none,CLAS,e-,5.932,n,0.938
48,0.115833,-0.363197,1.68625,328.248,6,deg,ALU,-0.0158939,0.014446,0.0130692,none,CLAS,e-,5.932,n,0.938
49,0.167138,-0.389396,2.34185,25.2964,7,deg,ALU,0.030555,0.0128853,0.00587944,none,CLAS,e-,5.932,n,0.938
50,0.165946,-0.283644,2.5551,68.7619,7,deg,ALU,0.0767929,0.025083,0.00961281,none,CLAS,e-,5.932,n,0.938
51,0.168095,-0.350391,2.12944,129.138,7,deg,ALU,0.0182685,0.0419294,0.00735623,none,CLAS,e-,5.932,n,0.938
52,0.169885,-0.469038,2.08455,177.545,7,deg,ALU,0.0879888,0.0481697,0.0076359,none,CLAS,e-,5.932,n,0.938
53,0.16817,-0.347753,2.29071,231.727,7,deg,ALU,-0.00559402,0.0503216,0.00808812,none,CLAS,e-,5.932,n,0.938
54,0.16478,-0.308744,2.54486,290.687,7,deg,ALU,-0.0661526,0.0269996,0.0112999,none,CLAS,e-,5.932,n,0.938
55,0.166655,-0.390195,2.32508,333.833,7,deg,ALU,-0.04558,0.0135917,0.00638631,none,CLAS,e-,5.932,n,0.938
56,0.268108,-0.508805,3.42103,22.3118,8,deg,ALU,0.0195539,0.0149558,0.00742757,none,CLAS,e-,5.932,n,0.938
57,0.33182,-0.596099,3.47041,77.3896,8,deg,ALU,0.00489745,0.0340556,0.0120063,none,CLAS,e-,5.932,n,0.938
58,0.34938,-0.77468,3.16184,131.033,8,deg,ALU,0.0405677,0.039317,0.016211,none,CLAS,e-,5.932,n,0.938
59,0.320556,-0.762854,3.01045,178.364,8,deg,ALU,-0.0152596,0.0382292,0.00594601,none,CLAS,e-,5.932,n,0.938
60,0.348733,-0.803175,3.09108,229.411,8,deg,ALU,-0.0830502,0.048562,0.0153679,none,CLAS,e-,5.932,n,0.938
61,0.321706,-0.639862,3.42318,284.01,8,deg,ALU,-0.000499255,0.0387079,0.00420929,none,CLAS,e-,5.932,n,0.938
62,0.268222,-0.519272,3.45298,337.459,8,deg,ALU,-0.000407021,0.015893,0.0098591,none,CLAS,e-,5.932,n,0.938
