,xB,t,Q2,phi,deg/rad,obs,value,units,stat_u,syst_u,%norm_c,col,lepton,E_lepton,hadron,E_hadron
0,0.357,-0.177,1.49,15,deg,d4SigUU,401.3,pb GeV^-4,21.0,12.8416,2.3,HallA,e-,3.355,p,0.93827208816
1,0.357,-0.177,1.49,45,deg,d4SigUU,342.3,pb GeV^-4,17.0,10.9536,2.3,HallA,e-,3.355,p,0.93827208816
2,0.357,-0.177,1.49,75,deg,d4SigUU,273.6,pb GeV^-4,15.0,8.7552,2.3,HallA,e-,3.355,p,0.93827208816
3,0.357,-0.177,1.49,105,deg,d4SigUU,212.6,pb GeV^-4,13.0,6.8032,2.3,HallA,e-,3.355,p,0.93827208816
4,0.357,-0.177,1.49,135,deg,d4SigUU,177.5,pb GeV^-4,11.0,5.68,2.3,HallA,e-,3.355,p,0.93827208816
5,0.357,-0.177,1.49,165,deg,d4SigUU,155.0,pb GeV^-4,10.0,4.96,2.3,HallA,e-,3.355,p,0.93827208816
6,0.357,-0.177,1.49,195,deg,d4SigUU,149.1,pb GeV^-4,10.0,4.7712,2.3,HallA,e-,3.355,p,0.93827208816
7,0.357,-0.177,1.49,225,deg,d4SigUU,155.9,pb GeV^-4,11.0,4.9888,2.3,HallA,e-,3.355,p,0.93827208816
8,0.357,-0.177,1.49,255,deg,d4SigUU,218.3,pb GeV^-4,13.0,6.9856,2.3,HallA,e-,3.355,p,0.93827208816
9,0.357,-0.177,1.49,285,deg,d4SigUU,287.0,pb GeV^-4,15.0,9.184,2.3,HallA,e-,3.355,p,0.93827208816
10,0.357,-0.177,1.49,315,deg,d4SigUU,350.6,pb GeV^-4,18.0,11.2192,2.3,HallA,e-,3.355,p,0.93827208816
11,0.357,-0.177,1.49,345,deg,d4SigUU,403.5,pb GeV^-4,20.0,12.912,2.3,HallA,e-,3.355,p,0.93827208816
12,0.359,-0.236,1.5,15,deg,d4SigUU,495.6,pb GeV^-4,35.0,15.8592,2.3,HallA,e-,3.355,p,0.93827208816
13,0.359,-0.236,1.5,45,deg,d4SigUU,340.1,pb GeV^-4,20.0,10.8832,2.3,HallA,e-,3.355,p,0.93827208816
14,0.359,-0.236,1.5,75,deg,d4SigUU,236.0,pb GeV^-4,14.0,7.552,2.3,HallA,e-,3.355,p,0.93827208816
15,0.359,-0.236,1.5,105,deg,d4SigUU,137.1,pb GeV^-4,11.0,4.3872,2.3,HallA,e-,3.355,p,0.93827208816
16,0.359,-0.236,1.5,135,deg,d4SigUU,135.5,pb GeV^-4,10.0,4.336,2.3,HallA,e-,3.355,p,0.93827208816
17,0.359,-0.236,1.5,165,deg,d4SigUU,105.0,pb GeV^-4,9.6,3.36,2.3,HallA,e-,3.355,p,0.93827208816
18,0.359,-0.236,1.5,195,deg,d4SigUU,112.7,pb GeV^-4,9.8,3.6064,2.3,HallA,e-,3.355,p,0.93827208816
19,0.359,-0.236,1.5,225,deg,d4SigUU,125.9,pb GeV^-4,10.0,4.0288,2.3,HallA,e-,3.355,p,0.93827208816
20,0.359,-0.236,1.5,255,deg,d4SigUU,155.2,pb GeV^-4,11.0,4.9664,2.3,HallA,e-,3.355,p,0.93827208816
21,0.359,-0.236,1.5,285,deg,d4SigUU,202.6,pb GeV^-4,14.0,6.4832,2.3,HallA,e-,3.355,p,0.93827208816
22,0.359,-0.236,1.5,315,deg,d4SigUU,320.2,pb GeV^-4,19.0,10.2464,2.3,HallA,e-,3.355,p,0.93827208816
23,0.359,-0.236,1.5,345,deg,d4SigUU,517.5,pb GeV^-4,35.0,16.56,2.3,HallA,e-,3.355,p,0.93827208816
24,0.36,-0.296,1.5,45,deg,d4SigUU,308.7,pb GeV^-4,30.0,9.8784,2.3,HallA,e-,3.355,p,0.93827208816
25,0.36,-0.296,1.5,75,deg,d4SigUU,168.2,pb GeV^-4,14.0,5.3824,2.3,HallA,e-,3.355,p,0.93827208816
26,0.36,-0.296,1.5,105,deg,d4SigUU,120.7,pb GeV^-4,11.0,3.8624,2.3,HallA,e-,3.355,p,0.93827208816
27,0.36,-0.296,1.5,135,deg,d4SigUU,100.3,pb GeV^-4,9.5,3.2096,2.3,HallA,e-,3.355,p,0.93827208816
28,0.36,-0.296,1.5,165,deg,d4SigUU,77.4,pb GeV^-4,9.5,2.4768,2.3,HallA,e-,3.355,p,0.93827208816
29,0.36,-0.296,1.5,195,deg,d4SigUU,84.2,pb GeV^-4,9.8,2.6944,2.3,HallA,e-,3.355,p,0.93827208816
30,0.36,-0.296,1.5,225,deg,d4SigUU,92.3,pb GeV^-4,10.0,2.9536,2.3,HallA,e-,3.355,p,0.93827208816
31,0.36,-0.296,1.5,255,deg,d4SigUU,124.3,pb GeV^-4,11.0,3.9776,2.3,HallA,e-,3.355,p,0.93827208816
32,0.36,-0.296,1.5,285,deg,d4SigUU,165.5,pb GeV^-4,14.0,5.296,2.3,HallA,e-,3.355,p,0.93827208816
33,0.36,-0.296,1.5,315,deg,d4SigUU,312.1,pb GeV^-4,30.0,9.9872,2.3,HallA,e-,3.355,p,0.93827208816
