,dependence,Q2_min,Q2_max,xB,t,Q2,obs,value,units,stat_u,syst_u,col,lepton,E_lepton,hadron,E_hadron
0,Q2,1.0,1.4,0.05,-0.08,1.2,ALU_DVCS_sinphi,0.078,none,0.059,0.01,HERMES,e-/e+,27.6,p,0.9382720882
1,Q2,1.4,1.8,0.07,-0.1,1.59,ALU_DVCS_sinphi,0.034,none,0.067,0.016,HERMES,e-/e+,27.6,p,0.9382720882
2,Q2,1.8,2.4,0.08,-0.11,2.08,ALU_DVCS_sinphi,0.052,none,0.064,0.013,HERMES,e-/e+,27.6,p,0.9382720882
3,Q2,2.4,3.2,0.1,-0.13,2.77,ALU_DVCS_sinphi,0.212,none,0.068,0.015,HERMES,e-/e+,27.6,p,0.9382720882
4,Q2,3.2,4.5,0.13,-0.15,3.76,ALU_DVCS_sinphi,-0.097,none,0.075,0.012,HERMES,e-/e+,27.6,p,0.9382720882
5,Q2,4.5,10.0,0.2,-0.22,5.75,ALU_DVCS_sinphi,-0.125,none,0.093,0.013,HERMES,e-/e+,27.6,p,0.9382720882
