,Unnamed: 0,xB,t,Q2,obs,value,units,stat_u,syst_u,%norm_c,col,lepton,E_lepton,hadron,E_hadron
0,0,0.05,-0.1,1.5,AUTICos0Phi,0.083,none,0.051,0.021,0.081,HERMES,e-/e+,27.6,p,0.93827208816
1,1,0.08,-0.1,2.2,AUTICos0Phi,0.037,none,0.048,0.021,0.081,HERMES,e-/e+,27.6,p,0.93827208816
2,2,0.12,-0.13,3.1,AUTICos0Phi,-0.033,none,0.048,0.021,0.081,HERMES,e-/e+,27.6,p,0.93827208816
3,3,0.2,-0.2,5.0,AUTICos0Phi,0.048,none,0.055,0.024,0.081,HERMES,e-/e+,27.6,p,0.93827208816
