,xB,t,Q2,phi,deg/rad,obs,value,units,stat+syst_u,col,lepton,E_lepton,hadron,E_hadron
0,0.10852,-0.139944,1.36679,0.301683,deg,ALU,0.129798,none,0.056638,CLAS,e-,10.2,p,0.93827208816
1,0.0997291,-0.149211,1.3595,0.637473,deg,ALU,-0.0121261,none,0.0796433,CLAS,e-,10.2,p,0.93827208816
2,0.0933342,-0.15243,1.34826,0.849838,deg,ALU,-0.0650657,none,0.0808073,CLAS,e-,10.2,p,0.93827208816
3,0.0909908,-0.149641,1.34015,1.09658,deg,ALU,0.504813,none,0.0658236,CLAS,e-,10.2,p,0.93827208816
4,0.0914016,-0.144653,1.34713,5.21343,deg,ALU,-0.159961,none,0.0854133,CLAS,e-,10.2,p,0.93827208816
5,0.0929709,-0.159054,1.34466,5.43878,deg,ALU,-0.124905,none,0.0743217,CLAS,e-,10.2,p,0.93827208816
6,0.0998266,-0.149438,1.35722,5.66567,deg,ALU,-0.130172,none,0.0748107,CLAS,e-,10.2,p,0.93827208816
7,0.110002,-0.150133,1.36916,6.01667,deg,ALU,0.119229,none,0.0864193,CLAS,e-,10.2,p,0.93827208816
8,0.110013,-0.280132,1.36689,0.498833,deg,ALU,-0.02502,none,0.108752,CLAS,e-,10.2,p,0.93827208816
9,0.0953973,-0.294454,1.35229,0.757412,deg,ALU,0.196018,none,0.0574138,CLAS,e-,10.2,p,0.93827208816
10,0.0922372,-0.259531,1.34312,0.972862,deg,ALU,0.328134,none,0.0894706,CLAS,e-,10.2,p,0.93827208816
11,0.0928713,-0.279477,1.35134,5.4243,deg,ALU,-0.167878,none,0.0783341,CLAS,e-,10.2,p,0.93827208816
12,0.10228,-0.294731,1.36259,5.65026,deg,ALU,-0.248583,none,0.0755714,CLAS,e-,10.2,p,0.93827208816
13,0.12147,-0.135744,1.58525,0.0986021,deg,ALU,-0.0606458,none,0.0437757,CLAS,e-,10.2,p,0.93827208816
14,0.120994,-0.145201,1.59433,0.288461,deg,ALU,0.0630693,none,0.0401014,CLAS,e-,10.2,p,0.93827208816
15,0.117918,-0.148405,1.60421,0.479294,deg,ALU,0.180689,none,0.0299165,CLAS,e-,10.2,p,0.93827208816
16,0.11335,-0.152217,1.60027,0.657205,deg,ALU,0.115477,none,0.0316787,CLAS,e-,10.2,p,0.93827208816
17,0.109986,-0.155441,1.59781,0.834717,deg,ALU,0.141207,none,0.0394003,CLAS,e-,10.2,p,0.93827208816
18,0.107431,-0.154559,1.58925,1.01918,deg,ALU,0.0899433,none,0.0905602,CLAS,e-,10.2,p,0.93827208816
19,0.118214,-0.160352,1.58949,2.21961,deg,ALU,0.210126,none,0.0794509,CLAS,e-,10.2,p,0.93827208816
20,0.117058,-0.161098,1.56715,2.53583,deg,ALU,-0.0998786,none,0.0997401,CLAS,e-,10.2,p,0.93827208816
