,dependence,xB_min,xB_max,xB,t,Q2,obs,value,units,stat_u,syst_u,col,lepton,E_lepton,hadron,E_hadron
0,xB,0.03,0.06,0.05,-0.1,1.34, ACCos1Phi,0.035,none,0.021,0.011,HERMES,e-/e+,27.6,p,0.9382720882
1,xB,0.06,0.08,0.07,-0.09,1.78, ACCos1Phi,0.043,none,0.019,0.012,HERMES,e-/e+,27.6,p,0.9382720882
2,xB,0.08,0.1,0.09,-0.11,2.3, ACCos1Phi,0.064,none,0.022,0.024,HERMES,e-/e+,27.6,p,0.9382720882
3,xB,0.1,0.13,0.11,-0.12,2.92, ACCos1Phi,0.018,none,0.024,0.002,HERMES,e-/e+,27.6,p,0.9382720882
4,xB,0.13,0.2,0.16,-0.16,4.04, ACCos1Phi,0.088,none,0.025,0.032,HERMES,e-/e+,27.6,p,0.9382720882
5,xB,0.2,0.35,0.24,-0.23,6.11, ACCos1Phi,0.041,none,0.045,0.014,HERMES,e-/e+,27.6,p,0.9382720882
