,xB,t,Q2,obs,value,units,stat_u,syst_u,%norm_c,col,lepton,E_lepton,hadron,E_hadron
0,0.054,-0.076,1.2,ALUISin2Phi,-0.02,none,0.051,0.01,3.4,HERMES,e-/e+,27.6,p,0.93827208816
1,0.069,-0.089,1.59,ALUISin2Phi,-0.021,none,0.054,0.005,3.4,HERMES,e-/e+,27.6,p,0.93827208816
2,0.085,-0.104,2.08,ALUISin2Phi,0.015,none,0.053,0.008,3.4,HERMES,e-/e+,27.6,p,0.93827208816
3,0.105,-0.126,2.77,ALUISin2Phi,0.028,none,0.049,0.006,3.4,HERMES,e-/e+,27.6,p,0.93827208816
4,0.134,-0.151,3.76,ALUISin2Phi,-0.016,none,0.062,0.008,3.4,HERMES,e-/e+,27.6,p,0.93827208816
5,0.2,-0.218,5.82,ALUISin2Phi,0.069,none,0.071,0.013,3.4,HERMES,e-/e+,27.6,p,0.93827208816
