,xB,t,Q2,phi,deg/rad,obs,value,units,stat_u,syst_u,col,lepton,E_lepton,hadron,E_hadron
0,0.194,-0.11,1.68,25,deg,ALU,0.37,none,0.23,0.01,CLAS,e-,5.932,p,0.93827208816
1,0.19,-0.12,1.68,60,deg,ALU,0.34,none,0.11,0.03,CLAS,e-,5.932,p,0.93827208816
2,0.186,-0.13,1.58,92,deg,ALU,0.23,none,0.06,0.01,CLAS,e-,5.932,p,0.93827208816
3,0.178,-0.13,1.54,128,deg,ALU,0.13,none,0.05,0.01,CLAS,e-,5.932,p,0.93827208816
4,0.174,-0.13,1.5,161,deg,ALU,0.05,none,0.05,0.01,CLAS,e-,5.932,p,0.93827208816
5,0.173,-0.13,1.51,198,deg,ALU,-0.05,none,0.05,0.0,CLAS,e-,5.932,p,0.93827208816
6,0.177,-0.13,1.52,235,deg,ALU,-0.21,none,0.06,0.01,CLAS,e-,5.932,p,0.93827208816
7,0.185,-0.13,1.6,266,deg,ALU,-0.28,none,0.06,0.01,CLAS,e-,5.932,p,0.93827208816
8,0.19,-0.12,1.68,305,deg,ALU,-0.15,none,0.1,0.02,CLAS,e-,5.932,p,0.93827208816
9,0.19,-0.21,1.61,97,deg,ALU,0.19,none,0.19,0.06,CLAS,e-,5.932,p,0.93827208816
10,0.182,-0.23,1.57,128,deg,ALU,0.17,none,0.1,0.03,CLAS,e-,5.932,p,0.93827208816
11,0.179,-0.23,1.51,161,deg,ALU,0.09,none,0.08,0.02,CLAS,e-,5.932,p,0.93827208816
12,0.178,-0.23,1.54,199,deg,ALU,-0.12,none,0.07,0.02,CLAS,e-,5.932,p,0.93827208816
13,0.184,-0.23,1.62,233,deg,ALU,-0.18,none,0.09,0.03,CLAS,e-,5.932,p,0.93827208816
14,0.191,-0.22,1.64,263,deg,ALU,-0.12,none,0.17,0.05,CLAS,e-,5.932,p,0.93827208816
15,0.188,-0.49,1.63,96,deg,ALU,0.39,none,0.24,0.09,CLAS,e-,5.932,p,0.93827208816
16,0.181,-0.47,1.54,127,deg,ALU,0.18,none,0.11,0.05,CLAS,e-,5.932,p,0.93827208816
17,0.173,-0.49,1.36,162,deg,ALU,0.21,none,0.07,0.02,CLAS,e-,5.932,p,0.93827208816
18,0.174,-0.46,1.42,196,deg,ALU,-0.07,none,0.08,0.02,CLAS,e-,5.932,p,0.93827208816
19,0.181,-0.43,1.6,234,deg,ALU,-0.22,none,0.12,0.02,CLAS,e-,5.932,p,0.93827208816
20,0.185,-0.51,1.56,261,deg,ALU,-0.04,none,0.21,0.12,CLAS,e-,5.932,p,0.93827208816
21,0.184,-1.35,1.62,20,deg,ALU,0.13,none,0.16,0.07,CLAS,e-,5.932,p,0.93827208816
