,t (GeV2),xB,Q2 (GeV2),value,stat_u,syst_u,col,obs,units,target,beam,rs
0,0.03,0.08,1.9,−0.162,0.123,0.006,HERMES,"A_(LT,I)^(cos(phi-phis)cos(phi))",absolute,proton,e+/e-,
1,0.1,0.1,2.5,0.193,0.158,0.007,HERMES,"A_(LT,I)^(cos(phi-phis)cos(phi))",absolute,proton,e+/e-,
2,0.2,0.11,2.9,−0.275,0.187,0.014,HERMES,"A_(LT,I)^(cos(phi-phis)cos(phi))",absolute,proton,e+/e-,
3,0.42,0.12,3.5,−0.071,0.335,0.017,HERMES,"A_(LT,I)^(cos(phi-phis)cos(phi))",absolute,proton,e+/e-,
